trading_day_count,accounting_day_count,order_count,fill_count,partial_count,rejected_count,ending_nav,total_cash_fee,total_slippage_cost,split_id
119,119,11729,11728,5759,1,10231112.768528365,886486.1741269435,1106589.3937515302,split_001
123,123,11839,11832,5428,7,10193936.780769078,932713.4114305272,1166925.9730193857,split_002
123,123,11338,11338,4676,0,10458549.77524821,964509.9886661284,1205000.5920502087,split_003
