datetime,instrument,shares,close,market_value,weight,split_id
2024-08-02,SZ002311,2100.0,41.799999315392746,87779.99856232476,0.00879504814697348,split_001
2024-08-02,SH601918,16400.0,8.059999301817209,132183.98854980222,0.013244071116372463,split_001
2024-08-02,SH688248,1200.0,26.25999881334745,31511.99857601694,0.0031573199957009514,split_001
2024-08-02,SZ002244,17500.0,7.750000110244005,135625.00192927007,0.013588840754586936,split_001
2024-08-02,SZ002310,18700.0,1.3199999492601646,24683.99905116508,0.0024731939356401715,split_001
2024-08-02,SH600309,2599.9999999999995,73.99999748814899,192399.99346918735,0.019277366527152864,split_001
2024-08-02,SH688223,17800.0,7.020000418971389,124956.00745769072,0.012519869216717624,split_001
2024-08-02,SH600585,7399.999999999999,23.200000631731395,171680.0046748123,0.017201343491883708,split_001
2024-08-02,SH603179,1100.0,39.599999074311924,43559.99898174312,0.004364459952167036,split_001
2024-08-02,SH603296,600.0,48.719998223343254,29231.99893400595,0.0029288772188156074,split_001
2024-08-02,SH688063,1200.0,40.990002010426196,49188.002412511436,0.004928353344233963,split_001
2024-08-02,SH688408,1399.9999999999998,59.859998374424585,83803.9977241944,0.008396675859704245,split_001
2024-08-02,SZ002223,3900.0,35.30000210741607,137670.00821892268,0.013793738556739304,split_001
2024-08-02,SZ002217,13200.0,1.2300000339518524,16236.000448164452,0.001626753337829031,split_001
2024-08-02,SH600188,6999.999999999999,14.67999878676359,102759.99150734513,0.010295956797584056,split_001
2024-08-02,SZ000725,49800.0,3.869999903132793,192725.9951760131,0.019310030012622076,split_001
2024-08-02,SZ002078,12500.0,12.84999954078151,160624.9942597689,0.016093695389149162,split_001
2024-08-02,SH600612,800.0,50.12000383657449,40096.00306925959,0.004017387597072604,split_001
2024-08-02,SZ000625,13800.0,13.7199998615582,189335.99808950318,0.018970371911889876,split_001
2024-08-02,SH603198,1800.0,49.79999874220454,89639.99773596817,0.008981409306160669,split_001
2024-08-02,SH601111,13600.0,7.2900003387678245,99144.00460724242,0.009933655824627803,split_001
2024-08-02,SZ300025,2000.0,9.0,18000.0,0.001803495890161358,split_001
2024-08-02,SZ000413,800.0,0.5499999882475195,439.9999905980156,4.408545415080874e-05,split_001
2024-08-02,SZ002092,5200.0,3.460000195869346,17992.0010185206,0.0018026944384822708,split_001
2024-08-02,SZ300538,4300.0,14.659999327968363,63037.99711026396,0.0063160427062424794,split_001
2024-08-02,SH600325,12800.0,5.710000033717483,73088.00043158379,0.007322994911026274,split_001
2024-08-02,SH601021,1300.0,54.48000202831802,70824.00263681343,0.0070961554266816785,split_001
2024-08-02,SZ002714,4400.0,44.209999202223955,194523.9964897854,0.01949017934483836,split_001
2024-08-02,SH600016,54900.0,3.5299999902225703,193796.9994632191,0.01941733844763992,split_001
2024-08-02,SH600233,2500.0,13.940000547434648,34850.00136858662,0.003491768568909093,split_001
2024-08-02,SH600660,4500.0,43.34999904583347,195074.99570625063,0.019545386279414868,split_001
2024-08-02,SH600036,5900.0,32.28000166146201,190452.00980262586,0.019082189830667024,split_001
2024-08-02,SH600161,3100.0,24.200001474523912,75020.00457102412,0.0075165705513182395,split_001
2024-08-02,SH603737,4100.0,29.639998878857824,121523.99540331708,0.012176001459215007,split_001
2024-08-02,SH600301,3300.0,17.00000074855606,56100.002470235006,0.005620895771839493,split_001
2024-08-02,SH688278,900.0000000000001,49.09999948970987,44189.99954073889,0.004427582364330828,split_001
2024-08-02,SH601166,11600.0,16.51999967483334,191631.99622806674,0.019200417645596404,split_001
2024-08-02,SH603003,3800.0000000000005,4.739999877189471,18011.999533319995,0.0018046981739961619,split_001
2024-08-02,SH600809,1000.0000000000001,176.99999844238482,176999.99844238485,0.017734376097189326,split_001
2024-08-02,SH600777,12999.999999999998,1.7799998859504227,23139.998517355492,0.0023184940124661418,split_001
2024-08-02,SZ002594,800.0,234.7800219004078,187824.01752032625,0.018818880203972408,split_001
2024-08-02,SZ000895,4200.0,22.90000066352835,96180.00278681907,0.009636679985652008,split_001
2024-08-02,SH688518,3700.0,14.439999737323703,53427.9990280977,0.005353176481484402,split_001
2024-08-02,SZ301511,1800.0,13.860000186110568,24948.000334999022,0.002499645337328607,split_001
2024-08-02,SZ000786,5499.999999999999,24.52000157729286,134860.0086751107,0.013512192855149293,split_001
2024-08-02,SH601155,6900.0,9.290000028368851,64101.00019574507,0.006422549467125481,split_001
2024-08-02,SZ001979,23100.0,8.420000098653047,194502.00227888537,0.019487975652118048,split_001
2024-08-02,SZ300498,9800.0,20.249998567025173,198449.9859568467,0.019883540781986238,split_001
2024-08-02,SH600711,1000.0,4.2899998202961465,4289.999820296146,0.0004298331691498369,split_001
2024-08-05,SH688248,200.11287374239643,26.049998526947892,5212.940066212736,0.0005301497257010654,split_001
2024-08-05,SZ300628,2700.0,32.49000142468893,87723.0038466601,0.00892132382806537,split_001
2024-08-05,SZ300274,2900.0,67.16999807112097,194792.99440625083,0.019810212901217858,split_001
2024-08-05,SZ300475,5200.0,25.830000062117588,134316.00032301145,0.013659775448030789,split_001
2024-08-05,SZ300457,5900.000000000001,14.41000067977038,85019.00401064527,0.008646330301734563,split_001
2024-08-05,SH600585,1299.9999999999995,23.200000631731395,30160.000821250804,0.003067235755531417,split_001
2024-08-05,SH603296,1300.024342504811,47.879999780810984,62245.1652341793,0.006330258329459752,split_001
2024-08-05,SH601799,200.0,118.51000053710146,23702.000107420292,0.0024104648616542707,split_001
2024-08-05,SZ300684,4900.0,14.040001278136685,68796.00626286976,0.006996470971531168,split_001
2024-08-05,SZ002223,499.95019890078646,35.72999976335916,17863.220488416464,0.0018166680072636706,split_001
2024-08-05,SH600188,13199.827833198658,14.409999024915026,190209.5062054389,0.019344077672047676,split_001
2024-08-05,SZ300049,1699.9999999999998,44.8600016900721,76262.00287312256,0.00775575383393442,split_001
2024-08-05,SH600886,10400.0,16.959999711653783,176383.99700119934,0.017938040038925566,split_001
2024-08-05,SZ002078,2099.8159620560746,12.740000475350717,26751.656354743413,0.0027206112286689023,split_001
2024-08-05,SH600795,34800.0,5.450000121905662,189660.00424231702,0.019288193984278192,split_001
2024-08-05,SH603129,400.0,127.7500017873785,51100.0007149514,0.005196808522304268,split_001
2024-08-05,SZ300857,3400.0,52.98999824707572,180165.99404005744,0.018322664582328296,split_001
