table,rows,sha256
orders,34906,61655d8f638bdaa5af99e78de01a7e5271977d9accad8c96d3a138f17e39fe88
fills,34898,73c3ff7a20f652daaeb16ddda2c0ee6c4ca9c5add2fc9acf60cdba6f784d70b3
partial_fills,15863,cd1d93d2b1fa74376e28a6896b5621db4ed89068badd337629354c9fcda78460
positions,24787,0bdd79c631b91153bedd0ca8d08ee54377c93beda2fde02c24ea94e331391092
transaction_costs,34898,d7a71152fffef5080f749d169b24b18ee4ef7cfe8b1201b9c9da2fe6a57cfaaa
