batch_id,status,factor_count,row_count,instrument_count,start_date,end_date,input_hash,output_path,output_sha256,attempts,runtime_seconds,cache_hit,reindexed_from_cache,key_schema_version,error
alpha158,pass,30,2588000,3983,2021-02-01,2026-06-09,cea999cbcfcee4667b53233239cc2d37b7282aa1a33e0e7b802ce99762c464df,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v1/runtime/alpha158.parquet,740dc70a85defb406ff2257619e5c12a2691e41a48884252a960f54e82bf4a2b,2,10.98159039998427,True,True,2,
alpha360,pass,18,2588000,3983,2021-02-01,2026-06-09,a2777aab4bb03e169640ff38dfab46d7f72955866bad20f5b7724ae2b8312382,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v1/runtime/alpha360.parquet,e519ec59d98d1bbe661f9c3f83b57ca80500fc7cb35e8c280bb4feac65a9db80,2,8.64927069999976,True,True,2,
project_basic,pass,8,2588000,3983,2021-02-01,2026-06-09,49254e991fb0f081838bc763e0ba8870b1290a5707633c7d370e4239a1c52c71,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v1/runtime/project_basic.parquet,59a54e4718dcbb1e3c8d0c2991beffd70652f5a4d376edd5f62a6e9e92e13208,2,6.579387600009795,True,True,2,
ta,pass,14,2588000,3983,2021-02-01,2026-06-09,14df2e87fcf1a5d5415e13b16b28f5569de7f361a63ad28d7214a7ae34574a41,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v1/runtime/ta.parquet,7bdf083f99b5b9d4de787978cb49294a8aa7362ca926e634a7a5f33c31506fe0,2,7.981191800034139,True,True,2,
alpha101,pass,10,2588000,3983,2021-02-01,2026-06-09,7a9fab685a66b0668f3ea448031e5a5da66d17d9c5c07b81ba3f2097eb9e5dd9,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v1/runtime/alpha101.parquet,a3d5a131280875e416f6922e26f9e2635264ce806509e711126c17dc8654de3d,2,6.888091999979224,True,True,2,
