batch_id,factor,valid_rows,total_rows,coverage
alpha158,alpha158_BETA30,2584120,2588000,0.998500772797527
alpha158,alpha158_CNTD30,2587671,2588000,0.9998728748068006
alpha158,alpha158_CNTN30,2587671,2588000,0.9998728748068006
alpha158,alpha158_CNTP5,2587671,2588000,0.9998728748068006
alpha158,alpha158_CORD30,2587422,2588000,0.9997766615146831
alpha158,alpha158_CORR30,2587450,2588000,0.9997874806800618
alpha158,alpha158_IMAX60,2587659,2588000,0.9998682380216384
alpha158,alpha158_IMXD10,2586971,2588000,0.9996023956723339
alpha158,alpha158_KLOW2,2584131,2588000,0.9985050231839259
alpha158,alpha158_KSFT2,2584131,2588000,0.9985050231839259
alpha158,alpha158_MA10,2584131,2588000,0.9985050231839259
alpha158,alpha158_MAX20,2584131,2588000,0.9985050231839259
alpha158,alpha158_MIN20,2584131,2588000,0.9985050231839259
alpha158,alpha158_OPEN0,2584131,2588000,0.9985050231839259
alpha158,alpha158_QTLD30,2584131,2588000,0.9985050231839259
alpha158,alpha158_QTLU5,2584131,2588000,0.9985050231839259
alpha158,alpha158_RANK60,2584131,2588000,0.9985050231839259
alpha158,alpha158_ROC10,2581149,2588000,0.9973527820710973
alpha158,alpha158_RSQR10,2586598,2588000,0.9994582689335394
alpha158,alpha158_RSV20,2584131,2588000,0.9985050231839259
alpha158,alpha158_STD30,2584120,2588000,0.998500772797527
alpha158,alpha158_SUMD30,2587446,2588000,0.9997859350850077
alpha158,alpha158_SUMN30,2587446,2588000,0.9997859350850077
alpha158,alpha158_SUMP30,2587446,2588000,0.9997859350850077
alpha158,alpha158_VMA30,2584131,2588000,0.9985050231839259
alpha158,alpha158_VSTD30,2584120,2588000,0.998500772797527
alpha158,alpha158_VSUMD30,2587446,2588000,0.9997859350850077
alpha158,alpha158_VSUMN30,2587446,2588000,0.9997859350850077
alpha158,alpha158_VSUMP30,2587446,2588000,0.9997859350850077
alpha158,alpha158_WVMA30,2587422,2588000,0.9997766615146831
alpha360,alpha360_CLOSE18,2580976,2588000,0.9972859350850077
alpha360,alpha360_CLOSE36,2580805,2588000,0.9972198608964451
alpha360,alpha360_CLOSE54,2580805,2588000,0.9972198608964451
alpha360,alpha360_HIGH18,2580976,2588000,0.9972859350850077
alpha360,alpha360_HIGH36,2580805,2588000,0.9972198608964451
alpha360,alpha360_HIGH54,2580805,2588000,0.9972198608964451
alpha360,alpha360_LOW18,2580976,2588000,0.9972859350850077
alpha360,alpha360_LOW36,2580805,2588000,0.9972198608964451
alpha360,alpha360_LOW54,2580805,2588000,0.9972198608964451
alpha360,alpha360_OPEN18,2580976,2588000,0.9972859350850077
alpha360,alpha360_OPEN36,2580805,2588000,0.9972198608964451
alpha360,alpha360_OPEN54,2580805,2588000,0.9972198608964451
alpha360,alpha360_VOLUME18,2580976,2588000,0.9972859350850077
alpha360,alpha360_VOLUME36,2580805,2588000,0.9972198608964451
alpha360,alpha360_VOLUME54,2580805,2588000,0.9972198608964451
alpha360,alpha360_VWAP18,2580976,2588000,0.9972859350850077
alpha360,alpha360_VWAP36,2580805,2588000,0.9972198608964451
alpha360,alpha360_VWAP54,2580805,2588000,0.9972198608964451
project_basic,amount_mean_20,2571058,2588000,0.9934536321483771
project_basic,corr_ret_volume_20,2570377,2588000,0.9931904945904173
project_basic,downside_std_20,2570377,2588000,0.9931904945904173
project_basic,ret_10,2581149,2588000,0.9973527820710973
project_basic,ret_5,2582071,2588000,0.9977090417310664
project_basic,rev_5,2582071,2588000,0.9977090417310664
project_basic,std_20,2570377,2588000,0.9931904945904173
project_basic,volume_ratio_5_20,2571058,2588000,0.9934536321483771
ta,ta_momentum_ppo_hist,2587671,2588000,0.9998728748068006
ta,ta_momentum_rsi,2587671,2588000,0.9998728748068006
ta,ta_momentum_tsi,2587671,2588000,0.9998728748068006
ta,ta_trend_adx_pos,2232094,2588000,0.8624783616692426
ta,ta_trend_ema_fast,2587671,2588000,0.9998728748068006
ta,ta_trend_ichimoku_conv,2578590,2588000,0.9963639876352396
ta,ta_trend_macd_diff,2587671,2588000,0.9998728748068006
ta,ta_trend_psar_up_indicator,2587671,2588000,0.9998728748068006
ta,ta_trend_vortex_ind_diff,2574476,2588000,0.994774343122102
ta,ta_volatility_bbl,2571058,2588000,0.9934536321483771
ta,ta_volatility_dcm,2571058,2588000,0.9934536321483771
ta,ta_volatility_kcli,2587671,2588000,0.9998728748068006
ta,ta_volume_em,2583432,2588000,0.9982349304482225
ta,ta_volume_sma_em,2574476,2588000,0.994774343122102
alpha101,kunquant_alpha101_alpha005,2577905,2588000,0.9960993044822256
alpha101,kunquant_alpha101_alpha012,2583432,2588000,0.9982349304482225
alpha101,kunquant_alpha101_alpha020,2583432,2588000,0.9982349304482225
alpha101,kunquant_alpha101_alpha029,2577219,2588000,0.9958342349304482
alpha101,kunquant_alpha101_alpha038,2577905,2588000,0.9960993044822256
alpha101,kunquant_alpha101_alpha046,2583709,2588000,0.9983419629057187
alpha101,kunquant_alpha101_alpha054,2584131,2588000,0.9985050231839259
alpha101,kunquant_alpha101_alpha071,2571742,2588000,0.9937179289026276
alpha101,kunquant_alpha101_alpha083,2577277,2588000,0.9958566460587326
alpha101,kunquant_alpha101_alpha095,2588000,2588000,1.0
