name,registry_name,category,stage,enabled,runnable,expected_direction,source_project,source_file,source_function,source_commit,license,compute_adapter,required_fields,labels,notes
alpha360_CLOSE59,alpha360_CLOSE59,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 59)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE58,alpha360_CLOSE58,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 58)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE57,alpha360_CLOSE57,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 57)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE56,alpha360_CLOSE56,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 56)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE55,alpha360_CLOSE55,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 55)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE54,alpha360_CLOSE54,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 54)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE53,alpha360_CLOSE53,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 53)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE52,alpha360_CLOSE52,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 52)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE51,alpha360_CLOSE51,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 51)/$close Pending Alpha360 batch V4 evaluation."
alpha360_CLOSE50,alpha360_CLOSE50,alpha360_close_window,alpha360_adapter_batch_v4_pending,False,False,watch,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_adapter_pending,$close,"label_10d_t1,label_20d_t1","Qlib Alpha360 expression: Ref($close, 50)/$close Pending Alpha360 batch V4 evaluation."
