source_evidence,outer_split_id,factor_count,train_date_count,validation_date_count,train_fit_row_count,validation_row_count,runtime_seconds,peak_rss_mb_observed,test_read_count,total_runtime_seconds
ridge_all,split_001,45,688,77,1372311,153643,171.87981949999812,2884.62890625,0,646.0058407000033
ridge_all,split_002,46,808,77,1611797,153548,207.84837389999305,2884.62890625,0,646.0058407000033
ridge_all,split_003,52,926,83,1847051,165019,265.5056897000177,2884.62890625,0,646.0058407000033
elastic_split_001,split_001,45,688,77,1372311,153643,214.30329829998664,1943.8671875,0,214.5389828000043
elastic_remaining,split_002,46,808,77,1611797,153548,237.1994189,2836.421875,0,530.9341926
elastic_remaining,split_003,52,926,83,1847051,165019,293.2995268,2836.421875,0,530.9341926
