source_evidence,outer_split_id,method,factor,feature_order,coefficient,coefficient_nonzero
ridge_all,split_001,ridge,kunquant_alpha101_alpha013,33,0.004040350248717,True
ridge_all,split_001,ridge,kunquant_alpha101_alpha020,34,-0.0020055985390202,True
ridge_all,split_001,ridge,kunquant_alpha101_alpha029,35,-0.0004506127849145,True
ridge_all,split_001,ridge,kunquant_alpha101_alpha034,36,-0.0003184051275531,True
ridge_all,split_001,ridge,kunquant_alpha101_alpha050,37,0.0002192097679575,True
ridge_all,split_001,ridge,kunquant_alpha101_alpha055,38,-0.0006140130365317,True
ridge_all,split_001,ridge,kunquant_alpha101_alpha062,39,0.0007760667358146,True
ridge_all,split_001,ridge,kunquant_alpha101_alpha094,40,0.0033331193517654,True
ridge_all,split_001,ridge,ta_trend_mass_index,41,0.0019250429184776,True
ridge_all,split_001,ridge,ta_volatility_bbhi,42,0.0039145251652203,True
ridge_all,split_001,ridge,ta_volume_cmf,43,-0.0034724544556374,True
ridge_all,split_001,ridge,ta_volume_sma_em,44,-0.0012030528229885,True
ridge_all,split_002,ridge,alpha158_CNTP10,0,0.0025521251745699,True
ridge_all,split_002,ridge,alpha158_CNTP5,1,0.0014628478648878,True
ridge_all,split_002,ridge,alpha158_CORD10,2,0.0002964073635503,True
ridge_all,split_002,ridge,alpha158_CORD20,3,-0.0013449977631022,True
ridge_all,split_002,ridge,alpha158_CORD5,4,0.0018139108271664,True
ridge_all,split_002,ridge,alpha158_CORR5,5,-0.0022367104231693,True
ridge_all,split_002,ridge,alpha158_HIGH0,6,-0.0057447008404798,True
ridge_all,split_002,ridge,alpha158_IMAX10,7,0.0030114488649609,True
ridge_all,split_002,ridge,alpha158_IMAX20,8,0.0002209298313418,True
ridge_all,split_002,ridge,alpha158_IMAX60,9,0.0014220696112273,True
ridge_all,split_002,ridge,alpha158_IMIN5,10,-0.0010043184072617,True
ridge_all,split_002,ridge,alpha158_KLEN,11,-0.0076683888736822,True
ridge_all,split_002,ridge,alpha158_KLOW,12,-0.0035139888088764,True
