source_evidence,outer_split_id,method,alpha,fit_intercept,solver,candidate_sha256,l1_ratio,max_iter,tol,selection,random_state
elastic_remaining,split_003,elastic_net,0.001,True,,3cd9b889d12e0506b04e27bd4a03c3a80dc83432feaaae7d1026d843d109c34e,0.9,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,0.01,True,,6b1f946f4c6862d74d2279d201152451c733840d696754e1c4f7dcfd0e784c4b,0.1,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,0.01,True,,6203286bc0077b5eb48b61a527accaa85afb169620cc0d61ce25a9b96ef6cf2e,0.5,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,0.01,True,,0e7c270ac33bad6b82fbd8ab55a384d7b25efa422b408f9c027c28651448441e,0.9,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,0.1,True,,13c7dbf711c912910f931c6a6d1bb99bc46fb9a1754f9f5b6961358ed690f947,0.1,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,0.1,True,,37d9fb6f5f28818bc5d3591f13ed7b7dd86f94d4def5b71a3d18e23c5c83d3fc,0.5,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,0.1,True,,c891c198432fc59c7a779566dfc8940ab3c0cf8c790eb87039e132bd08315f7a,0.9,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,1.0,True,,ceb83873efcb8fa4dfe58f52a7b515870ce436336b3b67f08d52c5012bce8f02,0.1,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,1.0,True,,4d3e603114dc6226568895af1c406b7396422dc6eae9078b02e8dadc78aaba23,0.5,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,1.0,True,,4e49409db3e80ccbc3c4c7219e30205f921acfc89436a04d50b454465d792785,0.9,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,10.0,True,,cddc983e6b3ba27bae6bca62a110eb8639e58302144b9ab69529c60cfb765cbc,0.1,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,10.0,True,,e735ece9635045981b4fb97f0795b31cbb6cb2f4090d59ada2fe2a60cc27d37c,0.5,5000.0,1e-05,cyclic,20260725.0
elastic_remaining,split_003,elastic_net,10.0,True,,bc8ee7e9834d449791f81667597aba78def971924c114a1b1cc1286086dd8d79,0.9,5000.0,1e-05,cyclic,20260725.0
