outer_split_id,method,factor,factor_column,feature_order,cluster_id,direction,selection_frequency,upstream_fdr_q_value,raw_weight,weight
split_001,equal_weight,ta_volume_sma_em,ta_volume_sma_em,44,cluster_034,-1,0.6666666666666666,0.0322735614486117,1.0,0.02222222222222222
split_001,stability_weight,alpha158_BETA10,alpha158_BETA10,0,cluster_033,-1,1.0,0.0200356388793219,0.9799643611206781,0.023473089044334604
split_001,stability_weight,alpha158_BETA5,alpha158_BETA5,1,cluster_019,-1,1.0,0.0383794423398383,0.9616205576601617,0.023033699869458836
split_001,stability_weight,alpha158_CNTD30,alpha158_CNTD30,2,cluster_037,-1,1.0,0.0310537946901583,0.9689462053098417,0.02320917112781328
split_001,stability_weight,alpha158_CNTP60,alpha158_CNTP60,3,cluster_038,-1,0.6666666666666666,0.0188058694552201,0.6541294203631866,0.015668363809827602
split_001,stability_weight,alpha158_CORD10,alpha158_CORD10,4,cluster_009,-1,1.0,0.0263450242703354,0.9736549757296646,0.0233219603186645
split_001,stability_weight,alpha158_CORD20,alpha158_CORD20,5,cluster_040,-1,1.0,0.0042033438259853,0.9957966561740147,0.023852320051407305
split_001,stability_weight,alpha158_CORD5,alpha158_CORD5,6,cluster_010,-1,1.0,0.039546252564004,0.960453747435996,0.023005751260941724
split_001,stability_weight,alpha158_CORD60,alpha158_CORD60,7,cluster_041,-1,1.0,0.0042033438259853,0.9957966561740147,0.023852320051407305
split_001,stability_weight,alpha158_CORR10,alpha158_CORR10,8,cluster_015,-1,1.0,0.0109051787373465,0.9890948212626535,0.02369179098129407
split_001,stability_weight,alpha158_CORR20,alpha158_CORR20,9,cluster_016,-1,1.0,0.0310537946901583,0.9689462053098417,0.02320917112781328
split_001,stability_weight,alpha158_CORR5,alpha158_CORR5,10,cluster_011,-1,1.0,0.0042033438259853,0.9957966561740147,0.023852320051407305
split_001,stability_weight,alpha158_HIGH0,alpha158_HIGH0,11,cluster_004,-1,1.0,0.0162288043082745,0.9837711956917256,0.02356427416331287
split_001,stability_weight,alpha158_IMIN20,alpha158_IMIN20,12,cluster_032,1,1.0,0.0135168202583932,0.9864831797416068,0.023629234324738412
