outer_split_id,method,factor,factor_column,feature_order,cluster_id,direction,selection_frequency,upstream_fdr_q_value,raw_weight,weight
split_001,stability_weight,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,37,cluster_046,1,1.0,0.0043398160281277,0.9956601839718723,0.022095372060019106
split_001,stability_weight,kunquant_alpha101_alpha043,kunquant_alpha101_alpha043,38,cluster_047,1,1.0,0.0134865134865134,0.9865134865134866,0.02189239147817315
split_001,stability_weight,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,39,cluster_014,1,1.0,0.0274468857631075,0.9725531142368925,0.021582587365772853
split_001,stability_weight,kunquant_alpha101_alpha055,kunquant_alpha101_alpha055,40,cluster_012,1,1.0,0.0043398160281277,0.9956601839718723,0.022095372060019106
split_001,stability_weight,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,41,cluster_045,1,1.0,0.0030657415978516,0.9969342584021484,0.022123645911903803
split_001,stability_weight,kunquant_alpha101_alpha083,kunquant_alpha101_alpha083,42,cluster_007,1,1.0,0.0030657415978516,0.9969342584021484,0.022123645911903803
split_001,stability_weight,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,43,cluster_039,1,1.0,0.0030657415978516,0.9969342584021484,0.022123645911903803
split_001,stability_weight,ta_trend_mass_index,ta_trend_mass_index,44,cluster_033,-1,1.0,0.0186444456830722,0.9813555543169278,0.02177792829808626
split_001,stability_weight,ta_volatility_bbhi,ta_volatility_bbhi,45,cluster_040,-1,1.0,0.0030657415978516,0.9969342584021484,0.022123645911903803
split_001,stability_weight,ta_volume_cmf,ta_volume_cmf,46,cluster_032,-1,1.0,0.0030657415978516,0.9969342584021484,0.022123645911903803
split_001,stability_weight,ta_volume_sma_em,ta_volume_sma_em,47,cluster_031,-1,0.6666666666666666,0.0274468857631075,0.648368742824595,0.014388391577181902
