outer_split_id,left_factor,right_factor,exposure_correlation
split_001,alpha158_BETA10,alpha158_BETA10,1.0
split_001,alpha158_BETA20,alpha158_BETA10,0.5636098526548949
split_001,alpha158_BETA30,alpha158_BETA10,0.29693468989246374
split_001,alpha158_BETA5,alpha158_BETA10,0.5606722542377801
split_001,alpha158_BETA60,alpha158_BETA10,0.09886173727039854
split_001,alpha158_CNTD30,alpha158_BETA10,0.3259244443673613
split_001,alpha158_CNTP20,alpha158_BETA10,0.38974716210171606
split_001,alpha158_CNTP30,alpha158_BETA10,0.31136806956931706
split_001,alpha158_CNTP60,alpha158_BETA10,0.19550597101802097
split_001,alpha158_CORD10,alpha158_BETA10,0.5100988188172741
split_001,alpha158_CORD20,alpha158_BETA10,0.28341538733888805
split_001,alpha158_CORD30,alpha158_BETA10,0.19897340020004617
split_001,alpha158_CORD5,alpha158_BETA10,0.4879148141407093
split_001,alpha158_CORD60,alpha158_BETA10,0.10529177057708927
split_001,alpha158_CORR10,alpha158_BETA10,0.30281798286786166
split_001,alpha158_CORR20,alpha158_BETA10,0.2067547774653808
split_001,alpha158_CORR5,alpha158_BETA10,0.3114759973286205
split_001,alpha158_HIGH0,alpha158_BETA10,0.04758651882607636
split_001,alpha158_IMAX20,alpha158_BETA10,0.43884142355030864
split_001,alpha158_IMAX30,alpha158_BETA10,0.3052991368005522
split_001,alpha158_IMAX60,alpha158_BETA10,0.11956341843551796
split_001,alpha158_IMIN20,alpha158_BETA10,-0.4318652985428162
split_001,alpha158_IMIN30,alpha158_BETA10,-0.2513054254320467
split_001,alpha158_IMXD20,alpha158_BETA10,0.467999727383286
split_001,alpha158_IMXD60,alpha158_BETA10,0.17465897363639188
split_001,alpha158_KLEN,alpha158_BETA10,0.15998290121948344
split_001,alpha158_KLOW,alpha158_BETA10,0.09689493698074866
split_001,alpha158_KMID,alpha158_BETA10,0.09572171536146297
split_001,alpha158_KUP,alpha158_BETA10,0.1378878470781021
split_001,alpha158_LOW0,alpha158_BETA10,-0.19665753087469506
split_001,alpha158_MA10,alpha158_BETA10,-0.8414196189124048
split_001,alpha158_MA20,alpha158_BETA10,-0.8276926969646923
split_001,alpha158_MA30,alpha158_BETA10,-0.711923489972228
split_001,alpha158_MA60,alpha158_BETA10,-0.4966268716359761
split_001,alpha158_MAX5,alpha158_BETA10,-0.2648449310775536
split_001,alpha158_MIN10,alpha158_BETA10,-0.6818099548477679
split_001,alpha158_MIN20,alpha158_BETA10,-0.6351362289595972
split_001,alpha158_MIN30,alpha158_BETA10,-0.5655735279340794
split_001,alpha158_MIN5,alpha158_BETA10,-0.47441682392942197
split_001,alpha158_MIN60,alpha158_BETA10,-0.43981008231056373
split_001,alpha158_OPEN0,alpha158_BETA10,-0.09572464065865233
split_001,alpha158_QTLD10,alpha158_BETA10,-0.7888435377439948
split_001,alpha158_QTLD20,alpha158_BETA10,-0.761328799249361
split_001,alpha158_QTLD30,alpha158_BETA10,-0.6980812662964044
split_001,alpha158_QTLD5,alpha158_BETA10,-0.4451116287062391
split_001,alpha158_QTLD60,alpha158_BETA10,-0.5307661458785069
split_001,alpha158_QTLU30,alpha158_BETA10,-0.7441400172681494
split_001,alpha158_QTLU60,alpha158_BETA10,-0.5420997464510173
split_001,alpha158_RANK20,alpha158_BETA10,0.7653047042418759
split_001,alpha158_RANK30,alpha158_BETA10,0.7134804813723812
split_001,alpha158_RANK60,alpha158_BETA10,0.5748853517315926
split_001,alpha158_ROC10,alpha158_BETA10,-0.8742582225549859
split_001,alpha158_ROC20,alpha158_BETA10,-0.5689497487293809
split_001,alpha158_ROC5,alpha158_BETA10,-0.6981603762614526
split_001,alpha158_ROC60,alpha158_BETA10,-0.2754570257495857
split_001,alpha158_RSQR30,alpha158_BETA10,0.015192808161992234
split_001,alpha158_RSV20,alpha158_BETA10,0.7254620072949616
split_001,alpha158_RSV30,alpha158_BETA10,0.6590361947662282
split_001,alpha158_RSV60,alpha158_BETA10,0.5212387793448523
split_001,alpha158_STD10,alpha158_BETA10,-0.0661708142699027
split_001,alpha158_STD20,alpha158_BETA10,-0.05498421393081021
split_001,alpha158_STD5,alpha158_BETA10,0.11513446145377836
split_001,alpha158_SUMD20,alpha158_BETA10,0.5564675499234968
split_001,alpha158_SUMD30,alpha158_BETA10,0.4566377975096881
split_001,alpha158_SUMD60,alpha158_BETA10,0.2861006950232242
split_001,alpha158_SUMN20,alpha158_BETA10,-0.5564672750752975
split_001,alpha158_SUMN30,alpha158_BETA10,-0.45663766163384445
split_001,alpha158_SUMN60,alpha158_BETA10,-0.2861004438781406
split_001,alpha158_SUMP20,alpha158_BETA10,0.5564668900697928
split_001,alpha158_SUMP30,alpha158_BETA10,0.45663804997719776
split_001,alpha158_SUMP60,alpha158_BETA10,0.28609996123206105
split_001,alpha158_VMA30,alpha158_BETA10,-0.37621486133377124
split_001,alpha158_VMA60,alpha158_BETA10,-0.36261178242847814
split_001,alpha158_VSTD60,alpha158_BETA10,-0.28064074541018635
split_001,alpha158_VSUMD20,alpha158_BETA10,0.30607357908190613
split_001,alpha158_VSUMD30,alpha158_BETA10,0.27725284909788894
split_001,alpha158_VSUMD60,alpha158_BETA10,0.21933566976721153
split_001,alpha158_VSUMN20,alpha158_BETA10,-0.3060732594313675
split_001,alpha158_VSUMN30,alpha158_BETA10,-0.2772529259836134
split_001,alpha158_VSUMN60,alpha158_BETA10,-0.2193370120688658
split_001,alpha158_VSUMP20,alpha158_BETA10,0.30607357908190613
split_001,alpha158_VSUMP30,alpha158_BETA10,0.27725284909788894
split_001,alpha158_VSUMP60,alpha158_BETA10,0.21933595017949165
split_001,alpha360_CLOSE10,alpha158_BETA10,-0.8742582225549859
split_001,alpha360_CLOSE11,alpha158_BETA10,-0.8272063614848201
split_001,alpha360_CLOSE12,alpha158_BETA10,-0.7784497980474538
split_001,alpha360_CLOSE13,alpha158_BETA10,-0.7396148364641356
split_001,alpha360_CLOSE14,alpha158_BETA10,-0.6943203156758191
split_001,alpha360_CLOSE15,alpha158_BETA10,-0.6891033445868131
split_001,alpha360_CLOSE16,alpha158_BETA10,-0.6500004479991373
split_001,alpha360_CLOSE17,alpha158_BETA10,-0.6283929054260173
split_001,alpha360_CLOSE18,alpha158_BETA10,-0.60859086661083
split_001,alpha360_CLOSE19,alpha158_BETA10,-0.5835220195483426
split_001,alpha360_CLOSE2,alpha158_BETA10,-0.2956195457661046
split_001,alpha360_CLOSE20,alpha158_BETA10,-0.5689497487293809
split_001,alpha360_CLOSE21,alpha158_BETA10,-0.5486346971301665
split_001,alpha360_CLOSE22,alpha158_BETA10,-0.5364916569889997
split_001,alpha360_CLOSE23,alpha158_BETA10,-0.5201500268738103
split_001,alpha360_CLOSE24,alpha158_BETA10,-0.5040033309979894
split_001,alpha360_CLOSE25,alpha158_BETA10,-0.4885685562211254
split_001,alpha360_CLOSE26,alpha158_BETA10,-0.47737168681392506
split_001,alpha360_CLOSE27,alpha158_BETA10,-0.47536595140153415
split_001,alpha360_CLOSE28,alpha158_BETA10,-0.44636015091119596
split_001,alpha360_CLOSE29,alpha158_BETA10,-0.43889463199849754
split_001,alpha360_CLOSE3,alpha158_BETA10,-0.43676273543666233
split_001,alpha360_CLOSE35,alpha158_BETA10,-0.40651382841263356
split_001,alpha360_CLOSE36,alpha158_BETA10,-0.41235060437059085
split_001,alpha360_CLOSE37,alpha158_BETA10,-0.3968637736277927
split_001,alpha360_CLOSE38,alpha158_BETA10,-0.37383802128218857
split_001,alpha360_CLOSE39,alpha158_BETA10,-0.36699047660533013
split_001,alpha360_CLOSE4,alpha158_BETA10,-0.5752347167654563
split_001,alpha360_CLOSE40,alpha158_BETA10,-0.3731823398975146
split_001,alpha360_CLOSE41,alpha158_BETA10,-0.3662752269037241
split_001,alpha360_CLOSE42,alpha158_BETA10,-0.35081623417880503
split_001,alpha360_CLOSE43,alpha158_BETA10,-0.3483056886781877
split_001,alpha360_CLOSE44,alpha158_BETA10,-0.3459868252952998
split_001,alpha360_CLOSE45,alpha158_BETA10,-0.3432314359170502
split_001,alpha360_CLOSE46,alpha158_BETA10,-0.3331400203134395
split_001,alpha360_CLOSE47,alpha158_BETA10,-0.3284622829967425
split_001,alpha360_CLOSE48,alpha158_BETA10,-0.3198915516108782
split_001,alpha360_CLOSE49,alpha158_BETA10,-0.32916316288336966
split_001,alpha360_CLOSE5,alpha158_BETA10,-0.6981603762614526
split_001,alpha360_CLOSE50,alpha158_BETA10,-0.3346885872606761
split_001,alpha360_CLOSE51,alpha158_BETA10,-0.32847573494519766
split_001,alpha360_CLOSE52,alpha158_BETA10,-0.327493493914099
split_001,alpha360_CLOSE53,alpha158_BETA10,-0.3254187307519252
split_001,alpha360_CLOSE54,alpha158_BETA10,-0.3210104785450464
split_001,alpha360_CLOSE55,alpha158_BETA10,-0.32214358934663373
split_001,alpha360_CLOSE56,alpha158_BETA10,-0.31308969435638456
split_001,alpha360_CLOSE57,alpha158_BETA10,-0.2993821161973896
split_001,alpha360_CLOSE58,alpha158_BETA10,-0.2963250520611076
split_001,alpha360_CLOSE59,alpha158_BETA10,-0.2892082781775134
split_001,alpha360_CLOSE6,alpha158_BETA10,-0.8226963718850687
split_001,alpha360_CLOSE7,alpha158_BETA10,-0.9073158149507051
split_001,alpha360_CLOSE8,alpha158_BETA10,-0.9431252390230026
split_001,alpha360_CLOSE9,alpha158_BETA10,-0.9410887842780862
split_001,alpha360_HIGH0,alpha158_BETA10,0.04758651882607636
split_001,alpha360_HIGH10,alpha158_BETA10,-0.8602936464334424
split_001,alpha360_HIGH11,alpha158_BETA10,-0.8128394569804005
split_001,alpha360_HIGH12,alpha158_BETA10,-0.7557715264876257
split_001,alpha360_HIGH13,alpha158_BETA10,-0.7221190092840595
split_001,alpha360_HIGH14,alpha158_BETA10,-0.6932699999223297
split_001,alpha360_HIGH15,alpha158_BETA10,-0.674965454513992
split_001,alpha360_HIGH16,alpha158_BETA10,-0.6340300141382242
split_001,alpha360_HIGH17,alpha158_BETA10,-0.6200712891706746
split_001,alpha360_HIGH18,alpha158_BETA10,-0.6163660811456925
split_001,alpha360_HIGH19,alpha158_BETA10,-0.5897034733272973
split_001,alpha360_HIGH20,alpha158_BETA10,-0.5662047398619053
split_001,alpha360_HIGH21,alpha158_BETA10,-0.5436265818434309
split_001,alpha360_HIGH22,alpha158_BETA10,-0.5297016080639718
split_001,alpha360_HIGH23,alpha158_BETA10,-0.5191754180785706
split_001,alpha360_HIGH24,alpha158_BETA10,-0.5043657646120221
split_001,alpha360_HIGH25,alpha158_BETA10,-0.4935569061364534
