outer_split_id,left_factor,right_factor,performance_correlation
split_001,alpha360_CLOSE2,alpha158_BETA10,-0.2987414773709574
split_001,alpha360_CLOSE20,alpha158_BETA10,-0.6798432669856864
split_001,alpha360_CLOSE21,alpha158_BETA10,-0.6734745576220454
split_001,alpha360_CLOSE22,alpha158_BETA10,-0.6664384584230258
split_001,alpha360_CLOSE23,alpha158_BETA10,-0.6605808186602187
split_001,alpha360_CLOSE24,alpha158_BETA10,-0.6570893451088143
split_001,alpha360_CLOSE25,alpha158_BETA10,-0.6485530862926828
split_001,alpha360_CLOSE26,alpha158_BETA10,-0.6352291986470473
split_001,alpha360_CLOSE27,alpha158_BETA10,-0.6187948278158885
split_001,alpha360_CLOSE28,alpha158_BETA10,-0.6039362571542909
split_001,alpha360_CLOSE29,alpha158_BETA10,-0.5860770992196586
split_001,alpha360_CLOSE3,alpha158_BETA10,-0.47184075385379504
split_001,alpha360_CLOSE35,alpha158_BETA10,-0.4923211437323279
split_001,alpha360_CLOSE36,alpha158_BETA10,-0.48693125849850555
split_001,alpha360_CLOSE37,alpha158_BETA10,-0.4783714658747728
split_001,alpha360_CLOSE38,alpha158_BETA10,-0.47199991529973573
split_001,alpha360_CLOSE39,alpha158_BETA10,-0.4638277067966333
split_001,alpha360_CLOSE4,alpha158_BETA10,-0.6137606568880748
split_001,alpha360_CLOSE40,alpha158_BETA10,-0.4557555303777766
split_001,alpha360_CLOSE41,alpha158_BETA10,-0.4481987925923722
split_001,alpha360_CLOSE42,alpha158_BETA10,-0.44298436556419624
split_001,alpha360_CLOSE43,alpha158_BETA10,-0.43964580815443755
split_001,alpha360_CLOSE44,alpha158_BETA10,-0.43467795002845233
split_001,alpha360_CLOSE45,alpha158_BETA10,-0.42983684745616424
split_001,alpha360_CLOSE46,alpha158_BETA10,-0.4238365038304086
split_001,alpha360_CLOSE47,alpha158_BETA10,-0.41975759642093136
split_001,alpha360_CLOSE48,alpha158_BETA10,-0.4120523919381431
split_001,alpha360_CLOSE49,alpha158_BETA10,-0.407641491657426
split_001,alpha360_CLOSE5,alpha158_BETA10,-0.7415051665821004
split_001,alpha360_CLOSE50,alpha158_BETA10,-0.40524836074164194
split_001,alpha360_CLOSE51,alpha158_BETA10,-0.40641620584094096
split_001,alpha360_CLOSE52,alpha158_BETA10,-0.40708817913998674
split_001,alpha360_CLOSE53,alpha158_BETA10,-0.40396016621622743
split_001,alpha360_CLOSE54,alpha158_BETA10,-0.4049330934922053
split_001,alpha360_CLOSE55,alpha158_BETA10,-0.40372053951924025
split_001,alpha360_CLOSE56,alpha158_BETA10,-0.4026225989418364
split_001,alpha360_CLOSE57,alpha158_BETA10,-0.406012324960605
split_001,alpha360_CLOSE58,alpha158_BETA10,-0.4105749620121995
split_001,alpha360_CLOSE59,alpha158_BETA10,-0.4169375064831887
split_001,alpha360_CLOSE6,alpha158_BETA10,-0.849857282735111
split_001,alpha360_CLOSE7,alpha158_BETA10,-0.9234833090892229
split_001,alpha360_CLOSE8,alpha158_BETA10,-0.9541819549303461
split_001,alpha360_CLOSE9,alpha158_BETA10,-0.95687427076691
split_001,alpha360_HIGH0,alpha158_BETA10,0.0659027560554658
split_001,alpha360_HIGH10,alpha158_BETA10,-0.9039171995948325
split_001,alpha360_HIGH11,alpha158_BETA10,-0.8671348232538678
split_001,alpha360_HIGH12,alpha158_BETA10,-0.8299772997931009
split_001,alpha360_HIGH13,alpha158_BETA10,-0.8033523614085225
