outer_split_id,cluster_id,member_count
split_001,cluster_001,2
split_001,cluster_002,1
split_001,cluster_003,11
split_001,cluster_004,2
split_001,cluster_005,1
split_001,cluster_006,1
split_001,cluster_007,1
split_001,cluster_008,2
split_001,cluster_009,1
split_001,cluster_010,1
split_001,cluster_011,2
split_001,cluster_012,3
split_001,cluster_013,1
split_001,cluster_014,1
split_001,cluster_015,2
split_001,cluster_016,1
split_001,cluster_017,1
split_001,cluster_018,1
split_001,cluster_019,27
split_001,cluster_020,2
split_001,cluster_021,5
split_001,cluster_022,3
split_001,cluster_023,1
split_001,cluster_024,1
split_001,cluster_025,14
split_001,cluster_026,6
split_001,cluster_027,13
split_001,cluster_028,29
split_001,cluster_029,1
split_001,cluster_030,5
split_001,cluster_031,1
split_001,cluster_032,3
split_001,cluster_033,153
split_001,cluster_034,1
split_001,cluster_035,1
split_001,cluster_036,146
split_001,cluster_037,3
split_001,cluster_038,1
split_001,cluster_039,2
split_001,cluster_040,2
split_001,cluster_041,1
split_001,cluster_042,1
split_001,cluster_043,1
split_001,cluster_044,1
split_001,cluster_045,1
split_002,cluster_001,1
split_002,cluster_002,1
split_002,cluster_003,1
split_002,cluster_004,5
split_002,cluster_005,3
split_002,cluster_006,2
split_002,cluster_007,1
split_002,cluster_008,1
split_002,cluster_009,1
split_002,cluster_010,2
split_002,cluster_011,2
split_002,cluster_012,2
split_002,cluster_013,1
split_002,cluster_014,1
split_002,cluster_015,1
split_002,cluster_016,10
split_002,cluster_017,11
split_002,cluster_018,31
split_002,cluster_019,5
split_002,cluster_020,13
split_002,cluster_021,1
split_002,cluster_022,26
split_002,cluster_023,1
split_002,cluster_024,4
split_002,cluster_025,1
split_002,cluster_026,2
split_002,cluster_027,3
split_002,cluster_028,81
split_002,cluster_029,1
split_002,cluster_030,1
split_002,cluster_031,1
split_002,cluster_032,3
split_002,cluster_033,1
split_002,cluster_034,1
split_002,cluster_035,2
split_002,cluster_036,3
split_002,cluster_037,1
split_002,cluster_038,2
split_002,cluster_039,1
split_002,cluster_040,1
split_002,cluster_041,1
split_002,cluster_042,1
split_002,cluster_043,1
split_002,cluster_044,1
split_002,cluster_045,1
split_002,cluster_046,1
split_003,cluster_001,3
split_003,cluster_002,23
split_003,cluster_003,1
split_003,cluster_004,1
split_003,cluster_005,1
split_003,cluster_006,1
split_003,cluster_007,2
split_003,cluster_008,2
split_003,cluster_009,2
split_003,cluster_010,2
split_003,cluster_011,1
split_003,cluster_012,2
split_003,cluster_013,3
split_003,cluster_014,1
split_003,cluster_015,1
split_003,cluster_016,1
split_003,cluster_017,1
split_003,cluster_018,1
split_003,cluster_019,1
split_003,cluster_020,1
split_003,cluster_021,2
split_003,cluster_022,7
split_003,cluster_023,4
split_003,cluster_024,1
split_003,cluster_025,1
split_003,cluster_026,2
split_003,cluster_027,2
split_003,cluster_028,3
split_003,cluster_029,2
split_003,cluster_030,1
split_003,cluster_031,8
split_003,cluster_032,10
split_003,cluster_033,5
split_003,cluster_034,13
split_003,cluster_035,23
split_003,cluster_036,3
split_003,cluster_037,51
split_003,cluster_038,3
split_003,cluster_039,1
split_003,cluster_040,1
split_003,cluster_041,1
split_003,cluster_042,1
split_003,cluster_043,1
split_003,cluster_044,1
split_003,cluster_045,2
split_003,cluster_046,1
split_003,cluster_047,8
split_003,cluster_048,1
split_003,cluster_049,1
split_003,cluster_050,1
split_003,cluster_051,1
split_003,cluster_052,1
