year,output,dates,frozen_families,universe_rows,valid_rows,missing_rows,n_below_100_dates,constant_dates,single_family_valid_rows,effective_family_sum,max_family_weight,l1_sum,raw_any_parent_rows,raw_available_but_output_missing,infinite_cells,finite_rate,mean_effective_families,single_family_share_valid,mean_l1_weight_drift,raw_union_availability_loss
2010,erc_00117565632c65c3,223,1,355454,349860,5594,0,0,349860,349860,1.0,0.0,349860,0,0,0.9842623799422711,1.0,1.0,0.0,0.0
2010,erc_00788fafdcd6a5d7,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_023793c16a68c052,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_037ede19dfe67dad,223,1,355454,353716,1738,0,0,353716,353716,1.0,0.0,353716,0,0,0.9951104784304017,1.0,1.0,0.0,0.0
2010,erc_040fdbdf6f80eb9b,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_0451fc1cf4a1975f,223,1,355454,258485,96969,0,0,258485,258485,1.0,0.0,258485,0,0,0.7271967680768819,1.0,1.0,0.0,0.0
2010,erc_0a1aac410f6966dc,223,1,355454,353808,1646,0,0,353808,353808,1.0,0.0,353808,0,0,0.9953693023569857,1.0,1.0,0.0,0.0
2010,erc_0a67371497d65238,223,1,355454,355454,0,0,0,355454,355454,1.0,0.0,355454,0,0,1.0,1.0,1.0,0.0,0.0
2010,erc_0c3d95428646e6a5,223,1,355454,351020,4434,0,0,351020,351020,1.0,0.0,351020,0,0,0.9875258120600696,1.0,1.0,0.0,0.0
2010,erc_11517d81c4a1cf82,223,1,355454,171888,183566,0,0,171888,171888,1.0,0.0,171888,0,0,0.4835731205725635,1.0,1.0,0.0,0.0
2010,erc_11b179c281e84335,223,1,355454,344738,10716,0,0,344738,344738,1.0,0.0,344738,0,0,0.96985263916006,1.0,1.0,0.0,0.0
2010,erc_13382d0b01bbe5a4,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_14febb1e2e22e3c8,223,1,355454,345105,10349,0,0,345105,345105,1.0,0.0,345105,0,0,0.9708851215628463,1.0,1.0,0.0,0.0
2010,erc_1712925a3a57565a,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_184a9d5068007d83,223,1,355454,235104,120350,0,0,235104,235104,1.0,0.0,235104,0,0,0.6614189177783905,1.0,1.0,0.0,0.0
2010,erc_1881209c97b92e2e,223,1,355454,354961,493,0,0,354961,354961,1.0,0.0,354961,0,0,0.9986130413499356,1.0,1.0,0.0,0.0
2010,erc_190c45a632cbee4f,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_194a629a3014a2c0,223,1,355454,344738,10716,0,0,344738,344738,1.0,0.0,344738,0,0,0.96985263916006,1.0,1.0,0.0,0.0
2010,erc_1c328f10dce0a438,223,1,355454,279320,76134,0,0,279320,279320,1.0,0.0,279320,0,0,0.7858119475375154,1.0,1.0,0.0,0.0
2010,erc_1c97f35e1c57a7ce,223,1,355454,352959,2495,0,0,352959,352959,1.0,0.0,352959,0,0,0.9929808076431831,1.0,1.0,0.0,0.0
2010,erc_1fe2bf6a7f56d591,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_215a508805fe1c20,223,1,355454,283662,71792,0,0,283662,283662,1.0,0.0,283662,0,0,0.7980273115508617,1.0,1.0,0.0,0.0
2010,erc_228b22f6ffe04c86,223,1,355454,351733,3721,0,0,351733,351733,1.0,0.0,351733,0,0,0.9895316974910959,1.0,1.0,0.0,0.0
2010,erc_26bec51c7e111771,223,1,355454,336837,18617,0,0,336837,336837,1.0,0.0,336837,0,0,0.9476247278128815,1.0,1.0,0.0,0.0
2010,erc_2831b0e43d38e4b5,223,1,355454,336331,19123,0,0,336331,336331,1.0,0.0,336331,0,0,0.9462011962166694,1.0,1.0,0.0,0.0
2010,erc_2e1e5bd8ecff9dd8,223,1,355454,349442,6012,0,0,349442,349442,1.0,0.0,349442,0,0,0.9830864190584435,1.0,1.0,0.0,0.0
2010,erc_2e8b6cb0f9d7b86b,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_2ed30c042ef65f0a,223,1,355454,354961,493,0,0,354961,354961,1.0,0.0,354961,0,0,0.9986130413499356,1.0,1.0,0.0,0.0
2010,erc_310a9f67e8f80039,223,1,355454,354921,533,0,0,354921,354921,1.0,0.0,354921,0,0,0.9985005092079425,1.0,1.0,0.0,0.0
2010,erc_32e317ff322f6e15,223,1,355454,349442,6012,0,0,349442,349442,1.0,0.0,349442,0,0,0.9830864190584435,1.0,1.0,0.0,0.0
2010,erc_34b9a4407e53a5bc,223,1,355454,190515,164939,0,0,190515,190515,1.0,0.0,190515,0,0,0.5359765257951803,1.0,1.0,0.0,0.0
2010,erc_350a39fe9841cb3f,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_3560d64fb68e4d18,223,1,355454,353808,1646,0,0,353808,353808,1.0,0.0,353808,0,0,0.9953693023569857,1.0,1.0,0.0,0.0
2010,erc_358a00bb3fef169f,223,1,355454,343661,11793,0,0,343661,343661,1.0,0.0,344555,894,0,0.966822711236897,1.0,1.0,0.0,0.002594651071672157
2010,erc_37e550609cd38c9c,223,1,355454,343511,11943,0,0,343511,343511,1.0,0.0,344197,686,0,0.9664007157044231,1.0,1.0,0.0,0.001993044680807793
2010,erc_38d851d16107ea47,223,1,355454,351593,3861,0,0,351593,351593,1.0,0.0,351593,0,0,0.9891378349941202,1.0,1.0,0.0,0.0
2010,erc_3a3186e77dff7370,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_3cbadf7497f354e3,223,1,355454,344990,10464,0,0,344990,344990,1.0,0.0,344990,0,0,0.9705615916546163,1.0,1.0,0.0,0.0
2010,erc_3ce66b8c7c80ae6d,223,1,355454,343661,11793,0,0,343661,343661,1.0,0.0,344555,894,0,0.966822711236897,1.0,1.0,0.0,0.002594651071672157
2010,erc_401d8dfcc7503986,223,1,355454,349947,5507,0,0,349947,349947,1.0,0.0,349947,0,0,0.984507137351106,1.0,1.0,0.0,0.0
2010,erc_4086289249c98f60,223,1,355454,352758,2696,0,0,352758,352758,1.0,0.0,352758,0,0,0.9924153336296679,1.0,1.0,0.0,0.0
2010,erc_408a3040f42d3aa2,223,1,355454,349860,5594,0,0,349860,349860,1.0,0.0,349860,0,0,0.9842623799422711,1.0,1.0,0.0,0.0
2010,erc_41781f0f49b6690f,223,1,355454,353037,2417,0,0,353037,353037,1.0,0.0,353037,0,0,0.9932002453200696,1.0,1.0,0.0,0.0
2010,erc_4198011de131cb6c,223,1,355454,344184,11270,0,0,344184,344184,1.0,0.0,344184,0,0,0.9682940689934563,1.0,1.0,0.0,0.0
2010,erc_4363a4c5b701b635,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_485005ec7e9db28f,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_4f1bcd69bd3f408a,223,1,355454,258485,96969,0,0,258485,258485,1.0,0.0,258485,0,0,0.7271967680768819,1.0,1.0,0.0,0.0
2010,erc_50446426a2469979,223,1,355454,342998,12456,0,0,342998,342998,1.0,0.0,344891,1893,0,0.9649574909833621,1.0,1.0,0.0,0.005488690629793181
2010,erc_51590f98fed38ca2,223,1,355454,294751,60703,0,0,294751,294751,1.0,0.0,294751,0,0,0.8292240346148869,1.0,1.0,0.0,0.0
2010,erc_52b20f87e810021b,223,1,355454,344884,10570,0,0,344884,344884,1.0,0.0,344884,0,0,0.9702633814783348,1.0,1.0,0.0,0.0
2010,erc_52fd4730aae4b5ee,223,1,355454,279320,76134,0,0,279320,279320,1.0,0.0,279320,0,0,0.7858119475375154,1.0,1.0,0.0,0.0
2010,erc_5ba005b55a84c807,223,1,355454,344922,10532,0,0,344922,344922,1.0,0.0,344922,0,0,0.9703702870132281,1.0,1.0,0.0,0.0
2010,erc_5c22c3b16e983dbe,223,1,355454,342998,12456,0,0,342998,342998,1.0,0.0,344891,1893,0,0.9649574909833621,1.0,1.0,0.0,0.005488690629793181
2010,erc_6140a537d206c638,223,1,355454,171888,183566,0,0,171888,171888,1.0,0.0,171888,0,0,0.4835731205725635,1.0,1.0,0.0,0.0
2010,erc_618fc830545cb661,223,1,355454,344884,10570,0,0,344884,344884,1.0,0.0,344884,0,0,0.9702633814783348,1.0,1.0,0.0,0.0
2010,erc_631efedd679b71e1,223,1,355454,348935,6519,0,0,348935,348935,1.0,0.0,348935,0,0,0.9816600741586816,1.0,1.0,0.0,0.0
2010,erc_64f656a225c40c87,223,1,355454,350435,5019,0,0,350435,350435,1.0,0.0,350435,0,0,0.9858800294834212,1.0,1.0,0.0,0.0
2010,erc_6666016380bb418a,223,1,355454,336777,18677,0,0,336777,336777,1.0,0.0,336777,0,0,0.947455929599892,1.0,1.0,0.0,0.0
2010,erc_687f9778a5f68686,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_68b1ddfe076f4115,223,1,355454,343967,11487,0,0,343967,343967,1.0,0.0,344786,819,0,0.9676835821231439,1.0,1.0,0.0,0.002375386471608476
2010,erc_69a9de53d02b544f,223,1,355454,353808,1646,0,0,353808,353808,1.0,0.0,353808,0,0,0.9953693023569857,1.0,1.0,0.0,0.0
2010,erc_6be82424a71f9bc7,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_6c25ed64ad6c567b,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_6e5b9f3457c7130a,223,1,355454,258485,96969,0,0,258485,258485,1.0,0.0,258485,0,0,0.7271967680768819,1.0,1.0,0.0,0.0
2010,erc_6fdaebce7fbeb966,223,1,355454,353037,2417,0,0,353037,353037,1.0,0.0,353037,0,0,0.9932002453200696,1.0,1.0,0.0,0.0
2010,erc_702556b9583c13f0,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_716af060ecb85801,223,1,355454,343661,11793,0,0,343661,343661,1.0,0.0,344555,894,0,0.966822711236897,1.0,1.0,0.0,0.002594651071672157
2010,erc_735659eb2774afc7,223,1,355454,353037,2417,0,0,353037,353037,1.0,0.0,353037,0,0,0.9932002453200696,1.0,1.0,0.0,0.0
2010,erc_7522921f6a7603d8,223,1,355454,235104,120350,0,0,235104,235104,1.0,0.0,235104,0,0,0.6614189177783905,1.0,1.0,0.0,0.0
2010,erc_76d829963fb2f9ee,223,1,355454,354953,501,0,0,354953,354953,1.0,0.0,354953,0,0,0.9985905349215369,1.0,1.0,0.0,0.0
2010,erc_77a7e5e844591c15,223,1,355454,347756,7698,0,0,347756,347756,1.0,0.0,347756,0,0,0.9783431892734362,1.0,1.0,0.0,0.0
2010,erc_7ffe8e0e5f3cb5af,223,1,355454,344996,10458,0,0,344996,344996,1.0,0.0,344996,0,0,0.9705784714759154,1.0,1.0,0.0,0.0
2010,erc_816a4a8c2194f406,223,1,355454,334903,20551,0,0,334903,334903,1.0,0.0,334903,0,0,0.9421837987475172,1.0,1.0,0.0,0.0
2010,erc_819e0e0b8186a56f,223,1,355454,258485,96969,0,0,258485,258485,1.0,0.0,258485,0,0,0.7271967680768819,1.0,1.0,0.0,0.0
