year,output,semantic_id,family,frozen_nodes,rows,valid,partial,partial_share_valid
2010,erc_1c97f35e1c57a7ce,positive_volume_variation__window_20,volume_change_positive_negative_partition,3,355454,352959,0,0.0
2010,erc_228b22f6ffe04c86,positive_price_variation__window_10,price_change_positive_negative_partition,3,355454,351733,0,0.0
2010,erc_358a00bb3fef169f,vwap_relative_to_current_close__d6_21,historical_vwap_current_close_ratio,16,355454,343661,70999,0.20659603504616467
2010,erc_37e550609cd38c9c,vwap_relative_to_current_close__d1_5,historical_vwap_current_close_ratio,3,355454,343511,13500,0.03930005152673422
2010,erc_3ce66b8c7c80ae6d,close_relative_to_current_close__d6_21,historical_close_current_close_ratio,16,355454,343661,70999,0.20659603504616467
2010,erc_50446426a2469979,low_relative_to_current_close__d22_63,historical_low_current_close_ratio,38,355454,342998,152703,0.4452008466521671
2010,erc_5c22c3b16e983dbe,close_relative_to_current_close__d22_63,historical_close_current_close_ratio,38,355454,342998,152703,0.4452008466521671
2010,erc_68b1ddfe076f4115,low_relative_to_current_close__d1_5,historical_low_current_close_ratio,5,355454,343967,22666,0.0658958562885393
2010,erc_716af060ecb85801,low_relative_to_current_close__d6_21,historical_low_current_close_ratio,16,355454,343661,70999,0.20659603504616467
2010,erc_76d829963fb2f9ee,positive_volume_variation__window_60,volume_change_positive_negative_partition,3,355454,354953,0,0.0
2010,erc_8706c2f0bfd43b03,close_relative_to_current_close__d1_5,historical_close_current_close_ratio,3,355454,343511,13500,0.03930005152673422
2010,erc_8ef02558087d3f63,positive_price_variation__window_60,price_change_positive_negative_partition,3,355454,354953,0,0.0
2010,erc_9dab8b78f9bba2f8,positive_volume_variation__window_30,volume_change_positive_negative_partition,3,355454,353777,0,0.0
2010,erc_c36f4e900bbed946,positive_price_variation__window_20,price_change_positive_negative_partition,3,355454,352959,0,0.0
2010,erc_ce402b81a19b777d,past_return__window_5,simple_close_to_close_return,2,355454,338164,0,0.0
2010,erc_cfa35104ce583e7d,high_relative_to_current_close__d22_63,historical_high_current_close_ratio,38,355454,342998,152703,0.4452008466521671
2010,erc_db3d561078c82ac3,positive_price_variation__window_30,price_change_positive_negative_partition,3,355454,353777,0,0.0
2010,erc_de16999187d03a2f,open_relative_to_current_close__d6_21,historical_open_current_close_ratio,16,355454,343661,70999,0.20659603504616467
2010,erc_e1375e9cc265601a,open_relative_to_current_close__d22_63,historical_open_current_close_ratio,38,355454,342998,152703,0.4452008466521671
2010,erc_e9a677039313f33b,vwap_relative_to_current_close__d22_63,historical_vwap_current_close_ratio,38,355454,342998,152703,0.4452008466521671
2010,erc_ec991f61e2fa8754,open_relative_to_current_close__d1_5,historical_open_current_close_ratio,4,355454,344061,18455,0.053638744292436515
2010,erc_f6369a88c1589e3f,high_relative_to_current_close__d6_21,historical_high_current_close_ratio,16,355454,343661,70999,0.20659603504616467
2011,erc_1c97f35e1c57a7ce,positive_volume_variation__window_20,volume_change_positive_negative_partition,3,455402,451630,0,0.0
2011,erc_228b22f6ffe04c86,positive_price_variation__window_10,price_change_positive_negative_partition,3,455402,450068,0,0.0
2011,erc_358a00bb3fef169f,vwap_relative_to_current_close__d6_21,historical_vwap_current_close_ratio,16,455402,439860,88788,0.2018551357250034
2011,erc_37e550609cd38c9c,vwap_relative_to_current_close__d1_5,historical_vwap_current_close_ratio,3,455402,439652,16430,0.037370465731988024
2011,erc_3ce66b8c7c80ae6d,close_relative_to_current_close__d6_21,historical_close_current_close_ratio,16,455402,439860,88788,0.2018551357250034
2011,erc_50446426a2469979,low_relative_to_current_close__d22_63,historical_low_current_close_ratio,38,455402,439284,188941,0.43011127197894755
2011,erc_5c22c3b16e983dbe,close_relative_to_current_close__d22_63,historical_close_current_close_ratio,38,455402,439284,188941,0.43011127197894755
2011,erc_68b1ddfe076f4115,low_relative_to_current_close__d1_5,historical_low_current_close_ratio,5,455402,440308,27667,0.06283556056215195
2011,erc_716af060ecb85801,low_relative_to_current_close__d6_21,historical_low_current_close_ratio,16,455402,439860,88788,0.2018551357250034
2011,erc_76d829963fb2f9ee,positive_volume_variation__window_60,volume_change_positive_negative_partition,3,455402,454721,0,0.0
2011,erc_8706c2f0bfd43b03,close_relative_to_current_close__d1_5,historical_close_current_close_ratio,3,455402,439652,16430,0.037370465731988024
2011,erc_8ef02558087d3f63,positive_price_variation__window_60,price_change_positive_negative_partition,3,455402,454721,0,0.0
2011,erc_9dab8b78f9bba2f8,positive_volume_variation__window_30,volume_change_positive_negative_partition,3,455402,452738,0,0.0
2011,erc_c36f4e900bbed946,positive_price_variation__window_20,price_change_positive_negative_partition,3,455402,451630,0,0.0
2011,erc_ce402b81a19b777d,past_return__window_5,simple_close_to_close_return,2,455402,432329,0,0.0
2011,erc_cfa35104ce583e7d,high_relative_to_current_close__d22_63,historical_high_current_close_ratio,38,455402,439284,188941,0.43011127197894755
2011,erc_db3d561078c82ac3,positive_price_variation__window_30,price_change_positive_negative_partition,3,455402,452738,0,0.0
2011,erc_de16999187d03a2f,open_relative_to_current_close__d6_21,historical_open_current_close_ratio,16,455402,439860,88788,0.2018551357250034
2011,erc_e1375e9cc265601a,open_relative_to_current_close__d22_63,historical_open_current_close_ratio,38,455402,439284,188941,0.43011127197894755
2011,erc_e9a677039313f33b,vwap_relative_to_current_close__d22_63,historical_vwap_current_close_ratio,38,455402,439284,188941,0.43011127197894755
2011,erc_ec991f61e2fa8754,open_relative_to_current_close__d1_5,historical_open_current_close_ratio,4,455402,440399,22547,0.0511967556692908
2011,erc_f6369a88c1589e3f,high_relative_to_current_close__d6_21,historical_high_current_close_ratio,16,455402,439860,88788,0.2018551357250034
2012,erc_1c97f35e1c57a7ce,positive_volume_variation__window_20,volume_change_positive_negative_partition,3,485960,482837,0,0.0
2012,erc_228b22f6ffe04c86,positive_price_variation__window_10,price_change_positive_negative_partition,3,485960,481510,0,0.0
