fold_role,factor,dates,universe_rows,finite_cells,n_below_100_dates,rank_suppressed_cells,infinite_cells,all_missing_dates,constant_dates,below_rank_min_dates,raw_U_not_ranked_dates,finite_rate
annual_2015:predict,alpha158_BETA10,244,487993,430243,0,0,0,0,0,0,0,0.8816581385388725
annual_2015:predict,alpha158_BETA20,244,487993,430594,0,0,0,0,0,0,0,0.8823774111513895
annual_2015:predict,alpha158_BETA30,244,487993,430769,0,0,0,0,0,0,0,0.8827360228527869
annual_2015:predict,alpha158_BETA5,244,487993,429477,0,0,0,0,0,0,0,0.8800884438916132
annual_2015:predict,alpha158_BETA60,244,487993,431001,0,0,0,0,0,0,0,0.8832114395083536
annual_2015:predict,alpha158_CNTD30,244,487993,487993,0,0,0,0,0,0,0,1.0
annual_2015:predict,alpha158_CNTP30,244,487993,487993,0,0,0,0,0,0,0,1.0
annual_2015:predict,alpha158_CORD10,244,487993,444648,0,0,0,0,0,0,0,0.9111770045881805
annual_2015:predict,alpha158_CORD20,244,487993,456072,0,0,0,0,0,0,0,0.9345871764554
annual_2015:predict,alpha158_CORD30,244,487993,464432,0,0,0,0,0,0,0,0.9517185697335823
annual_2015:predict,alpha158_CORD5,244,487993,434602,0,0,0,0,0,0,0,0.89059064371825
annual_2015:predict,alpha158_CORD60,244,487993,481381,0,0,0,0,0,0,0,0.9864506253163468
annual_2015:predict,alpha158_CORR10,244,487993,445848,0,0,0,0,0,0,0,0.9136360562549053
annual_2015:predict,alpha158_CORR20,244,487993,456753,0,0,0,0,0,0,0,0.9359826882762663
annual_2015:predict,alpha158_CORR30,244,487993,464901,0,0,0,0,0,0,0,0.9526796490933271
annual_2015:predict,alpha158_CORR5,244,487993,436888,0,0,0,0,0,0,0,0.8952751371433607
annual_2015:predict,alpha158_CORR60,244,487993,481562,0,0,0,0,0,0,0,0.9868215322760777
annual_2015:predict,alpha158_IMAX20,244,487993,458226,0,0,0,0,0,0,0,0.9390011741971709
annual_2015:predict,alpha158_IMAX30,244,487993,465981,0,0,0,0,0,0,0,0.9548927955933794
annual_2015:predict,alpha158_IMAX60,244,487993,482106,0,0,0,0,0,0,0,0.987936302364993
annual_2015:predict,alpha158_IMIN20,244,487993,458226,0,0,0,0,0,0,0,0.9390011741971709
annual_2015:predict,alpha158_IMIN30,244,487993,465981,0,0,0,0,0,0,0,0.9548927955933794
annual_2015:predict,alpha158_IMIN60,244,487993,482106,0,0,0,0,0,0,0,0.987936302364993
annual_2015:predict,alpha158_IMXD20,244,487993,458226,0,0,0,0,0,0,0,0.9390011741971709
annual_2015:predict,alpha158_IMXD30,244,487993,465981,0,0,0,0,0,0,0,0.9548927955933794
annual_2015:predict,alpha158_IMXD60,244,487993,482106,0,0,0,0,0,0,0,0.987936302364993
annual_2015:predict,alpha158_KLEN,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_KLOW,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_KUP,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_LOW0,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MA10,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MA20,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MA30,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MA5,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MA60,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MAX5,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MIN10,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MIN20,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MIN30,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MIN5,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_MIN60,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_QTLD10,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_QTLD20,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_QTLD30,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_QTLD5,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_QTLD60,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_QTLU20,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_QTLU30,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_QTLU60,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_RANK10,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_RANK20,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_RANK30,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_RANK60,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_RESI60,244,487993,431001,0,0,0,0,0,0,0,0.8832114395083536
annual_2015:predict,alpha158_ROC10,244,487993,417366,0,0,0,0,0,0,0,0.8552704649451939
annual_2015:predict,alpha158_ROC20,244,487993,412235,0,0,0,0,0,0,0,0.8447559698602234
annual_2015:predict,alpha158_ROC30,244,487993,408651,0,0,0,0,0,0,0,0.8374116022156055
annual_2015:predict,alpha158_ROC5,244,487993,421821,0,0,0,0,0,0,0,0.8643996942579094
annual_2015:predict,alpha158_ROC60,244,487993,403415,0,0,0,0,0,0,0,0.8266819401097967
annual_2015:predict,alpha158_RSV20,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_RSV30,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_RSV60,244,487993,431138,0,0,0,0,0,0,0,0.8834921812403047
annual_2015:predict,alpha158_STD10,244,487993,430243,0,0,0,0,0,0,0,0.8816581385388725
annual_2015:predict,alpha158_STD5,244,487993,429477,0,0,0,0,0,0,0,0.8800884438916132
annual_2015:predict,alpha158_SUMD10,244,487993,447123,0,0,0,0,0,0,0,0.9162487986508003
annual_2015:predict,alpha158_SUMD20,244,487993,457648,0,0,0,0,0,0,0,0.9378167309776985
annual_2015:predict,alpha158_SUMD30,244,487993,465599,0,0,0,0,0,0,0,0.954109997479472
annual_2015:predict,alpha158_SUMD60,244,487993,481969,0,0,0,0,0,0,0,0.9876555606330418
annual_2015:predict,alpha158_SUMN10,244,487993,447123,0,0,0,0,0,0,0,0.9162487986508003
annual_2015:predict,alpha158_SUMN20,244,487993,457648,0,0,0,0,0,0,0,0.9378167309776985
annual_2015:predict,alpha158_SUMN30,244,487993,465599,0,0,0,0,0,0,0,0.954109997479472
annual_2015:predict,alpha158_SUMN60,244,487993,481969,0,0,0,0,0,0,0,0.9876555606330418
annual_2015:predict,alpha158_SUMP10,244,487993,447123,0,0,0,0,0,0,0,0.9162487986508003
annual_2015:predict,alpha158_SUMP20,244,487993,457648,0,0,0,0,0,0,0,0.9378167309776985
annual_2015:predict,alpha158_SUMP30,244,487993,465599,0,0,0,0,0,0,0,0.954109997479472
annual_2015:predict,alpha158_SUMP60,244,487993,481969,0,0,0,0,0,0,0,0.9876555606330418
annual_2015:predict,alpha158_VSUMD20,244,487993,457648,0,0,0,0,0,0,0,0.9378167309776985
annual_2015:predict,alpha158_VSUMD30,244,487993,465599,0,0,0,0,0,0,0,0.954109997479472
annual_2015:predict,alpha158_VSUMD60,244,487993,481969,0,0,0,0,0,0,0,0.9876555606330418
annual_2015:predict,alpha158_VSUMN20,244,487993,457648,0,0,0,0,0,0,0,0.9378167309776985
annual_2015:predict,alpha158_VSUMN30,244,487993,465599,0,0,0,0,0,0,0,0.954109997479472
annual_2015:predict,alpha158_VSUMN60,244,487993,481969,0,0,0,0,0,0,0,0.9876555606330418
annual_2015:predict,alpha158_VSUMP20,244,487993,457648,0,0,0,0,0,0,0,0.9378167309776985
annual_2015:predict,alpha158_VSUMP30,244,487993,465599,0,0,0,0,0,0,0,0.954109997479472
annual_2015:predict,alpha158_VSUMP60,244,487993,481969,0,0,0,0,0,0,0,0.9876555606330418
annual_2015:predict,alpha360_CLOSE11,244,487993,416770,0,0,0,0,0,0,0,0.8540491359507206
annual_2015:predict,alpha360_CLOSE12,244,487993,416203,0,0,0,0,0,0,0,0.8528872340381932
annual_2015:predict,alpha360_CLOSE13,244,487993,415631,0,0,0,0,0,0,0,0.8517150860770544
annual_2015:predict,alpha360_CLOSE14,244,487993,415081,0,0,0,0,0,0,0,0.8505880207298055
annual_2015:predict,alpha360_CLOSE15,244,487993,414559,0,0,0,0,0,0,0,0.8495183332547803
annual_2015:predict,alpha360_CLOSE16,244,487993,414071,0,0,0,0,0,0,0,0.8485183189103123
annual_2015:predict,alpha360_CLOSE17,244,487993,413594,0,0,0,0,0,0,0,0.8475408458727891
annual_2015:predict,alpha360_CLOSE18,244,487993,413124,0,0,0,0,0,0,0,0.846577717303322
annual_2015:predict,alpha360_CLOSE19,244,487993,412674,0,0,0,0,0,0,0,0.8456555729283002
