fold_role,output,dates,frozen_families,universe_rows,valid_rows,missing_rows,n_below_100_dates,constant_dates,single_family_valid_rows,effective_family_sum,max_family_weight,l1_sum,raw_any_parent_rows,raw_available_but_output_missing,infinite_cells,finite_rate,mean_effective_families,single_family_share_valid,mean_l1_weight_drift,raw_union_availability_loss
annual_2015:predict,erc_00117565632c65c3,244,1,487993,479266,8727,0,0,479266,479266,1.0,0.0,479266,0,0,0.9821165467537444,1.0,1.0,0.0,0.0
annual_2015:predict,erc_00788fafdcd6a5d7,244,1,487993,431138,56855,0,0,431138,431138,1.0,0.0,431138,0,0,0.8834921812403047,1.0,1.0,0.0,0.0
annual_2015:predict,erc_023793c16a68c052,244,1,487993,431138,56855,0,0,431138,431138,1.0,0.0,431138,0,0,0.8834921812403047,1.0,1.0,0.0,0.0
annual_2015:predict,erc_037ede19dfe67dad,244,1,487993,464901,23092,0,0,464901,464901,1.0,0.0,464901,0,0,0.9526796490933271,1.0,1.0,0.0,0.0
annual_2015:predict,erc_040fdbdf6f80eb9b,244,1,487993,431138,56855,0,0,431138,431138,1.0,0.0,431138,0,0,0.8834921812403047,1.0,1.0,0.0,0.0
annual_2015:predict,erc_0451fc1cf4a1975f,244,1,487993,378180,109813,0,0,378180,378180,1.0,0.0,378180,0,0,0.774970132768298,1.0,1.0,0.0,0.0
annual_2015:predict,erc_0a1aac410f6966dc,244,1,487993,465981,22012,0,0,465981,465981,1.0,0.0,465981,0,0,0.9548927955933794,1.0,1.0,0.0,0.0
annual_2015:predict,erc_0a67371497d65238,244,1,487993,487993,0,0,0,487993,487993,1.0,0.0,487993,0,0,1.0,1.0,1.0,0.0,0.0
annual_2015:predict,erc_0c3d95428646e6a5,244,1,487993,481101,6892,0,0,481101,481101,1.0,0.0,481101,0,0,0.985876846594111,1.0,1.0,0.0,0.0
annual_2015:predict,erc_11517d81c4a1cf82,244,1,487993,320853,167140,0,0,320853,320853,1.0,0.0,320853,0,0,0.6574950870196908,1.0,1.0,0.0,0.0
