year,arm,dates,universe_rows,columns,finite_cells,cells,infinite_cells,finite_rate
2010,C,223,355454,201,63597160,71446254,0,0.8901398805317351
2010,H,223,355454,358,115497639,127252532,0,0.9076254687018723
2010,R,223,355454,218,69517204,77488972,0,0.8971238384734282
2011,C,244,455402,201,81443108,91535802,0,0.8897404755354632
2011,H,244,455402,358,147865977,163033916,0,0.9069645177387508
2011,R,244,455402,218,89020087,99277636,0,0.8966781501525681
2012,C,243,485960,201,89261261,97677960,0,0.9138321582473672
2012,H,243,485960,358,161521451,173973680,0,0.9284246387154654
2012,R,243,485960,218,97388912,105939280,0,0.9192899177717652
2013,C,238,475975,201,89816381,95670975,0,0.9388049092214227
2013,H,238,475975,358,161635319,170399050,0,0.9485693670240533
2013,R,238,475975,218,97780879,103762550,0,0.9423523130455063
2014,C,245,489995,201,89827489,98488995,0,0.9120561033240313
2014,H,245,489995,358,161413534,175418210,0,0.9201640696253827
2014,R,245,489995,218,97874056,106818910,0,0.9162615121236493
2015,C,244,487993,201,84164333,98086593,0,0.8580615395622927
2015,H,244,487993,358,151702109,174701494,0,0.8683503817088135
2015,R,244,487993,218,91947065,106382474,0,0.8643065116158137
2016,C,244,488000,201,89421718,98088000,0,0.9116478876111247
2016,H,244,488000,358,160792742,174704000,0,0.9203724127667369
2016,R,244,488000,218,97423100,106384000,0,0.9157683486238533
2017,C,244,488000,201,90543936,98088000,0,0.9230888182040616
2017,H,244,488000,358,162639261,174704000,0,0.9309418273193516
2017,R,244,488000,218,98592139,106384000,0,0.9267572097307866
2018,C,243,485999,201,91959652,97685799,0,0.9413819914601916
2018,H,243,485999,358,165026196,173987642,0,0.9484937786558427
2018,R,243,485999,218,100056689,105947782,0,0.9443962592817658
2019,C,244,487969,201,95073311,98081769,0,0.9693270418073312
2019,H,244,487969,358,170443016,174692902,0,0.9756722456874636
2019,R,244,487969,218,103344455,106377242,0,0.9714902648068278
2020,C,243,485973,201,94929342,97680573,0,0.9718344096937269
2020,H,243,485973,358,170041194,173978334,0,0.9773699407881443
2020,R,243,485973,218,103169220,105942114,0,0.9738263293481193
2021,C,243,485981,201,96449121,97682181,0,0.9873768174770791
2021,H,243,485981,358,172192260,173981198,0,0.9897176360401887
2021,R,243,485981,218,104702356,105943858,0,0.9882815103826028
2022,C,242,483983,201,96039853,97280583,0,0.9872458617975182
2022,H,242,483983,358,171467203,173265914,0,0.9896187832997551
2022,R,242,483983,218,104259494,105508294,0,0.9881639636785332
2023,C,242,483926,201,96109945,97269126,0,0.9880827447755622
2023,H,242,483926,358,171588895,173245508,0,0.9904377722740147
2023,R,242,483926,218,104332951,105495868,0,0.988976658308551
