year,factor,dates,universe_rows,finite_cells,n_below_100_dates,rank_suppressed_cells,infinite_cells,all_missing_dates,constant_dates,below_rank_min_dates,raw_U_not_ranked_dates,finite_rate
2010,alpha158_BETA10,223,355454,344884,0,0,0,0,0,0,0,0.9702633814783348
2010,alpha158_BETA20,223,355454,344920,0,0,0,0,0,0,0,0.9703646604061285
2010,alpha158_BETA30,223,355454,344967,0,0,0,0,0,0,0,0.9704968856729703
2010,alpha158_BETA5,223,355454,344738,0,0,0,0,0,0,0,0.96985263916006
2010,alpha158_BETA60,223,355454,344990,0,0,0,0,0,0,0,0.9705615916546163
2010,alpha158_CNTD30,223,355454,355454,0,0,0,0,0,0,0,1.0
2010,alpha158_CNTP30,223,355454,355454,0,0,0,0,0,0,0,1.0
2010,alpha158_CORD10,223,355454,351459,0,0,0,0,0,0,0,0.9887608523184435
2010,alpha158_CORD20,223,355454,352758,0,0,0,0,0,0,0,0.9924153336296679
2010,alpha158_CORD30,223,355454,353684,0,0,0,0,0,0,0,0.9950204527168073
2010,alpha158_CORD5,223,355454,349947,0,0,0,0,0,0,0,0.984507137351106
2010,alpha158_CORD60,223,355454,354916,0,0,0,0,0,0,0,0.9984864426901934
2010,alpha158_CORR10,223,355454,351593,0,0,0,0,0,0,0,0.9891378349941202
2010,alpha158_CORR20,223,355454,352850,0,0,0,0,0,0,0,0.992674157556252
2010,alpha158_CORR30,223,355454,353716,0,0,0,0,0,0,0,0.9951104784304017
2010,alpha158_CORR5,223,355454,350435,0,0,0,0,0,0,0,0.9858800294834212
2010,alpha158_CORR60,223,355454,354921,0,0,0,0,0,0,0,0.9985005092079425
2010,alpha158_IMAX20,223,355454,353037,0,0,0,0,0,0,0,0.9932002453200696
2010,alpha158_IMAX30,223,355454,353808,0,0,0,0,0,0,0,0.9953693023569857
2010,alpha158_IMAX60,223,355454,354961,0,0,0,0,0,0,0,0.9986130413499356
2010,alpha158_IMIN20,223,355454,353037,0,0,0,0,0,0,0,0.9932002453200696
2010,alpha158_IMIN30,223,355454,353808,0,0,0,0,0,0,0,0.9953693023569857
2010,alpha158_IMIN60,223,355454,354961,0,0,0,0,0,0,0,0.9986130413499356
2010,alpha158_IMXD20,223,355454,353037,0,0,0,0,0,0,0,0.9932002453200696
2010,alpha158_IMXD30,223,355454,353808,0,0,0,0,0,0,0,0.9953693023569857
2010,alpha158_IMXD60,223,355454,354961,0,0,0,0,0,0,0,0.9986130413499356
2010,alpha158_KLEN,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_KLOW,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_KUP,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_LOW0,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MA10,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MA20,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MA30,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MA5,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MA60,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MAX5,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MIN10,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MIN20,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MIN30,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MIN5,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_MIN60,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_QTLD10,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_QTLD20,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_QTLD30,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_QTLD5,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_QTLD60,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_QTLU20,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_QTLU30,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_QTLU60,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_RANK10,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_RANK20,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_RANK30,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_RANK60,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_RESI60,223,355454,344990,0,0,0,0,0,0,0,0.9705615916546163
2010,alpha158_ROC10,223,355454,338526,0,0,0,0,0,0,0,0.9523763975085384
2010,alpha158_ROC20,223,355454,337809,0,0,0,0,0,0,0,0.9503592588633129
2010,alpha158_ROC30,223,355454,337283,0,0,0,0,0,0,0,0.9488794611961041
2010,alpha158_ROC5,223,355454,339038,0,0,0,0,0,0,0,0.9538168089260495
2010,alpha158_ROC60,223,355454,336837,0,0,0,0,0,0,0,0.9476247278128815
2010,alpha158_RSV20,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_RSV30,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_RSV60,223,355454,344996,0,0,0,0,0,0,0,0.9705784714759154
2010,alpha158_STD10,223,355454,344884,0,0,0,0,0,0,0,0.9702633814783348
2010,alpha158_STD5,223,355454,344738,0,0,0,0,0,0,0,0.96985263916006
2010,alpha158_SUMD10,223,355454,351733,0,0,0,0,0,0,0,0.9895316974910959
2010,alpha158_SUMD20,223,355454,352959,0,0,0,0,0,0,0,0.9929808076431831
2010,alpha158_SUMD30,223,355454,353777,0,0,0,0,0,0,0,0.9952820899469411
2010,alpha158_SUMD60,223,355454,354953,0,0,0,0,0,0,0,0.9985905349215369
2010,alpha158_SUMN10,223,355454,351733,0,0,0,0,0,0,0,0.9895316974910959
