stage,calls,wall_seconds,cpu_seconds,max_rss_mib,wall_time_share
lightgbm_training,4,1223.4654193000024,9580.96875,9717.44140625,0.4981958217484249
preprocessing_fit,2,664.0030937999982,725.8125,937.30859375,0.2703824413349203
feature_projection,20,194.7294958000275,414.609375,1761.15625,0.0792939625823317
feature_spooling,20,98.30609830000321,100.4375,1764.10546875,0.0400302997149463
final_train_validation_fit,1,61.44418060001044,479.546875,9766.87109375,0.025020105646463505
selected_model_retraining,1,53.76507699998911,421.125,9529.59375,0.021893170248082766
final_train_validation_transform,1,45.465174799988745,74.296875,8642.40625,0.01851344530307652
train_transform,1,36.48224899999332,62.921875,7889.80078125,0.014855592755683445
lightgbm_dataset_build,2,35.89713589999883,329.953125,9619.16015625,0.014617334365156722
validation_prediction,16,7.0888162000483135,97.921875,9585.51953125,0.002886570029929582
feature_loading,1,6.948431099997833,6.875,168.93359375,0.0028294051365230326
label_loading_and_join,20,6.648186700011137,6.953125,1764.26171875,0.0027071454443264877
validation_transform,1,4.239717200005543,7.0625,8690.1640625,0.0017264152800053633
validation_metrics,16,1.4997455000120676,16.140625,9585.51953125,0.00061069722936632
selected_model_prediction,1,0.1856788000004599,2.375,9530.92578125,7.560851405217185e-05
validation_mutation_metrics,1,0.169760499993572,0.8125,9533.87890625,6.912657314263081e-05
artifact_serialization,1,0.0254518000001553,0.109375,9624.0078125,1.0363987584797205e-05
