input_role,path,sha256,status
transparent_scores_runtime,E:/qlib_prj/qlib_baseline/outputs/split_transparent_score_v2/current/runtime/composite_scores.parquet,beb4e4ad738e263e72bb75ead4d948f7a44e7c086bc56b310a56a823a6adecbf,verified
labels_runtime,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/labels_v2.parquet,4acdfd874c339cd094bf702619861714ec9c75eb27547240eaaa7b945a302ac8,observed_post_release
split_001_test_labels,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/labels_v2.parquet,1dd0933588aee587963c80dd9a56436539e0aff3e851abc056b305d2776f1c18,matches_all_model_release_receipts
split_002_test_labels,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/labels_v2.parquet,4b96b85607c0ad7ba125d23e77afbc0e5069bb4163e54fa258c6a85f4c7ed53e,matches_all_model_release_receipts
split_003_test_labels,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/labels_v2.parquet,87b7b704ed79096649ebdefa63b9d6fdd0d9c388df2cf8215344cb61b0d49616,matches_all_model_release_receipts
