outer_split_id,method,raw_statistic,bootstrap_standard_error,raw_p_value,mean_ci_lower,mean_ci_upper,bootstrap_samples,block_length,random_seed,observation_count
split_001,elastic_net,0.08463535243458625,0.04112434131178784,0.03819236152769446,-0.0020169454009231758,0.1576696606724216,5000,10,20260726,120
split_001,equal_weight,0.05529355799835948,0.037803971352327784,0.14337132573485303,-0.02190830770873097,0.1288907366556286,5000,10,20260727,120
split_001,lightgbm,0.07778251120600294,0.04017255199330946,0.05398920215956809,-0.006793159548882835,0.1515822356271011,5000,10,20260728,120
split_001,ridge,0.07556115857297172,0.04375778881741232,0.08398320335932813,-0.014392480114857956,0.15649866967063691,5000,10,20260729,120
split_001,stability_weight,0.053072058978782206,0.038691219293837294,0.16696660667866425,-0.0240127290287823,0.12591056579378349,5000,10,20260730,120
split_002,elastic_net,0.11829804071739049,0.045333218398288126,0.015996800639872025,0.007035378972386264,0.18346889340660444,5000,10,20260731,124
split_002,equal_weight,0.10638951273648926,0.0352296478954266,0.007598480303939212,0.019097889672912982,0.15683169606217917,5000,10,20260732,124
split_002,lightgbm,0.1432237436609923,0.04721503906263724,0.004599080183963208,0.028705548822068952,0.21283217678503963,5000,10,20260733,124
split_002,ridge,0.1262040464991154,0.04660539302892174,0.010797840431913617,0.014218999680630048,0.19561665443336695,5000,10,20260734,124
split_002,stability_weight,0.1035779369312288,0.03325111262292471,0.003799240151969606,0.023331443117247053,0.15338763699949998,5000,10,20260735,124
split_003,elastic_net,0.057728990611025044,0.034771902599619084,0.09898020395920816,-0.01717506890743585,0.11833184467040717,5000,10,20260736,124
split_003,equal_weight,0.059350129846412074,0.0304160403202939,0.05058988202359528,-0.001351404948996715,0.11751541184607653,5000,10,20260737,124
split_003,lightgbm,0.05180160483930413,0.043078824045331414,0.23795240951809637,-0.036116060892881524,0.13360028970535298,5000,10,20260738,124
split_003,ridge,0.05764440851654909,0.035767560456601406,0.11177764447110577,-0.01703536335335283,0.12285278411747952,5000,10,20260739,124
split_003,stability_weight,0.06162883271456061,0.03131361267552198,0.05158968206358728,-0.002435280302007868,0.12028204604350146,5000,10,20260740,124
