method,equal_split_mean_daily_rank_ic,equal_split_mean_daily_rank_ic_ir,pooled_daily_mean_rank_ic,pooled_positive_ic_day_ratio,worst_split_mean_daily_rank_ic,mean_split_rank,split_rank_std,minimum_split_prediction_coverage,method_complexity
lightgbm,0.09093595323543309,0.5139950955907371,0.09107892543140518,0.6711956521739131,0.0518016048393041,2.6666666666666665,1.699673171197595,0.9953051643192488,5
elastic_net,0.0868874612543339,0.5255907822463154,0.08691194069802684,0.6657608695652174,0.057728990611025,2.3333333333333335,0.9428090415820634,0.9953051643192488,4
ridge,0.08646987119621204,0.5100434769939503,0.08658844415950817,0.6684782608695652,0.057644408516549,3.0,0.816496580927726,0.9953051643192488,3
equal_weight,0.07367773352708694,0.514804167576425,0.07387756152196441,0.6875,0.05529355799835948,3.3333333333333335,0.9428090415820634,0.9953051643192489,1
stability_weight,0.07275960954152387,0.5102424511083069,0.07297360465633627,0.6902173913043478,0.053072058978782206,3.6666666666666665,1.8856180831641267,0.9953051643192489,2
