outer_split_id,method,mean_daily_rank_ic,daily_rank_ic_ir,positive_ic_day_ratio,prediction_coverage,daily_ic_count
split_001,elastic_net,0.0846353524345862,0.5112311320225005,0.6583333333333333,0.9969664391496028,120
split_001,equal_weight,0.05529355799835948,0.3571661889609335,0.625,0.9969664391496029,120
split_001,lightgbm,0.0777825112060029,0.4867027443229825,0.6583333333333333,0.9969664391496028,120
split_001,ridge,0.0755611585729717,0.4394398161113786,0.625,0.9969664391496028,120
split_001,stability_weight,0.053072058978782206,0.3375756765160182,0.625,0.9969664391496029,120
split_002,elastic_net,0.1182980407173905,0.6430573397360072,0.7258064516129032,0.9953051643192488,124
split_002,equal_weight,0.10638951273648926,0.7052838682390976,0.7741935483870968,0.9953051643192489,124
split_002,lightgbm,0.1432237436609923,0.738106848538767,0.75,0.9953051643192488,124
split_002,ridge,0.1262040464991154,0.6707494244034145,0.75,0.9953051643192488,124
split_002,stability_weight,0.1035779369312288,0.6984262341802366,0.7661290322580645,0.9953051643192489,124
split_003,elastic_net,0.057728990611025,0.4224838749804385,0.6129032258064516,0.9964551877661634,124
split_003,equal_weight,0.059350129846412074,0.481962445529244,0.6612903225806451,0.9964551877661634,124
split_003,lightgbm,0.0518016048393041,0.3171756939104618,0.6048387096774194,0.9964551877661634,124
split_003,ridge,0.057644408516549,0.4199411904670578,0.6290322580645161,0.9964551877661634,124
split_003,stability_weight,0.06162883271456061,0.49472544262866586,0.6774193548387096,0.9964551877661634,124
