parent_role,stage_id,artifact_id,manifest_path,artifact_status,lineage_status,direct_parent
date_manifest,date_split_semantics_v1,date_split_semantics_v1:163bf974b6238e0387689e795be56263c7c7bc7e3c9cad3bea66fc793e4072b8,E:/qlib_prj/qlib_baseline/outputs/date_split_semantics_v1/current/artifact_manifest.json,pass,complete,True
selection_manifest,research_selection_lineage_closure_v1,research_selection_lineage_closure_v1:abe0d942b28dfbd6ca679a8a2aee0ee83890309922b5184f5efa28d1fb842e6b,E:/qlib_prj/qlib_baseline/outputs/research_selection_lineage_closure_v1/current/artifact_manifest.json,pass,complete,True
labels_manifest,full_research_labels_v2,full_research_labels_v2:404fe40807d674d4ec5fc7b7b0727c4e679bec6ddaa2c00d967eaeb08c80102b,E:/qlib_prj/qlib_baseline/outputs/full_research_labels_v2/current/artifact_manifest.json,pass,complete,True
transparent_manifest,split_transparent_score_v2,split_transparent_score_v2:82be8a32b7a84c401dcd27c630e93838a018949300c29f9fd405b70e1ec328c3,E:/qlib_prj/qlib_baseline/outputs/split_transparent_score_v2/current/artifact_manifest.json,pass,complete,True
linear_manifest,research_linear_model_test_release_v1,research_linear_model_test_release_v1:05490ec686e66efabda95a9529520978d884defa7123448505d20b785c126429,E:/qlib_prj/qlib_baseline/outputs/research_linear_models_v1/current/artifact_manifest.json,pass,complete,True
lightgbm_manifest,research_lightgbm_test_release_v1,research_lightgbm_test_release_v1:0ee939e8edc1ab3db2135fcde74fd3dd9d383ecda8ed9cf8de026662f17b22bf,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/current/artifact_manifest.json,pass,complete,True
