outer_split_id,left_method,right_method,mean_daily_rank_ic_difference,raw_statistic,bootstrap_standard_error,raw_p_value,mean_ci_lower,mean_ci_upper,bootstrap_samples,block_length,random_seed,observation_count
split_001,equal_weight,stability_weight,0.002221499019577273,0.002221499019577273,0.0008591697683906158,0.008598280343931213,0.0004914723663213588,0.003825300762630563,5000,10,20261726,120
split_001,equal_weight,ridge,-0.02026760057461224,-0.02026760057461224,0.014460696253075023,0.1801639672065587,-0.04673515094960719,0.009977553129682949,5000,10,20261727,120
split_001,equal_weight,elastic_net,-0.029341794436226774,-0.029341794436226774,0.011952449772472238,0.01759648070385923,-0.05056937805352017,-0.0037082535157104864,5000,10,20261728,120
split_001,equal_weight,lightgbm,-0.022488953207643467,-0.022488953207643467,0.010320996918631581,0.03719256148770246,-0.039120504965730836,0.0011143659437021503,5000,10,20261729,120
split_001,stability_weight,ridge,-0.022489099594189512,-0.022489099594189512,0.014893535961244786,0.14117176564687062,-0.04872066786342895,0.009169464630864297,5000,10,20261730,120
split_001,stability_weight,elastic_net,-0.031563293455804046,-0.031563293455804046,0.01248028515463671,0.010997800439912017,-0.05432827528537225,-0.005496971658580856,5000,10,20261731,120
split_001,stability_weight,lightgbm,-0.024710452227220733,-0.024710452227220733,0.010228500434162964,0.021595680863827234,-0.041330368628118286,-0.0009443358378708258,5000,10,20261732,120
split_001,ridge,elastic_net,-0.009074193861614534,-0.009074193861614534,0.005665278985441059,0.11157768446310738,-0.020691168321534517,0.0016649304787519133,5000,10,20261733,120
split_001,ridge,lightgbm,-0.0022213526330312223,-0.0022213526330312223,0.013876067899854894,0.8840231953609278,-0.027439678616087843,0.02676694811015328,5000,10,20261734,120
split_001,elastic_net,lightgbm,0.006852841228583314,0.006852841228583314,0.01075059034674688,0.5328934213157368,-0.012951691536047631,0.028184682765401342,5000,10,20261735,120
split_002,equal_weight,stability_weight,0.002811575805260466,0.002811575805260466,0.00301837163401762,0.35652869426114775,-0.003768682588318151,0.007966682836800175,5000,10,20261826,124
split_002,equal_weight,ridge,-0.019814533762626162,-0.019814533762626162,0.021185968534183437,0.3473305338932214,-0.05854637235174193,0.025835599186130886,5000,10,20261827,124
split_002,equal_weight,elastic_net,-0.011908527980901213,-0.011908527980901213,0.01573923056040035,0.44831033793241354,-0.03885809935320972,0.022129098656657572,5000,10,20261828,124
split_002,equal_weight,lightgbm,-0.036834230924503004,-0.036834230924503004,0.01937640555268396,0.06818636272745451,-0.06796250313380015,0.007712621127455445,5000,10,20261829,124
split_002,stability_weight,ridge,-0.02262610956788662,-0.02262610956788662,0.023972614984172032,0.34073185362927416,-0.06565191575976913,0.029189338281742864,5000,10,20261830,124
split_002,stability_weight,elastic_net,-0.014720103786161683,-0.014720103786161683,0.01866419803057467,0.4347130573885223,-0.04592024605250739,0.02670191204555151,5000,10,20261831,124
split_002,stability_weight,lightgbm,-0.039645806729763464,-0.039645806729763464,0.02181059249440565,0.07218556288742252,-0.0752652757483313,0.008718984308446961,5000,10,20261832,124
split_002,ridge,elastic_net,0.007906005781724946,0.007906005781724946,0.0077460974621322625,0.3115376924615077,-0.005733017493861386,0.02422951459840864,5000,10,20261833,124
split_002,ridge,lightgbm,-0.017019697161876835,-0.017019697161876835,0.009056372102192414,0.07818436312737452,-0.028443315210957026,0.006262445564718902,5000,10,20261834,124
split_002,elastic_net,lightgbm,-0.024925702943601784,-0.024925702943601784,0.00922995640134198,0.010597880423915218,-0.03931895969394099,-0.0036017923444940335,5000,10,20261835,124
split_003,equal_weight,stability_weight,-0.0022787028681485336,-0.0022787028681485336,0.0019715628504168455,0.2579484103179364,-0.00657801205325978,0.0011108860406692988,5000,10,20261926,124
split_003,equal_weight,ridge,0.0017057213298629934,0.0017057213298629934,0.014711131431778988,0.9048190361927615,-0.027382914745541026,0.030360694853999195,5000,10,20261927,124
split_003,equal_weight,elastic_net,0.0016211392353870282,0.0016211392353870282,0.014268538827644207,0.9048190361927615,-0.027441276453131325,0.029869461214416193,5000,10,20261928,124
split_003,equal_weight,lightgbm,0.00754852500710795,0.00754852500710795,0.020968528482743606,0.715256948610278,-0.034905978784437255,0.04953459797456436,5000,10,20261929,124
split_003,stability_weight,ridge,0.003984424198011525,0.003984424198011525,0.014202628206946418,0.7736452709458108,-0.023491330530325146,0.03237433664669245,5000,10,20261930,124
split_003,stability_weight,elastic_net,0.0038998421035355622,0.0038998421035355622,0.013884358704497996,0.7806438712257548,-0.022751838548164555,0.03299124985520705,5000,10,20261931,124
split_003,stability_weight,lightgbm,0.009827227875256486,0.009827227875256486,0.019837087681007566,0.6250749850029994,-0.028465888247473904,0.04949130679415045,5000,10,20261932,124
split_003,ridge,elastic_net,-8.458209447596378e-05,-8.458209447596378e-05,0.0006621177900917228,0.9064187162567486,-0.001335294503295485,0.0012636419939572182,5000,10,20261933,124
split_003,ridge,lightgbm,0.0058428036772449595,0.0058428036772449595,0.010348963318447486,0.5860827834433113,-0.016007283742452763,0.02425921250815067,5000,10,20261934,124
split_003,elastic_net,lightgbm,0.0059273857717209244,0.0059273857717209244,0.01052169414304246,0.5836832633473306,-0.016387021779105407,0.024751034569392677,5000,10,20261935,124
