instrument,date,amount_local,amount_source,precision_approximation,status
SH600608,2020-02-21,14157105.46875,14332880.0,False,BLOCKING / UNRESOLVED
SH600734,2022-02-23,13197.999954223633,13197.56,True,ACCEPTABLE MVP APPROXIMATION
SH600822,2016-12-01,125818078.125,125818075.0,False,BLOCKING / UNRESOLVED
SH603005,2020-03-18,1637884625.0,1663090424.0,False,BLOCKING / UNRESOLVED
SH603117,2016-12-01,119024156.25,119024160.0,False,BLOCKING / UNRESOLVED
SZ000671,2019-03-27,295366312.5,295366321.6,False,BLOCKING / UNRESOLVED
SZ002349,2015-05-26,37639.99938964844,37639.0,True,ACCEPTABLE MVP APPROXIMATION
SZ002512,2015-06-10,20662.700653076172,20662.0,True,ACCEPTABLE MVP APPROXIMATION
SZ300366,2015-06-12,14943.79997253418,14943.0,True,ACCEPTABLE MVP APPROXIMATION
