year,queried_ex_date,rows,cash_positive,bonus_positive,full_year_inventory
2015,2015-07-16,32,31,6,False
2016,2016-07-16,0,0,0,False
2017,2017-07-16,0,0,0,False
2018,2018-07-16,36,35,7,False
2019,2019-07-16,40,40,1,False
2020,2020-07-16,68,67,5,False
2021,2021-07-16,88,88,10,False
2022,2022-07-16,0,0,0,False
2023,2023-07-16,0,0,0,False
