instrument,date,bao_tradestatus,tushare_full_day_suspension,preopen_announcement_certified
SH600070,2016-02-01,0,True,False
SH600070,2016-02-02,0,True,False
SH600070,2016-02-03,0,True,False
SH600070,2016-02-04,0,True,False
SH600070,2016-02-05,0,True,False
SH600070,2016-02-15,0,True,False
SH600070,2016-02-16,0,True,False
SH600070,2016-02-17,0,True,False
SH600120,2016-02-01,0,True,False
SH600120,2016-02-02,0,True,False
SH600120,2016-02-03,0,True,False
SH600120,2016-02-04,0,True,False
SH600120,2016-02-05,0,True,False
SH600120,2016-02-15,0,True,False
SH600120,2016-02-16,0,True,False
SH600120,2016-02-17,0,True,False
SH600120,2016-02-18,0,True,False
SH600120,2016-02-19,0,True,False
SH600120,2016-02-22,0,True,False
SH600120,2016-02-23,0,True,False
SH600120,2016-02-24,0,True,False
SH600120,2016-02-25,0,True,False
SH600120,2016-02-26,0,True,False
SH600120,2016-02-29,0,True,False
SH600120,2016-03-01,0,True,False
SH600120,2016-03-02,0,True,False
SH600120,2016-03-03,0,True,False
SH600120,2016-03-04,0,True,False
SH600146,2017-02-03,0,True,False
SH600146,2017-02-06,0,True,False
SH600146,2017-02-07,0,True,False
SH600146,2017-02-08,0,True,False
SH600146,2017-02-09,0,True,False
SH600146,2017-02-10,0,True,False
SH600146,2017-02-13,0,True,False
SH600146,2017-02-14,0,True,False
SH600146,2017-02-15,0,True,False
SH600146,2017-02-16,0,True,False
SH600146,2017-02-17,0,True,False
SH600146,2017-02-20,0,True,False
SH600146,2017-02-21,0,True,False
SH600146,2017-02-22,0,True,False
SH600146,2017-02-23,0,True,False
SH600146,2017-02-24,0,True,False
SH600146,2017-02-27,0,True,False
SH600146,2017-02-28,0,True,False
SH600146,2017-03-01,0,True,False
SH600146,2017-03-02,0,True,False
