instrument,event_id,record_date,ex_date,handler_family,required_without_exposure
SH600010,a322c40f86b2a1553d11fa66,20170526,20170531,unknown_cash_terms,False
SH600022,31b3bbca2c1f3c33c493e99e,20170607,20170608,unknown_cash_terms,False
SH600069,d810d010dd461d5af475c7e7,20180525,20180528,unknown_cash_terms,False
SH600086,e40e8b3e2e877193c1b281fb,20151021,20151022,unknown_cash_terms,False
SH600103,42db0d590135fc7ef4d97d9c,20190531,20190603,unknown_cash_terms,False
SH600117,9f9a652bc30663e33bea1a26,20231130,20231201,unknown_cash_terms,False
SH600120,46b92e8d3544ff0d7f3906c5,20191016,20191017,unknown_cash_terms,False
SH600126,9c97c09f5b5d4e1840beb909,20180713,20180716,unknown_cash_terms,False
SH600136,28ce87bca29d22c5c436b736,20160511,20160512,unknown_cash_terms,False
SH600136,f1a8cbc641b06a1bad934912,20231220,20231221,unknown_cash_terms,False
SH600145,8526da928c692cf5f4ba06a6,20151207,20160318,historical_record_snapshot,False
SH600157,c0484c0cd928761443d3cf9c,20201228,20201229,unknown_cash_terms,False
SH600165,83a4d9b279cff6afc472e1bb,20151009,20151012,unknown_cash_terms,False
SH600179,4e0ab3654ae9819c31613db4,20201204,20201207,unknown_cash_terms,False
SH600184,9be682340b986072a45509d7,20150422,20150423,unknown_cash_terms,False
SH600186,31c186fb244989bb0023e4bb,20200120,20200121,unknown_cash_terms,False
SH600188,bc96750d8116948e877ed464,20220713,20220714,conflicting_entitlement_terms,False
SH600188,1c9386abba900f924a9167bd,20230714,20230717,conflicting_entitlement_terms,False
SH600201,09b88ce3ecf5f74b1f6a72f9,20151013,20151014,unknown_cash_terms,False
SH600201,754cd62beb85b4b69d813bf6,20170929,20171009,unknown_cash_terms,False
SH600221,821fcc671786ca621b9b9a27,20211203,20211206,unknown_cash_terms,False
SH600226,ebc079a3d436d09799522eb4,20170919,20170920,unknown_cash_terms,False
SH600226,e781c3b56860bfbfbcd1f0b3,20180323,20180326,unknown_cash_terms,False
SH600297,977bb42ce4b40a1a6e623e9a,20151113,20151116,unknown_cash_terms,False
SH600306,03c48c00dbcd6bde0ff79bfa,20231225,20231226,unknown_cash_terms,False
SH600308,2f2514ed295c0772aeadac98,20230526,20230529,unknown_cash_terms,False
SH600326,ff5c573903914914bc357b88,20230807,20230808,unknown_cash_terms,False
SH600353,a1b546e80377dea6adafee38,20230518,20230519,unknown_cash_terms,False
SH600355,91de3e095c1e6a1f7732e4e2,20150924,20150925,unknown_cash_terms,False
SH600399,afa6466a643f5ecc3be040eb,20181226,20181227,unknown_cash_terms,False
SH600401,84da76efeeaa2f052b1b6e15,20150527,20150528,unknown_cash_terms,False
SH600423,1eed493a88e2d429eb35c97e,20181217,20181218,unknown_cash_terms,False
SH600448,552460a235b049984eaab680,20200610,20200611,unknown_cash_terms,False
SH600468,1216ad85b0e5e68897af354f,20190627,20190628,unknown_cash_terms,False
SH600478,807a4e91ec6ca55c47b825f6,20150515,20150518,unknown_cash_terms,False
SH600478,8a04e1a21c7fedba62e8e65d,20160527,20160530,unknown_cash_terms,False
SH600480,0beb169ee45d3b3e8c2a456f,20200715,20200716,unknown_cash_terms,False
SH600487,41f186ad3955bcafcd705e18,20150923,20150924,unknown_cash_terms,False
SH600507,9f0989587744fd9469c10978,20200408,20200409,unknown_cash_terms,False
SH600515,744ccfdfe894808d3cfd6e4a,20211221,20211222,unknown_cash_terms,False
SH600516,9251dc42448efdfa843b1009,20190627,20190628,unknown_cash_terms,False
SH600516,7fdd8355b7ae4b5a7c39d21d,20200603,20200604,unknown_cash_terms,False
SH600518,bbc3f692b008aac08a0e15e4,20211214,20211215,unknown_cash_terms,False
SH600540,07677e93f50429d38930ebd2,20151112,20151113,unknown_cash_terms,False
SH600576,97d3d3920a2e212d9818b756,20150925,20150928,unknown_cash_terms,False
SH600581,09cf3ba92cb49071682b6fa2,20180419,20180420,unknown_cash_terms,False
SH600582,c97c0972e10ba36baf06afc6,20151211,20151214,unknown_cash_terms,False
SH600589,447f06c6aff8b4caf32c6713,20231228,20231229,unknown_cash_terms,False
SH600593,17a06c8bd34535dfaf50e0ef,20180530,20180531,unknown_cash_terms,False
SH600595,3be617bd03fdfdd9293ec69f,20210930,20211008,unknown_cash_terms,False
SH600600,bf4e097e8622570a3100d77d,20230713,20230714,conflicting_entitlement_terms,False
SH600601,4ed69f964a79d59f164b1801,20221222,20221223,unknown_cash_terms,False
SH600603,1262177f62236ad396980d8a,20170926,20170927,unknown_cash_terms,False
SH600603,63b073b0290e372684ec2f47,20180523,20180524,unknown_cash_terms,False
SH600606,1245faa051aa3807346aea0e,20220801,20220802,unknown_cash_terms,False
SH600614,7e191e6a63919adf743fa74f,20150923,20150924,unknown_cash_terms,False
SH600641,9131b3da2617c593494dcf55,20200724,20200727,unknown_cash_terms,False
SH600643,64cf4a3bdd61ae1411ba3ba4,20150617,20150618,unknown_cash_terms,False
SH600654,b854c7378eb1f20d383097a0,20221222,20221223,unknown_cash_terms,False
SH600664,6d5e8c2e744c4d5e47cdcf74,20160405,20160406,unknown_cash_terms,False
SH600666,bda5ce2a4f69f2c04ae1bd88,20170525,20170526,unknown_cash_terms,False
SH600666,e87bdd218739be8d49637509,20230217,20230220,unknown_cash_terms,False
SH600687,ee6971c14daa34aa164f7067,20150924,20150925,unknown_cash_terms,False
SH600691,496afb51b092919c57d8cbb6,20150708,20150709,unknown_cash_terms,False
SH600693,4fbec3cc401d125f862d5445,20160525,20160526,unknown_cash_terms,False
SH600699,b7acbf6cf4ddc1a09af99b50,20190726,20190729,unknown_cash_terms,False
SH600715,7ba90a01feb847a8c2c489df,20160429,20160503,unknown_cash_terms,False
SH600728,2012fbb884d2377c125c4e74,20160422,20160425,unknown_cash_terms,False
SH600734,3d250534ea0b2e65970a940c,20220214,20220215,unknown_cash_terms,False
SH600735,639b0bec57bd2481bfbcf782,20150506,20150507,unknown_cash_terms,False
SH600748,07c2309997e7d0569aa6aa88,20161019,20161020,unknown_cash_terms,False
SH600753,26cae8e8e999e1b872aabded,20200529,20200601,unknown_cash_terms,False
SH600753,b021f134d5e157b825070fc0,20210610,20210611,unknown_cash_terms,False
SH600759,3753f20e946efa3e753f69e6,20150703,20150706,unknown_cash_terms,False
SH600759,dd3b88a80120223f117d795d,20231222,20231225,unknown_cash_terms,False
SH600763,4f9339f1aa62915c171c8cb7,20151203,20151204,unknown_cash_terms,False
SH600771,f4eaa02e909e8c5040e8fc9a,20190529,20190530,unknown_cash_terms,False
SH600777,2fa0dfe0faab7feca9c6da05,20161212,20161213,unknown_cash_terms,False
SH600782,779c543681ef745647f16141,20161012,20161013,unknown_cash_terms,False
