instrument,asset_id,first_missing,last_missing,sessions,classification,confirmed_cash_event
SH600005,SH600005,2017-02-15,2023-12-29,1675,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600068,SH600068,2021-09-14,2023-12-29,556,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600069,SH600069,2020-08-28,2023-12-29,811,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600074,SH600074,2020-06-03,2023-12-29,871,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600077,SH600077,2023-07-26,2023-12-29,107,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600086,SH600086,2021-03-18,2023-12-29,679,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600090,SH600090,2022-07-08,2023-12-29,362,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600093,SH600093,2022-06-24,2023-12-29,372,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600122,SH600122,2023-06-27,2023-12-29,128,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600139,SH600139,2023-03-28,2023-12-29,187,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600145,SH600145,2022-04-29,2023-12-29,408,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600146,SH600146,2022-07-01,2023-12-29,367,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600175,SH600175,2020-08-17,2023-12-29,820,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600209,SH600209,2022-06-23,2023-12-29,373,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600240,SH600240,2020-02-06,2023-12-29,951,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600242,SH600242,2023-06-30,2023-12-29,125,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
SH600247,SH600247,2021-03-23,2023-12-29,676,terminal_or_vendor_coverage_gap_not_confirmed_delisting,False
