instrument,event_id,ex_date,reference_bridge_match,comparable,expected_reference,source_reference
SZ002592,d763ab274e38c1bc8a5f69fd,2016-06-21,False,True,30.990000000000002,31.01
SZ002602,0fe336de0fba030932bda1fd,2019-06-06,False,True,10.931249999999999,11.03
SZ002624,b699196b39a406f1148eaa55,2022-05-26,False,True,13.34,13.36
SZ002706,97cb0e2ed61aac8fed868fda,2021-04-27,False,True,23.96153846153846,23.99
SZ002776,78b2a9de10745d7827e97dfc,2019-07-03,False,True,11.299999999999999,11.32
SZ002802,cf988e28ae3687d92eae7bad,2019-07-17,False,True,22.4,22.42
SZ002831,2dab2a8c9c4bc42bebbb039f,2019-05-13,False,True,22.80909090909091,22.89
SZ002847,e1055a6a65f2eddc5eedcb92,2021-06-16,False,True,106.11,106.13
SZ002859,6251061642a049129fc3e3f7,2020-06-03,False,True,24.8875,24.94
SZ002861,c0ca9fd1af8f874158c819fe,2021-05-25,False,True,13.926923076923076,13.95
SZ002868,ce24f10f9a6f3de11424485e,2020-05-28,False,True,12.969230769230768,13.02
SZ002876,30145a38c199a384072bbe72,2021-04-23,False,True,55.81428571428572,56.08
SZ002879,8c2c844c50db2ddafea893ce,2021-05-28,False,True,15.25,15.27
SZ002881,982a893019893623e924febf,2022-06-10,False,True,32.04923076923076,32.14
SZ002889,117ab96d95e26907af8a199d,2023-06-07,False,True,18.896428571428572,18.93
SZ002908,8c21f2e8c1acd2516e6ac858,2023-06-07,False,True,15.12857142857143,15.15
SZ002972,24d81deb440211d1caee196c,2023-05-25,False,True,12.857142857142858,12.91
SZ300041,2a08820a14722743c224dec2,2023-05-22,False,True,11.823076923076922,11.84
SZ300087,18beee6e7cba1660468d27ec,2022-04-28,False,True,14.833333333333334,14.93
SZ300109,e45bae4dae4ae11d9fb591b8,2022-05-30,False,True,13.8444446,13.86
SZ300193,5c15a4119572a966fdaaae8a,2020-03-31,False,True,7.49,7.52
SZ300193,ce95ec950ba7e8f548cc07d8,2021-06-03,False,True,12.04,12.07
SZ300234,b414478d0d67e1d2c24fcd6d,2020-04-21,False,True,7.407855399761837,7.6
SZ300346,a1d4c685f1f0f5a57d4f90de,2019-05-09,False,True,8.340000000000002,8.41
SZ300347,356c1b990a697eb16d7e24b2,2019-07-01,False,True,51.166666666666664,51.2
SZ300370,134f4f8fad697b481f90100a,2022-12-20,False,True,1.6139209785457724,2.64
SZ300393,a047956c46d8d33cc2e36db4,2019-06-19,False,True,10.92947502627389,10.98
SZ300416,554e800c04a8658b58592e3f,2021-04-21,False,True,18.161538461538463,18.21
SZ300417,ca19ac499135357b9d0bc711,2020-06-04,False,True,19.223529411764705,19.48
SZ300421,451c4642792e1373ba2e3480,2019-04-24,False,True,10.76842105263158,10.89
SZ300448,b95d6e459cdd51233d15daef,2019-05-23,False,True,7.74295175489911,7.77
SZ300452,c084f7818b3cba81ceb2ff1d,2020-05-28,False,True,21.2,21.26
SZ300469,4f4d6706ae04d2b78d8ea529,2019-07-19,False,True,14.382352941176471,14.42
SZ300482,5cdc33fd2df567bfc70d2568,2021-05-26,False,True,73.56923076923077,73.62
SZ300492,5e6f493c0da9e44974d5d397,2020-06-23,False,True,41.188235294117646,41.3
SZ300497,0e00b77612cb7a70be6dc415,2019-06-06,False,True,14.225000000000001,14.28
SZ300497,9ca9d325b780d1b37ea98b46,2020-05-18,False,True,18.09375,18.23
