instrument,status,adv20
SH600000,volume_available,555425686.7856586
SH600004,volume_available,29389217.43366046
SH600005,volume_available,225160778.4586246
SH600006,volume_available,45474802.83114415
SH600008,volume_available,98765555.57482739
SH600009,volume_available,28740477.387918524
SH600010,volume_available,729239262.7505815
SH600011,volume_available,118923682.72429335
SH600015,volume_available,261005752.9288118
SH600016,volume_available,1171228112.267414
SH600017,volume_available,108118904.63614507
SH600018,volume_available,185068060.10262132
SH600019,volume_available,189163368.3141671
SH600021,unknown_volume_fail_closed,
SH600023,volume_available,67025950.671113566
SH600026,volume_available,73498775.91119686
SH600027,unknown_volume_fail_closed,
SH600028,volume_available,674807112.4085883
SH600029,volume_available,256844765.7159598
SH600030,volume_available,921349033.1581805
SH600031,volume_available,260961365.63619375
SH600036,volume_available,506652415.71836245
SH600037,unknown_volume_fail_closed,
SH600038,volume_available,13382493.66550443
SH600039,volume_available,136875486.10641742
SH600048,volume_available,359390336.73739636
SH600050,volume_available,511614947.805627
SH600051,volume_available,8584774.003420193
SH600052,volume_available,13501800.833095709
SH600054,volume_available,5432979.825326896
SH600056,volume_available,28529838.356684487
SH600057,volume_available,20995679.3485868
SH600058,volume_available,33786972.914102875
SH600059,volume_available,27209589.961721193
SH600060,volume_available,39361857.287985675
SH600062,volume_available,14100404.167015472
SH600063,unknown_volume_fail_closed,
SH600064,volume_available,16618685.120118221
SH600066,volume_available,24522190.919949554
SH600067,volume_available,40097156.91323308
SH600068,volume_available,227022621.72368345
SH600069,volume_available,21726568.738805063
SH600070,volume_available,6268090.164431077
SH600072,volume_available,7252701.85692803
SH600073,volume_available,28200650.38906579
SH600076,unknown_volume_fail_closed,
SH600077,volume_available,18752759.58675746
SH600078,volume_available,29391439.176300447
SH600079,volume_available,11147808.37982448
SH600080,volume_available,9106045.702450693
SH600081,volume_available,4051716.093932523
SH600082,volume_available,33516937.386337977
SH600084,volume_available,18544735.083998565
SH600085,volume_available,18107456.098476492
SH600086,volume_available,4583685.945665456
SH600088,volume_available,8221252.654951896
SH600089,volume_available,156378559.52442825
SH600094,volume_available,6292802.447563529
SH600095,volume_available,10013557.837232847
SH600096,unknown_volume_fail_closed,
SH600098,volume_available,41633955.464482896
SH600100,volume_available,84538643.66033357
SH600101,volume_available,11807525.680520725
SH600104,volume_available,58756710.05274351
SH600105,unknown_volume_fail_closed,
SH600106,volume_available,51830920.89564912
SH600107,volume_available,20345036.978085738
SH600108,volume_available,163367935.89335817
SH600109,volume_available,230333924.99684143
SH600110,volume_available,27227740.767456204
SH600111,volume_available,97266119.10052294
SH600114,volume_available,2982252.768071645
SH600115,volume_available,174997381.46818873
SH600116,volume_available,16441300.33674645
SH600118,volume_available,58497647.71962066
SH600119,volume_available,11872566.010931645
SH600120,volume_available,18218437.405796744
SH600122,volume_available,42769464.256144635
SH600123,volume_available,49779240.64989324
SH600125,volume_available,50793916.71753649
SH600127,volume_available,24422955.99186805
SH600128,volume_available,10296734.730353765
SH600129,unknown_volume_fail_closed,
SH600130,volume_available,14158777.00401955
SH600132,volume_available,7082540.9486944955
SH600133,volume_available,28322835.469618063
SH600135,volume_available,9580928.161867086
SH600136,unknown_volume_fail_closed,
SH600138,volume_available,17358999.083736707
SH600141,volume_available,18135453.124661695
SH600143,volume_available,82407727.06316316
SH600145,unknown_volume_fail_closed,
SH600148,volume_available,6121278.748271638
SH600149,volume_available,22329596.08913637
SH600150,volume_available,49542452.13865429
SH600151,unknown_volume_fail_closed,
SH600152,volume_available,11244754.258297298
SH600153,unknown_volume_fail_closed,
SH600155,volume_available,21362854.38723387
SH600156,volume_available,10502412.508035596
SH600157,volume_available,153989941.4650926
SH600158,volume_available,63462792.74623209
SH600159,volume_available,26686493.703723587
SH600160,volume_available,39877942.27541637
SH600161,volume_available,7856497.980366836
SH600162,volume_available,24664752.29882564
SH600165,volume_available,4832729.500107351
SH600166,volume_available,73272490.0141733
SH600168,volume_available,19661710.359496273
SH600169,volume_available,188168433.83553892
SH600170,volume_available,100671499.47086123
SH600171,volume_available,16208495.864016661
SH600172,volume_available,14088214.466627222
SH600173,volume_available,25720486.50562141
SH600175,unknown_volume_fail_closed,
SH600176,volume_available,19722409.205009975
SH600177,volume_available,75203020.88090819
SH600179,unknown_volume_fail_closed,
SH600180,volume_available,13738007.830212623
SH600182,volume_available,3869367.448043561
SH600183,volume_available,26047929.79148212
SH600184,unknown_volume_fail_closed,
SH600185,unknown_volume_fail_closed,
SH600187,volume_available,148947156.1986373
SH600188,volume_available,32444344.88876174
SH600189,volume_available,8192203.986705127
SH600192,volume_available,10046933.586971495
SH600193,volume_available,19167761.580586486
SH600195,volume_available,10702822.682751682
SH600196,volume_available,35070310.8962026
SH600197,volume_available,13517812.220866103
SH600198,volume_available,11454251.67225523
SH600199,volume_available,35856875.05741402
SH600200,volume_available,14910259.564590331
SH600201,volume_available,2647324.101227547
SH600206,volume_available,10806784.02481342
SH600208,unknown_volume_fail_closed,
SH600209,volume_available,17982076.583617724
SH600210,volume_available,32316843.452668637
SH600211,volume_available,1782036.1555012167
SH600212,volume_available,18194908.558191203
SH600216,volume_available,25754886.235131115
SH600218,volume_available,7615765.032642931
SH600219,volume_available,63756433.07192761
SH600220,volume_available,40628621.20918836
SH600221,volume_available,534503971.34336126
SH600222,unknown_volume_fail_closed,
SH600225,volume_available,19323186.35481383
SH600226,volume_available,10756767.826912414
SH600228,volume_available,4468054.923310097
SH600230,volume_available,7310777.261832625
SH600232,volume_available,6573584.177022034
SH600235,volume_available,5470282.126059996
SH600237,volume_available,12984745.426489638
SH600238,unknown_volume_fail_closed,
SH600239,volume_available,28643140.743909072
SH600240,unknown_volume_fail_closed,
SH600242,unknown_volume_fail_closed,
SH600243,volume_available,5791773.129402317
SH600246,volume_available,25665384.33914576
SH600249,volume_available,13162097.300221
SH600251,volume_available,10470903.472932976
SH600252,volume_available,36773538.53618677
SH600255,volume_available,77627145.10328084
SH600256,volume_available,148940462.33691967
SH600257,volume_available,13291908.613351531
SH600259,volume_available,11520593.59935214
SH600260,volume_available,13593499.131694242
SH600261,volume_available,19844220.318238944
SH600262,volume_available,5909090.3192785205
SH600266,volume_available,67004514.548591316
SH600267,volume_available,17843922.92292738
SH600268,volume_available,19678457.387524854
SH600270,volume_available,16061874.849377194
SH600271,volume_available,22617043.843849443
SH600272,volume_available,5771591.100441845
SH600273,unknown_volume_fail_closed,
SH600275,volume_available,16576709.875300607
SH600276,volume_available,12464477.553074326
