incident_id,asset_id,instrument,first_missing,last_observed,last_observed_status,special_observation_in_prior_20_sessions,economic_type,confirmed_terminal,disposition,required_without_exposure
SH600005:2017-02-15,SH600005,SH600005,2017-02-15,2017-02-14,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600068:2021-09-14,SH600068,SH600068,2021-09-14,2021-09-13,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600069:2020-08-28,SH600069,SH600069,2020-08-28,2020-08-27,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600074:2020-06-03,SH600074,SH600074,2020-06-03,2020-06-02,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600077:2023-07-26,SH600077,SH600077,2023-07-26,2023-07-25,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600086:2021-03-18,SH600086,SH600086,2021-03-18,2021-03-17,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600090:2022-07-08,SH600090,SH600090,2022-07-08,2022-07-07,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600093:2022-06-24,SH600093,SH600093,2022-06-24,2022-06-23,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600122:2023-06-27,SH600122,SH600122,2023-06-27,2023-06-26,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600139:2023-03-28,SH600139,SH600139,2023-03-28,2023-03-27,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600145:2022-04-29,SH600145,SH600145,2022-04-29,2022-04-28,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600146:2022-07-01,SH600146,SH600146,2022-07-01,2022-06-30,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600175:2020-08-17,SH600175,SH600175,2020-08-17,2020-08-14,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600209:2022-06-23,SH600209,SH600209,2022-06-23,2022-06-22,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600240:2020-02-06,SH600240,SH600240,2020-02-06,2020-02-05,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600242:2023-06-30,SH600242,SH600242,2023-06-30,2023-06-29,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600247:2021-03-23,SH600247,SH600247,2021-03-23,2021-03-22,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600260:2023-02-16,SH600260,SH600260,2023-02-16,2023-02-15,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600270:2019-01-02,SH600270,SH600270,2019-01-02,2018-12-28,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600275:2022-06-23,SH600275,SH600275,2022-06-23,2022-06-22,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600291:2022-06-15,SH600291,SH600291,2022-06-15,2022-06-14,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600311:2023-03-28,SH600311,SH600311,2023-03-28,2023-03-27,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600317:2021-02-01,SH600317,SH600317,2021-02-01,2021-01-29,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600385:2022-07-08,SH600385,SH600385,2022-07-08,2022-07-07,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600393:2023-07-19,SH600393,SH600393,2023-07-19,2023-07-18,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600401:2019-07-15,SH600401,SH600401,2019-07-15,2019-07-12,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600432:2018-07-16,SH600432,SH600432,2018-07-16,2018-07-13,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600466:2023-06-07,SH600466,SH600466,2023-06-07,2023-06-06,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600485:2021-06-02,SH600485,SH600485,2021-06-02,2021-06-01,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600532:2023-06-29,SH600532,SH600532,2023-06-29,2023-06-28,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600555:2022-07-14,SH600555,SH600555,2022-07-14,2022-07-13,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600614:2021-07-22,SH600614,SH600614,2021-07-22,2021-07-21,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600634:2021-07-22,SH600634,SH600634,2021-07-22,2021-07-21,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600652:2022-06-22,SH600652,SH600652,2022-06-22,2022-06-21,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600656:2016-05-16,SH600656,SH600656,2016-05-16,2016-05-13,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600677:2021-03-19,SH600677,SH600677,2021-03-19,2021-03-18,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600680:2019-05-27,SH600680,SH600680,2019-05-27,2019-05-24,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600687:2021-03-04,SH600687,SH600687,2021-03-04,2021-03-03,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600695:2022-06-15,SH600695,SH600695,2022-06-15,2022-06-14,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600701:2021-05-06,SH600701,SH600701,2021-05-06,2021-04-30,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600723:2021-10-25,SH600723,SH600723,2021-10-25,2021-10-22,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600747:2019-12-13,SH600747,SH600747,2019-12-13,2019-12-12,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600767:2023-06-30,SH600767,SH600767,2023-06-30,2023-06-29,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600781:2023-06-29,SH600781,SH600781,2023-06-29,2023-06-28,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600806:2018-07-16,SH600806,SH600806,2018-07-16,2018-07-13,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600856:2022-06-23,SH600856,SH600856,2022-06-23,2022-06-22,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600870:2022-07-01,SH600870,SH600870,2022-07-01,2022-06-30,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600890:2022-06-22,SH600890,SH600890,2022-06-22,2022-06-21,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600891:2021-05-13,SH600891,SH600891,2021-05-13,2021-05-12,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600896:2022-07-26,SH600896,SH600896,2022-07-26,2022-07-25,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH600978:2021-03-23,SH600978,SH600978,2021-03-23,2021-03-22,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH601258:2023-07-03,SH601258,SH601258,2023-07-03,2023-06-30,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH601299:2015-05-21,SH601299,SH601299,2015-05-21,2015-05-20,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH601558:2020-07-03,SH601558,SH601558,2020-07-03,2020-07-02,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH603157:2022-05-25,SH603157,SH603157,2022-05-25,2022-05-24,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH603996:2022-05-25,SH603996,SH603996,2022-05-25,2022-05-24,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SH688086:2023-07-10,SH688086,SH688086,2023-07-10,2023-07-07,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000018:2020-01-08,SZ000018,SZ000018,2020-01-08,2020-01-07,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000022:2018-12-27,SZ000022,SZ000022,2018-12-27,2018-12-26,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000024:2015-12-31,SZ000024,SZ000024,2015-12-31,2015-12-30,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000038:2023-07-13,SZ000038,SZ000038,2023-07-13,2023-07-12,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000043:2019-12-17,SZ000043,SZ000043,2019-12-17,2019-12-16,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000150:2023-06-12,SZ000150,SZ000150,2023-06-12,2023-06-09,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000418:2019-06-24,SZ000418,SZ000418,2019-06-24,2019-06-21,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000502:2022-06-28,SZ000502,SZ000502,2022-06-28,2022-06-27,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000511:2018-07-19,SZ000511,SZ000511,2018-07-19,2018-07-18,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000540:2023-07-03,SZ000540,SZ000540,2023-07-03,2023-06-30,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000585:2022-05-25,SZ000585,SZ000585,2022-05-25,2022-05-24,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000587:2023-04-04,SZ000587,SZ000587,2023-04-04,2023-04-03,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000606:2023-07-07,SZ000606,SZ000606,2023-07-07,2023-07-06,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000611:2022-06-29,SZ000611,SZ000611,2022-06-29,2022-06-28,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000613:2022-06-30,SZ000613,SZ000613,2022-06-30,2022-06-29,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000616:2023-08-24,SZ000616,SZ000616,2023-08-24,2023-08-23,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000662:2021-04-13,SZ000662,SZ000662,2021-04-13,2021-04-12,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000666:2023-10-27,SZ000666,SZ000666,2023-10-27,2023-10-26,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000667:2023-07-17,SZ000667,SZ000667,2023-07-17,2023-07-14,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000671:2023-08-17,SZ000671,SZ000671,2023-08-17,2023-08-16,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000673:2022-07-05,SZ000673,SZ000673,2022-07-05,2022-07-04,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000687:2022-06-20,SZ000687,SZ000687,2022-06-20,2022-06-17,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000693:2019-07-10,SZ000693,SZ000693,2019-07-10,2019-07-09,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000732:2023-08-07,SZ000732,SZ000732,2023-08-07,2023-08-04,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000748:2017-01-19,SZ000748,SZ000748,2017-01-19,2017-01-18,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000760:2021-07-26,SZ000760,SZ000760,2021-07-26,2021-07-23,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000780:2022-01-25,SZ000780,SZ000780,2022-01-25,2022-01-24,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000806:2023-07-07,SZ000806,SZ000806,2023-07-07,2023-07-06,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000835:2022-05-24,SZ000835,SZ000835,2022-05-24,2022-05-23,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000916:2017-12-26,SZ000916,SZ000916,2017-12-26,2017-12-25,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000918:2023-07-31,SZ000918,SZ000918,2023-07-31,2023-07-28,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000939:2020-12-18,SZ000939,SZ000939,2020-12-18,2020-12-17,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ000979:2019-01-02,SZ000979,SZ000979,2019-01-02,2018-12-28,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002013:2023-03-20,SZ002013,SZ002013,2023-03-20,2023-03-17,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002018:2019-11-04,SZ002018,SZ002018,2019-11-04,2019-11-01,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002055:2023-03-24,SZ002055,SZ002055,2023-03-24,2023-03-23,ordinary,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002070:2019-07-10,SZ002070,SZ002070,2019-07-10,2019-07-09,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002071:2021-05-10,SZ002071,SZ002071,2021-05-10,2021-05-07,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002113:2023-08-14,SZ002113,SZ002113,2023-08-14,2023-08-11,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002118:2023-08-07,SZ002118,SZ002118,2023-08-07,2023-08-04,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002143:2019-12-02,SZ002143,SZ002143,2019-12-02,2019-11-29,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002147:2022-06-24,SZ002147,SZ002147,2022-06-24,2022-06-23,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002220:2020-08-12,SZ002220,SZ002220,2020-08-12,2020-08-11,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002260:2022-06-20,SZ002260,SZ002260,2022-06-20,2022-06-17,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002359:2021-07-26,SZ002359,SZ002359,2021-07-26,2021-07-23,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002411:2023-07-13,SZ002411,SZ002411,2023-07-13,2023-07-12,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002417:2023-07-11,SZ002417,SZ002417,2023-07-11,2023-07-10,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002447:2022-06-28,SZ002447,SZ002447,2022-06-28,2022-06-27,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002450:2021-06-01,SZ002450,SZ002450,2021-06-01,2021-05-31,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002464:2022-06-29,SZ002464,SZ002464,2022-06-29,2022-06-28,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002473:2022-06-23,SZ002473,SZ002473,2022-06-23,2022-06-22,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002477:2019-10-17,SZ002477,SZ002477,2019-10-17,2019-10-16,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002499:2023-04-19,SZ002499,SZ002499,2023-04-19,2023-04-18,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002503:2023-08-14,SZ002503,SZ002503,2023-08-14,2023-08-11,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002504:2023-08-22,SZ002504,SZ002504,2023-08-22,2023-08-21,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002509:2020-07-21,SZ002509,SZ002509,2020-07-21,2020-07-20,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002604:2020-07-16,SZ002604,SZ002604,2020-07-16,2020-07-15,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002618:2022-06-23,SZ002618,SZ002618,2022-06-23,2022-06-22,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002619:2022-04-29,SZ002619,SZ002619,2022-04-29,2022-04-28,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002680:2019-11-28,SZ002680,SZ002680,2019-11-28,2019-11-27,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002684:2022-06-28,SZ002684,SZ002684,2022-06-28,2022-06-27,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002711:2021-07-16,SZ002711,SZ002711,2021-07-16,2021-07-15,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002751:2023-07-14,SZ002751,SZ002751,2023-07-14,2023-07-13,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002770:2022-06-24,SZ002770,SZ002770,2022-06-24,2022-06-23,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ002781:2023-07-06,SZ002781,SZ002781,2023-07-06,2023-07-05,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300023:2022-06-30,SZ300023,SZ300023,2022-06-30,2022-06-29,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300028:2020-08-04,SZ300028,SZ300028,2020-08-04,2020-08-03,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300038:2022-07-01,SZ300038,SZ300038,2022-07-01,2022-06-30,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300064:2022-06-28,SZ300064,SZ300064,2022-06-28,2022-06-27,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300089:2023-07-14,SZ300089,SZ300089,2023-07-14,2023-07-13,suspended,True,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300090:2020-08-26,SZ300090,SZ300090,2020-08-26,2020-08-25,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
SZ300104:2020-07-22,SZ300104,SZ300104,2020-07-22,2020-07-21,suspended,False,unknown,False,IF_EXPOSED_RETAIN_AND_RESOLVE_IDENTITY_OR_SETTLEMENT,False
