instrument,date,raw_low,raw_high,source_reference,provisional_lower,provisional_upper
SH600090,2022-06-10,0.28,0.4,0.96,0.86,1.06
SH600093,2022-05-26,0.4,0.51,0.78,0.7,0.86
SH600145,2022-03-30,0.26,0.35,1.03,0.93,1.13
SH600146,2022-06-02,0.26,0.33,1.19,1.07,1.31
SH600209,2022-05-25,0.72,0.88,2.08,1.87,2.29
SH600242,2023-05-31,0.27,0.32,0.45,0.41,0.5
SH600275,2022-05-25,0.31,0.42,0.97,0.87,1.07
SH600291,2022-05-17,0.68,0.91,1.73,1.56,1.9
SH600385,2022-06-10,0.88,1.02,3.33,3.0,3.66
SH600532,2023-05-30,0.52,1.67,3.34,3.01,3.67
SH600555,2022-06-16,0.32,0.39,1.22,1.1,1.34
SH600610,2020-08-17,4.89,7.04,3.26,3.1,3.42
SH600652,2022-05-25,0.67,0.83,1.02,0.92,1.12
SH600695,2022-05-17,0.49,0.55,1.7,1.53,1.87
SH600710,2017-07-31,7.48,9.64,9.31,8.84,9.78
SH600732,2017-06-06,7.5,10.77,7.67,7.29,8.05
SH600733,2018-09-27,9.5,14.66,15.05,13.55,16.56
SH600767,2023-05-31,0.42,0.6,4.16,3.74,4.58
SH600781,2023-05-30,0.51,0.63,0.84,0.76,0.92
SH600856,2022-05-25,0.28,0.39,0.83,0.75,0.91
SH600870,2022-06-02,0.35,0.42,3.55,3.2,3.91
SH600890,2022-05-25,0.28,0.36,0.83,0.75,0.91
SH600896,2022-06-28,0.88,1.02,1.74,1.57,1.91
SH603157,2022-04-22,0.67,0.76,1.05,0.95,1.16
SH603996,2022-04-22,0.45,0.54,0.96,0.86,1.06
SH688086,2023-06-08,0.73,0.99,2.42,1.94,2.9
SZ000038,2023-06-19,0.58,0.64,3.43,3.09,3.77
SZ000155,2017-12-18,7.3,8.56,10.27,9.24,11.3
SZ000502,2022-06-06,0.45,0.55,3.8,3.42,4.18
SZ000585,2022-04-28,0.3,0.39,0.98,0.88,1.08
SZ000606,2023-06-13,0.18,0.21,0.92,0.83,1.01
SZ000611,2022-06-07,0.83,1.22,3.47,3.12,3.82
SZ000613,2022-06-08,0.48,0.7,2.13,1.92,2.34
SZ000629,2018-08-24,3.7,4.41,3.07,2.76,3.38
SZ000670,2022-08-22,11.02,13.25,2.25,2.03,2.48
SZ000673,2022-06-13,0.21,0.3,1.54,1.39,1.69
SZ000687,2022-05-26,0.3,0.36,0.66,0.59,0.73
SZ000792,2021-08-10,32.41,43.9,8.84,7.96,9.72
SZ000806,2023-06-13,0.44,0.58,1.0,0.9,1.1
SZ000835,2022-04-27,0.33,0.45,1.03,0.93,1.13
SZ000950,2018-08-28,10.06,12.88,10.72,9.65,11.79
SZ000995,2020-12-16,25.0,31.0,7.47,6.72,8.22
SZ002147,2022-06-01,0.38,0.58,3.14,2.83,3.45
SZ002411,2023-06-19,0.65,0.81,3.23,2.91,3.55
SZ002417,2023-06-15,0.34,0.41,1.24,1.12,1.36
SZ002447,2022-06-06,0.19,0.27,1.1,0.99,1.21
SZ002464,2022-06-07,0.33,0.42,2.09,1.88,2.3
SZ002473,2022-05-31,0.88,1.3,5.19,4.67,5.71
SZ002499,2023-03-27,0.72,0.91,1.68,1.51,1.85
SZ002618,2022-05-31,0.74,0.99,1.09,0.98,1.2
SZ002684,2022-06-06,0.42,0.92,2.26,2.03,2.49
SZ002751,2023-06-20,1.0,1.2,4.94,4.45,5.43
SZ002770,2022-06-01,0.65,0.84,2.37,2.13,2.61
SZ002781,2023-06-12,0.43,0.68,1.64,1.48,1.8
SZ300023,2022-06-08,1.16,1.54,3.03,2.42,3.64
SZ300038,2022-06-09,0.37,0.45,0.8,0.64,0.96
SZ300064,2022-06-06,0.69,0.95,1.5,1.2,1.8
SZ300089,2023-06-20,0.22,0.26,0.8,0.64,0.96
SZ300178,2022-05-31,0.29,0.32,0.8,0.64,0.96
SZ300202,2022-06-13,0.48,0.58,1.39,1.11,1.67
SZ300273,2023-06-13,0.28,0.45,1.1,0.88,1.32
SZ300297,2023-07-10,0.23,0.3,0.48,0.38,0.58
SZ300309,2023-05-09,0.29,0.41,0.84,0.67,1.01
SZ300312,2022-06-13,0.29,0.37,1.42,1.14,1.7
SZ300325,2022-06-07,0.21,0.3,0.59,0.47,0.71
SZ300330,2023-04-28,2.18,2.55,5.42,4.34,6.5
SZ300336,2023-06-12,0.22,0.28,0.9,0.72,1.08
SZ300367,2022-06-09,0.25,0.31,0.45,0.36,0.54
SZ300392,2023-06-15,0.2,0.26,0.99,0.79,1.19
SZ300526,2023-06-19,0.7,0.85,4.65,3.72,5.58
