instrument,date,year,source_agreed,close_rel,volume_ratio,amount_ratio
SH601313,2015-01-05,2015,True,4.026881805785365e-08,99.99999451262798,1000.0
SH601313,2015-01-06,2015,True,-4.2974627190162096e-09,100.00000063574056,1000.0000372996501
SH601313,2015-01-07,2015,True,-6.134781826983016e-08,100.00000636796284,1000.0000383319191
SH601313,2015-01-08,2015,True,-1.1864754623225338e-08,100.00000275271418,999.9999732105483
SH601313,2015-01-09,2015,True,-1.865224452668457e-08,100.00000285219882,1000.0000405035745
SH601313,2015-01-12,2015,True,5.137142711220122e-09,100.00000222348125,1000.0000467475159
SH601313,2015-01-13,2015,True,4.5747183818889425e-09,100.00000346996406,999.9999565149346
SH601313,2015-01-14,2015,True,4.3801485327676914e-08,99.99999722428534,1000.000034347865
SH601313,2015-01-15,2015,True,-4.091700100961049e-08,100.00000390283186,1000.0
SH601313,2015-01-16,2015,True,3.5161058509203258e-09,99.9999966929739,999.9999759147047
SH601313,2015-01-19,2015,True,5.3917368791900344e-08,99.99999854830291,1000.0000538467731
SH601313,2015-01-20,2015,True,6.974570920803558e-09,100.0000042510373,999.999984996162
SH601313,2015-01-21,2015,True,3.4570328821814655e-08,100.00000201937073,1000.0
SH601313,2015-01-22,2015,True,5.874046582476922e-09,100.00000027664862,1000.0
SH601313,2015-01-23,2015,True,-4.0216554864080933e-08,99.99999851003238,1000.0000258263882
SH601313,2015-01-26,2015,True,1.3905721463203236e-08,99.99999979138904,1000.0
SH601313,2015-01-27,2015,True,-8.342133650529604e-09,100.00000369233852,999.9999616881092
SH601313,2015-01-28,2015,True,3.79112807813442e-08,99.99999798310041,1000.0
SH601313,2015-01-29,2015,True,2.432355317161239e-08,99.99999398829354,1000.0000240905324
SH601313,2015-01-30,2015,True,-4.775006945401117e-08,99.99999967364502,1000.000034905794
SH601313,2015-02-02,2015,True,-3.332610254425106e-08,99.99999948930562,1000.0
SH601313,2015-02-03,2015,True,-3.6809454817543497e-08,100.00000089115962,1000.0
SH601313,2015-02-04,2015,True,-9.028544134537242e-09,99.99999460246404,1000.0
SH601313,2015-02-05,2015,True,3.0173676890399292e-09,100.00000584450862,1000.0
SH601313,2015-02-06,2015,True,-4.0216554864080933e-08,100.00000343905089,999.9999633162264
SH601313,2015-02-09,2015,True,5.698357763428419e-08,99.99999187085011,1000.0000286018225
SH601313,2015-02-10,2015,True,-4.2974627190162096e-09,100.00000074119664,1000.0
SH601313,2015-02-11,2015,True,-5.105385803005902e-08,99.99999988632489,1000.0
SH601313,2015-02-12,2015,True,3.79112807813442e-08,99.99999635476922,1000.000037185588
SH601313,2015-02-13,2015,True,-4.354987881427519e-08,99.99999789835906,999.9999770350573
