asset_id,event_id,record_date,ex_date,bonus_per_share,handler_family
SZ300002,7588ef08e7105796f7b38bc6,20150605,20150608,0.5020004,exact_fractional_claim_pending_allocation
SZ300010,fbcea93a63b167273afc0678,20150518,20150519,1.2001704,exact_fractional_claim_pending_allocation
SZ300014,895ca1b8a7ad6a545cece10e,20170510,20170511,0.9958566,exact_fractional_claim_pending_allocation
SZ300014,2e3babcd1bbbf432dcbcbe24,20200608,20200609,0.9008738,exact_fractional_claim_pending_allocation
SZ300015,6f769cbf1afd8bf486db9aa4,20150603,20150604,0.4997973,exact_fractional_claim_pending_allocation
SZ300015,664a3a5a020ea24a4a6159c7,20180523,20180524,0.4999451,exact_fractional_claim_pending_allocation
SZ300015,6878d38d83fcd6ecd6cc4de2,20210623,20210624,0.2965786,exact_fractional_claim_pending_allocation
SZ300015,26ea77ffc1fb22d82eca4549,20220708,20220711,0.2991634,exact_fractional_claim_pending_allocation
SZ300015,0b6d6540038739175a1851ce,20230607,20230608,0.3000447,exact_fractional_claim_pending_allocation
SZ300017,5cbbe637d60ec2dcfb0b9c03,20150421,20150422,1.199329,exact_fractional_claim_pending_allocation
SZ300017,b2ec64b4bf48bf04a83e39a5,20170424,20170425,1.995476,exact_fractional_claim_pending_allocation
SZ300027,171e54141184baa017e6e856,20160429,20160503,0.9991663,exact_fractional_claim_pending_allocation
SZ300034,5ebc0a552b985659ac0e53f4,20160518,20160519,0.2982603,exact_fractional_claim_pending_allocation
SZ300040,e899ad435b8a4a0af2e5106b,20210713,20210714,0.3998922,exact_fractional_claim_pending_allocation
SZ300047,550734470c8aee95627f3134,20190604,20190605,0.6011892,exact_fractional_claim_pending_allocation
SZ300057,523501833f239df962deb08b,20190514,20190515,0.1904078,exact_fractional_claim_pending_allocation
SZ300058,1d5d23a78ce3730efc55994e,20150608,20150609,0.9983377,exact_fractional_claim_pending_allocation
SZ300066,9359fb940ea661b68886e149,20150428,20150429,0.6000111,exact_fractional_claim_pending_allocation
SZ300070,e4e1e3c841966c1a36bff29b,20160513,20160516,1.464225,exact_fractional_claim_pending_allocation
SZ300072,989d4c17affac486d86e8807,20160418,20160419,0.4884083,exact_fractional_claim_pending_allocation
SZ300087,2e5e55a1edb0ee6e435343f8,20170714,20170717,0.2945279,exact_fractional_claim_pending_allocation
SZ300098,9caf26558ff026917359ef00,20180524,20180525,0.497385,exact_fractional_claim_pending_allocation
SZ300107,ece50e84a1e2747cb7866a16,20150513,20150514,0.9978578,exact_fractional_claim_pending_allocation
SZ300109,d31fc08e09d88405c41cf942,20180704,20180705,0.3048783,exact_fractional_claim_pending_allocation
SZ300113,55a9522b3feb9955e11ba981,20160524,20160525,1.26167,exact_fractional_claim_pending_allocation
SZ300120,a003e3fb24965f7581c46992,20180619,20180620,0.2930005,exact_fractional_claim_pending_allocation
SZ300124,e4214f113d96362d54bf478f,20160517,20160518,0.999878,exact_fractional_claim_pending_allocation
SZ300128,52c78707c5ba59f2e9f7ec18,20170525,20170526,0.8373027,exact_fractional_claim_pending_allocation
