outer_split_id,inner_split_id,factor,selected,selection_eligible,selection_reason,frozen_direction,fdr_bh_q_value
split_001,split_001_inner_001,alpha158_BETA10,True,True,selected,-1,0.0200356388793219
split_001,split_001_inner_001,alpha158_BETA20,True,True,selected,-1,0.0068546837777607
split_001,split_001_inner_001,alpha158_BETA30,True,True,selected,-1,0.0031825317539603
split_001,split_001_inner_001,alpha158_BETA5,True,True,selected,-1,0.0383794423398383
split_001,split_001_inner_001,alpha158_BETA60,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_001,alpha158_CNTD10,False,True,fdr_not_passed,-1,0.1917721453803928
split_001,split_001_inner_001,alpha158_CNTD20,False,True,fdr_not_passed,-1,0.0968596620770533
split_001,split_001_inner_001,alpha158_CNTD30,True,True,selected,-1,0.0310537946901583
split_001,split_001_inner_001,alpha158_CNTD5,False,True,fdr_not_passed,-1,0.209694667748359
split_001,split_001_inner_001,alpha158_CNTD60,False,True,fdr_not_passed,-1,0.0694370564500434
split_001,split_001_inner_001,alpha158_CNTN10,False,True,fdr_not_passed,1,0.3926980662649452
split_001,split_001_inner_001,alpha158_CNTN20,False,True,fdr_not_passed,1,0.2081504354231626
split_001,split_001_inner_001,alpha158_CNTN30,False,True,fdr_not_passed,1,0.1263453860627005
split_001,split_001_inner_001,alpha158_CNTN60,False,True,fdr_not_passed,1,0.2536572338552537
split_001,split_001_inner_001,alpha158_CNTP10,False,True,fdr_not_passed,-1,0.0638294289979683
split_001,split_001_inner_001,alpha158_CNTP20,True,True,selected,-1,0.03608991008991
split_001,split_001_inner_001,alpha158_CNTP30,True,True,selected,-1,0.0082104627559173
split_001,split_001_inner_001,alpha158_CNTP5,False,True,fdr_not_passed,-1,0.0935664335664335
split_001,split_001_inner_001,alpha158_CNTP60,True,True,selected,-1,0.0188058694552201
split_001,split_001_inner_001,alpha158_CORD10,True,True,selected,-1,0.0263450242703354
split_001,split_001_inner_001,alpha158_CORD20,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_CORD30,True,True,selected,-1,0.0031825317539603
split_001,split_001_inner_001,alpha158_CORD5,True,True,selected,-1,0.039546252564004
split_001,split_001_inner_001,alpha158_CORD60,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_CORR10,True,True,selected,-1,0.0109051787373465
split_001,split_001_inner_001,alpha158_CORR20,True,True,selected,-1,0.0310537946901583
split_001,split_001_inner_001,alpha158_CORR30,False,True,fdr_not_passed,-1,0.2080761877716192
split_001,split_001_inner_001,alpha158_CORR5,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_CORR60,False,True,fdr_not_passed,-1,0.9238407769142404
split_001,split_001_inner_001,alpha158_HIGH0,True,True,selected,-1,0.0162288043082745
split_001,split_001_inner_001,alpha158_IMAX10,False,True,fdr_not_passed,-1,0.0902491668915026
split_001,split_001_inner_001,alpha158_IMAX20,True,True,selected,-1,0.0121791647987547
split_001,split_001_inner_001,alpha158_IMAX30,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_IMAX60,True,True,selected,-1,0.0082104627559173
split_001,split_001_inner_001,alpha158_IMIN10,False,True,fdr_not_passed,1,0.0761701533760357
split_001,split_001_inner_001,alpha158_IMIN20,True,True,selected,1,0.0135168202583932
split_001,split_001_inner_001,alpha158_IMIN30,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha158_IMIN5,False,True,fdr_not_passed,1,0.1899590877060547
split_001,split_001_inner_001,alpha158_IMIN60,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_IMXD10,False,True,fdr_not_passed,-1,0.0807873445236082
split_001,split_001_inner_001,alpha158_IMXD20,True,True,selected,-1,0.0175108734060699
split_001,split_001_inner_001,alpha158_IMXD30,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_IMXD5,False,True,fdr_not_passed,-1,0.1868079836829836
split_001,split_001_inner_001,alpha158_IMXD60,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_KLEN,True,True,selected,-1,0.0031825317539603
split_001,split_001_inner_001,alpha158_KLOW,True,True,selected,-1,0.0031825317539603
split_001,split_001_inner_001,alpha158_KLOW2,False,True,direction_mismatch;weak_validation_ic;fdr_not_passed,1,0.6279834716367224
split_001,split_001_inner_001,alpha158_KMID,True,True,selected,-1,0.0068546837777607
split_001,split_001_inner_001,alpha158_KMID2,False,True,fdr_not_passed,-1,0.052393113578582
split_001,split_001_inner_001,alpha158_KSFT,False,True,fdr_not_passed,-1,0.2089238492599837
split_001,split_001_inner_001,alpha158_KSFT2,False,True,fdr_not_passed,-1,0.0704157210626711
split_001,split_001_inner_001,alpha158_KUP,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_KUP2,False,True,direction_mismatch;weak_validation_ic;fdr_not_passed,1,0.3566577653116115
split_001,split_001_inner_001,alpha158_LOW0,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_MA10,True,True,selected,1,0.0250624375624375
split_001,split_001_inner_001,alpha158_MA20,True,True,selected,1,0.0095475952618809
split_001,split_001_inner_001,alpha158_MA30,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha158_MA5,False,True,fdr_not_passed,1,0.0638294289979683
split_001,split_001_inner_001,alpha158_MA60,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_MAX10,False,True,direction_mismatch;weak_validation_ic;fdr_not_passed,-1,0.0989227379119075
split_001,split_001_inner_001,alpha158_MAX20,False,True,direction_mismatch;fdr_not_passed,-1,0.6806511460889341
split_001,split_001_inner_001,alpha158_MAX30,False,True,fdr_not_passed,1,0.569862739141736
split_001,split_001_inner_001,alpha158_MAX5,True,True,selected,-1,0.0238689881547024
split_001,split_001_inner_001,alpha158_MAX60,False,True,fdr_not_passed,1,0.1591823238057914
split_001,split_001_inner_001,alpha158_MIN10,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_MIN20,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_MIN30,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_MIN5,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_MIN60,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_OPEN0,True,True,selected,1,0.0095475952618809
split_001,split_001_inner_001,alpha158_QTLD10,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha158_QTLD20,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_QTLD30,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_QTLD5,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha158_QTLD60,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_QTLU10,False,True,fdr_not_passed,1,0.3997300168186244
split_001,split_001_inner_001,alpha158_QTLU20,False,True,fdr_not_passed,1,0.0580061447985976
split_001,split_001_inner_001,alpha158_QTLU30,True,True,selected,1,0.0188058694552201
split_001,split_001_inner_001,alpha158_QTLU5,False,True,direction_mismatch;fdr_not_passed,-1,0.9202104202104202
split_001,split_001_inner_001,alpha158_QTLU60,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha158_RANK10,False,True,fdr_not_passed,-1,0.0546354785898512
split_001,split_001_inner_001,alpha158_RANK20,True,True,selected,-1,0.0135168202583932
split_001,split_001_inner_001,alpha158_RANK30,True,True,selected,-1,0.0068546837777607
split_001,split_001_inner_001,alpha158_RANK60,True,True,selected,-1,0.0031825317539603
split_001,split_001_inner_001,alpha158_RESI10,False,True,weak_validation_ic;fdr_not_passed,-1,0.6070073006309399
split_001,split_001_inner_001,alpha158_RESI20,False,True,weak_validation_ic;fdr_not_passed,1,0.5975426442716163
split_001,split_001_inner_001,alpha158_RESI30,False,True,fdr_not_passed,1,0.3997300168186244
split_001,split_001_inner_001,alpha158_RESI5,False,True,weak_validation_ic;fdr_not_passed,-1,0.1052114254260944
split_001,split_001_inner_001,alpha158_RESI60,False,True,fdr_not_passed,-1,0.1917721453803928
split_001,split_001_inner_001,alpha158_ROC10,True,True,selected,1,0.0135168202583932
split_001,split_001_inner_001,alpha158_ROC20,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha158_ROC30,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_ROC5,True,True,selected,1,0.0418524723808481
split_001,split_001_inner_001,alpha158_ROC60,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_RSQR10,False,True,fdr_not_passed,1,0.3135517080322275
split_001,split_001_inner_001,alpha158_RSQR20,False,True,fdr_not_passed,1,0.0989227379119075
split_001,split_001_inner_001,alpha158_RSQR30,True,True,selected,1,0.0238689881547024
split_001,split_001_inner_001,alpha158_RSQR5,False,True,fdr_not_passed,1,0.2183216783216783
split_001,split_001_inner_001,alpha158_RSQR60,False,True,fdr_not_passed,-1,0.9274602642866115
split_001,split_001_inner_001,alpha158_RSV10,False,True,fdr_not_passed,-1,0.1294304287262034
split_001,split_001_inner_001,alpha158_RSV20,True,True,selected,-1,0.0418524723808481
split_001,split_001_inner_001,alpha158_RSV30,True,True,selected,-1,0.0082104627559173
split_001,split_001_inner_001,alpha158_RSV5,False,True,fdr_not_passed,-1,0.2072960937367716
split_001,split_001_inner_001,alpha158_RSV60,True,True,selected,-1,0.0068546837777607
split_001,split_001_inner_001,alpha158_STD10,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_STD20,True,True,selected,-1,0.0250624375624375
split_001,split_001_inner_001,alpha158_STD30,False,True,fdr_not_passed,-1,0.0672065364802795
split_001,split_001_inner_001,alpha158_STD5,True,True,selected,-1,0.0042033438259853
split_001,split_001_inner_001,alpha158_STD60,False,True,fdr_not_passed,-1,0.1009709714745686
split_001,split_001_inner_001,alpha158_SUMD10,False,True,fdr_not_passed,-1,0.068323869439111
split_001,split_001_inner_001,alpha158_SUMD20,True,True,selected,-1,0.0068546837777607
split_001,split_001_inner_001,alpha158_SUMD30,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_001,alpha158_SUMD5,False,True,fdr_not_passed,-1,0.1934041985411848
split_001,split_001_inner_001,alpha158_SUMD60,True,True,selected,-1,0.0031825317539603
split_001,split_001_inner_001,alpha158_SUMN10,False,True,fdr_not_passed,1,0.0797092815441439
split_001,split_001_inner_001,alpha158_SUMN20,True,True,selected,1,0.0095475952618809
split_001,split_001_inner_001,alpha158_SUMN30,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha158_SUMN5,False,True,fdr_not_passed,1,0.1981085354168829
split_001,split_001_inner_001,alpha158_SUMN60,True,True,selected,1,0.0068546837777607
split_001,split_001_inner_001,alpha158_SUMP10,False,True,fdr_not_passed,-1,0.0879705303836931
split_001,split_001_inner_001,alpha158_SUMP20,True,True,selected,-1,0.0109051787373465
split_001,split_001_inner_001,alpha158_SUMP30,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_001,alpha158_SUMP5,False,True,fdr_not_passed,-1,0.1917721453803928
split_001,split_001_inner_001,alpha158_SUMP60,True,True,selected,-1,0.0068546837777607
split_001,split_001_inner_001,alpha158_VMA10,False,True,fdr_not_passed,1,0.2536572338552537
split_001,split_001_inner_001,alpha158_VMA20,False,True,fdr_not_passed,1,0.055799987488792
split_001,split_001_inner_001,alpha158_VMA30,True,True,selected,1,0.0162288043082745
split_001,split_001_inner_001,alpha158_VMA5,False,True,direction_mismatch;weak_validation_ic;fdr_not_passed,1,0.3041835815082144
split_001,split_001_inner_001,alpha158_VMA60,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha158_VSTD10,False,True,fdr_not_passed,-1,0.3227922806528965
split_001,split_001_inner_001,alpha158_VSTD20,False,True,direction_mismatch;weak_validation_ic;fdr_not_passed,1,0.7590047147973977
split_001,split_001_inner_001,alpha158_VSTD30,False,True,fdr_not_passed,1,0.0704157210626711
split_001,split_001_inner_001,alpha158_VSTD5,False,True,fdr_not_passed,-1,0.2081504354231626
split_001,split_001_inner_001,alpha158_VSTD60,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha158_VSUMD10,False,True,fdr_not_passed,-1,0.1263453860627005
split_001,split_001_inner_001,alpha158_VSUMD20,True,True,selected,-1,0.0162288043082745
split_001,split_001_inner_001,alpha158_VSUMD30,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_001,alpha158_VSUMD5,False,True,fdr_not_passed,-1,0.1961656091348924
split_001,split_001_inner_001,alpha158_VSUMD60,True,True,selected,-1,0.0031825317539603
split_001,split_001_inner_001,alpha158_VSUMN10,False,True,fdr_not_passed,1,0.1103993697244141
split_001,split_001_inner_001,alpha158_VSUMN20,True,True,selected,1,0.0175108734060699
split_001,split_001_inner_001,alpha158_VSUMN30,True,True,selected,1,0.0068546837777607
split_001,split_001_inner_001,alpha158_VSUMN5,False,True,fdr_not_passed,1,0.1916114973109791
split_001,split_001_inner_001,alpha158_VSUMN60,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha158_VSUMP10,False,True,fdr_not_passed,-1,0.1173135375263034
split_001,split_001_inner_001,alpha158_VSUMP20,True,True,selected,-1,0.0121791647987547
split_001,split_001_inner_001,alpha158_VSUMP30,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_001,alpha158_VSUMP5,False,True,fdr_not_passed,-1,0.2008399071217407
split_001,split_001_inner_001,alpha158_VSUMP60,True,True,selected,-1,0.0055386602347928
split_001,split_001_inner_001,alpha158_VWAP0,False,True,fdr_not_passed,1,0.1836459192980932
split_001,split_001_inner_001,alpha158_WVMA10,False,True,direction_mismatch;fdr_not_passed,1,0.6394085049417353
split_001,split_001_inner_001,alpha158_WVMA20,False,True,direction_mismatch;fdr_not_passed,1,0.8359193676414219
split_001,split_001_inner_001,alpha158_WVMA30,False,True,direction_mismatch;fdr_not_passed,1,0.7245369309589492
split_001,split_001_inner_001,alpha158_WVMA5,False,True,direction_mismatch;fdr_not_passed,1,0.6611342503650196
split_001,split_001_inner_001,alpha158_WVMA60,False,True,direction_mismatch;fdr_not_passed,1,0.6487355237355238
split_001,split_001_inner_001,alpha360_CLOSE1,False,True,fdr_not_passed,1,0.1062169972884258
split_001,split_001_inner_001,alpha360_CLOSE10,True,True,selected,1,0.0121791647987547
split_001,split_001_inner_001,alpha360_CLOSE11,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha360_CLOSE12,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha360_CLOSE13,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha360_CLOSE14,True,True,selected,1,0.0068546837777607
split_001,split_001_inner_001,alpha360_CLOSE15,True,True,selected,1,0.0109051787373465
split_001,split_001_inner_001,alpha360_CLOSE16,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha360_CLOSE17,True,True,selected,1,0.0068546837777607
split_001,split_001_inner_001,alpha360_CLOSE18,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha360_CLOSE19,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE2,True,True,selected,1,0.0490281918853347
split_001,split_001_inner_001,alpha360_CLOSE20,True,True,selected,1,0.0055386602347928
split_001,split_001_inner_001,alpha360_CLOSE21,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE22,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE23,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE24,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE25,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha360_CLOSE26,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE27,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE28,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE29,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE3,True,True,selected,1,0.0348928180253481
split_001,split_001_inner_001,alpha360_CLOSE30,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE31,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE32,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE33,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE34,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE35,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE36,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE37,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha360_CLOSE38,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE39,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE4,True,True,selected,1,0.0407840191304758
split_001,split_001_inner_001,alpha360_CLOSE40,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE41,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE42,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha360_CLOSE43,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE44,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE45,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE46,True,True,selected,1,0.0042033438259853
split_001,split_001_inner_001,alpha360_CLOSE47,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE48,True,True,selected,1,0.0031825317539603
split_001,split_001_inner_001,alpha360_CLOSE49,True,True,selected,1,0.0031825317539603
