instrument,datetime,listing_date_proxy,listing_age_days,listing_age_bucket
SH600000,2023-12-29,2000-01-04,8760.0,501_plus
SH600004,2023-12-29,2003-04-28,7550.0,501_plus
SH600006,2023-12-29,2000-01-04,8760.0,501_plus
SH600007,2023-12-29,2000-01-04,8760.0,501_plus
SH600008,2023-12-29,2000-04-27,8646.0,501_plus
SH600009,2023-12-29,2000-01-04,8760.0,501_plus
SH600010,2023-12-29,2001-03-09,8330.0,501_plus
SH600011,2023-12-29,2001-12-06,8058.0,501_plus
SH600012,2023-12-29,2003-01-07,7661.0,501_plus
SH600015,2023-12-29,2003-09-12,7413.0,501_plus
SH600016,2023-12-29,2000-12-19,8410.0,501_plus
SH600017,2023-12-29,2006-10-17,6282.0,501_plus
SH600018,2023-12-29,2006-10-26,6273.0,501_plus
SH600019,2023-12-29,2000-12-12,8417.0,501_plus
SH600020,2023-12-29,2003-08-08,7448.0,501_plus
SH600021,2023-12-29,2003-10-29,7366.0,501_plus
SH600022,2023-12-29,2004-06-29,7122.0,501_plus
SH600023,2023-12-29,2013-12-19,3662.0,501_plus
SH600025,2023-12-29,2017-12-15,2205.0,501_plus
SH600026,2023-12-29,2002-05-23,7890.0,501_plus
SH600027,2023-12-29,2005-02-03,6903.0,501_plus
SH600028,2023-12-29,2001-08-08,8178.0,501_plus
SH600029,2023-12-29,2003-07-25,7462.0,501_plus
SH600030,2023-12-29,2003-01-06,7662.0,501_plus
SH600031,2023-12-29,2003-07-03,7484.0,501_plus
SH600032,2023-12-29,2021-05-25,948.0,501_plus
SH600033,2023-12-29,2001-02-09,8358.0,501_plus
SH600035,2023-12-29,2004-03-10,7233.0,501_plus
SH600036,2023-12-29,2002-04-09,7934.0,501_plus
SH600037,2023-12-29,2001-02-08,8359.0,501_plus
SH600038,2023-12-29,2000-12-18,8411.0,501_plus
SH600039,2023-12-29,2003-03-25,7584.0,501_plus
SH600048,2023-12-29,2006-07-31,6360.0,501_plus
SH600050,2023-12-29,2002-10-09,7751.0,501_plus
SH600051,2023-12-29,2000-01-04,8760.0,501_plus
SH600052,2023-12-29,2000-01-04,8760.0,501_plus
SH600053,2023-12-29,2000-01-04,8760.0,501_plus
SH600054,2023-12-29,2000-01-04,8760.0,501_plus
SH600055,2023-12-29,2000-01-04,8760.0,501_plus
