datetime,universe,member_count
2021-01-04,csi300,300
2021-01-05,csi300,300
2021-01-06,csi300,300
2021-01-07,csi300,300
2021-01-08,csi300,300
2021-01-11,csi300,300
2021-01-12,csi300,300
2021-01-13,csi300,300
2021-01-14,csi300,300
2021-01-15,csi300,300
2021-01-18,csi300,300
2021-01-19,csi300,300
2021-01-20,csi300,300
2021-01-21,csi300,300
2021-01-22,csi300,300
2021-01-25,csi300,300
2021-01-26,csi300,300
2021-01-27,csi300,300
2021-01-28,csi300,300
2021-01-29,csi300,300
2021-02-01,csi300,300
2021-02-02,csi300,300
2021-02-03,csi300,300
2021-02-04,csi300,300
2021-02-05,csi300,300
2021-02-08,csi300,300
2021-02-09,csi300,300
2021-02-10,csi300,300
2021-02-18,csi300,300
2021-02-19,csi300,300
2021-02-22,csi300,300
2021-02-23,csi300,300
2021-02-24,csi300,300
2021-02-25,csi300,300
2021-02-26,csi300,300
2021-03-01,csi300,300
2021-03-02,csi300,300
2021-03-03,csi300,300
2021-03-04,csi300,300
2021-03-05,csi300,300
2021-03-08,csi300,300
2021-03-09,csi300,300
2021-03-10,csi300,300
2021-03-11,csi300,300
2021-03-12,csi300,300
2021-03-15,csi300,300
2021-03-16,csi300,300
2021-03-17,csi300,300
2021-03-18,csi300,300
2021-03-19,csi300,300
2021-03-22,csi300,300
2021-03-23,csi300,300
2021-03-24,csi300,300
2021-03-25,csi300,300
2021-03-26,csi300,300
2021-03-29,csi300,300
2021-03-30,csi300,300
2021-03-31,csi300,300
2021-04-01,csi300,300
2021-04-02,csi300,300
2021-04-06,csi300,300
2021-04-07,csi300,300
2021-04-08,csi300,300
2021-04-09,csi300,300
2021-04-12,csi300,300
2021-04-13,csi300,300
2021-04-14,csi300,300
2021-04-15,csi300,300
2021-04-16,csi300,300
2021-04-19,csi300,300
2021-04-20,csi300,300
2021-04-21,csi300,300
2021-04-22,csi300,300
2021-04-23,csi300,300
2021-04-26,csi300,300
2021-04-27,csi300,300
2021-04-28,csi300,300
2021-04-29,csi300,300
2021-04-30,csi300,300
2021-05-06,csi300,300
2021-05-07,csi300,300
2021-05-10,csi300,300
2021-05-11,csi300,300
2021-05-12,csi300,300
2021-05-13,csi300,300
2021-05-14,csi300,300
2021-05-17,csi300,300
2021-05-18,csi300,300
2021-05-19,csi300,300
2021-05-20,csi300,300
2021-05-21,csi300,300
2021-05-24,csi300,300
2021-05-25,csi300,300
2021-05-26,csi300,300
2021-05-27,csi300,300
2021-05-28,csi300,300
2021-05-31,csi300,300
2021-06-01,csi300,300
2021-06-02,csi300,300
2021-06-03,csi300,300
2021-06-04,csi300,300
2021-06-07,csi300,300
2021-06-08,csi300,300
2021-06-09,csi300,300
2021-06-10,csi300,300
2021-06-11,csi300,300
2021-06-15,csi300,300
2021-06-16,csi300,300
2021-06-17,csi300,300
2021-06-18,csi300,300
2021-06-21,csi300,300
2021-06-22,csi300,300
2021-06-23,csi300,300
2021-06-24,csi300,300
2021-06-25,csi300,300
2021-06-28,csi300,300
2021-06-29,csi300,300
2021-06-30,csi300,300
2021-07-01,csi300,300
2021-07-02,csi300,300
2021-07-05,csi300,300
2021-07-06,csi300,300
2021-07-07,csi300,300
2021-07-08,csi300,300
2021-07-09,csi300,300
2021-07-12,csi300,300
2021-07-13,csi300,300
2021-07-14,csi300,300
2021-07-15,csi300,300
2021-07-16,csi300,300
2021-07-19,csi300,300
2021-07-20,csi300,300
2021-07-21,csi300,300
2021-07-22,csi300,300
2021-07-23,csi300,300
2021-07-26,csi300,300
2021-07-27,csi300,300
2021-07-28,csi300,300
2021-07-29,csi300,300
2021-07-30,csi300,300
2021-08-02,csi300,300
2021-08-03,csi300,300
2021-08-04,csi300,300
2021-08-05,csi300,300
2021-08-06,csi300,300
2021-08-09,csi300,300
2021-08-10,csi300,300
2021-08-11,csi300,300
2021-08-12,csi300,300
2021-08-13,csi300,300
2021-08-16,csi300,300
2021-08-17,csi300,300
2021-08-18,csi300,300
2021-08-19,csi300,300
2021-08-20,csi300,300
2021-08-23,csi300,300
2021-08-24,csi300,300
2021-08-25,csi300,300
2021-08-26,csi300,300
2021-08-27,csi300,300
2021-08-30,csi300,300
2021-08-31,csi300,300
2021-09-01,csi300,300
2021-09-02,csi300,300
2021-09-03,csi300,300
2021-09-06,csi300,300
2021-09-07,csi300,300
2021-09-08,csi300,300
2021-09-09,csi300,300
2021-09-10,csi300,300
2021-09-13,csi300,300
2021-09-14,csi300,300
2021-09-15,csi300,300
2021-09-16,csi300,300
2021-09-17,csi300,300
2021-09-22,csi300,300
2021-09-23,csi300,300
2021-09-24,csi300,300
