signal_date,execution_date,period_end_date,status,eligible_count,selected_count,turnover,cost,period_net_return,period_universe_return,period_net_excess_return,avg_selected_liquidity_bucket,avg_selected_tradability_score
2021-02-01,2021-02-02,2021-02-23,executed,1117,200,1.0,0.001,0.06216932013414156,0.0404148415770742,0.02031385548444109,3.735,100.0
2021-02-22,2021-02-23,2021-03-09,executed,1117,200,0.385,0.00038500000000000003,0.00025470880684563824,-0.04235973781029079,0.043310348880733596,3.74,100.0
2021-03-08,2021-03-09,2021-03-23,executed,1122,200,0.33999999999999997,0.00033999999999999997,0.01867500328202465,0.02399622485054209,-0.005600129516138752,3.68,100.0
2021-03-22,2021-03-23,2021-04-07,executed,1136,200,0.405,0.00040500000000000003,0.006111020753059915,0.01967373419770979,-0.013634216735965765,3.61,100.0
2021-04-06,2021-04-07,2021-04-21,executed,1128,200,0.38,0.00038,-0.0035192697963197794,0.004745265003596177,-0.0085122008371733,3.705,100.0
2021-04-20,2021-04-21,2021-05-10,executed,1142,200,0.35,0.00035,-0.02651081262223931,-0.004461773860677476,-0.02227127411826635,3.675,100.0
2021-05-07,2021-05-10,2021-05-24,executed,1119,200,0.41500000000000004,0.00041500000000000006,0.018445287871142524,0.021835278144990422,-0.0034174810930381883,3.7,100.0
2021-05-21,2021-05-24,2021-06-07,executed,1113,200,0.36,0.00035999999999999997,0.010165966369224622,0.03736697289053703,-0.026511812831695347,3.63,100.0
2021-06-04,2021-06-07,2021-06-22,executed,1123,200,0.4,0.0004,-0.006913422474977171,0.005246320730960763,-0.012496493763199501,3.565,100.0
2021-06-21,2021-06-22,2021-07-06,executed,1133,200,0.43500000000000005,0.00043500000000000006,-0.004680484958801023,0.0020385989449975828,-0.007328767392190572,3.63,100.0
2021-07-05,2021-07-06,2021-07-20,executed,1123,200,0.35,0.00035,-0.002223346541035176,0.03856372441229938,-0.0395536015162572,3.63,100.0
2021-07-19,2021-07-20,2021-08-03,executed,1136,200,0.33999999999999997,0.00033999999999999997,-0.013786237294383885,-0.007121137313645831,-0.008212871254195453,3.595,100.0
2021-08-02,2021-08-03,2021-08-17,executed,1113,200,0.36,0.00035999999999999997,0.016983195699084686,0.017872477216739346,-0.0017106788095975212,3.625,100.0
2021-08-16,2021-08-17,2021-08-31,executed,1133,200,0.36,0.00035999999999999997,0.035340117736252896,0.04543727031559919,-0.00991995544343216,3.54,100.0
2021-08-30,2021-08-31,2021-09-14,executed,1125,200,0.44999999999999996,0.00045,0.05950857168001944,0.035859889139896906,0.022572169752454352,3.58,100.0
2021-09-13,2021-09-14,2021-09-30,executed,1108,200,0.475,0.000475,-0.028445203917907835,-0.05629244138266509,0.027686476665800486,3.575,100.0
2021-09-29,2021-09-30,2021-10-21,executed,1114,200,0.45499999999999996,0.00045499999999999995,0.015585971231406148,0.001675138095429629,0.01348254503165447,3.615,100.0
2021-10-20,2021-10-21,2021-11-04,executed,1138,200,0.41000000000000003,0.00041000000000000005,-0.0013584525286582938,-0.008014516479023959,0.006061974823036387,3.69,100.0
2021-11-03,2021-11-04,2021-11-18,executed,1149,200,0.405,0.00040500000000000003,0.016549602624506665,0.027152813231569706,-0.010743364956850798,3.665,100.0
2021-11-17,2021-11-18,2021-12-02,executed,1128,200,0.39,0.00039000000000000005,0.021830091821774644,0.027504055811609085,-0.005723898055587151,3.655,100.0
2021-12-01,2021-12-02,2021-12-16,executed,1138,200,0.36,0.00035999999999999997,0.024961899050026215,0.025663435100807597,-0.0010032826470695033,3.615,100.0
2021-12-15,2021-12-16,2021-12-30,executed,1136,200,0.405,0.00040500000000000003,0.012153460125040816,-0.006252081775786622,0.0179747030584676,3.575,100.0
2021-12-29,2021-12-30,2022-01-14,executed,1126,200,0.44499999999999995,0.000445,0.013842485479458766,-0.016497828359900768,0.030143201728887847,3.67,100.0
2022-01-13,2022-01-14,2022-01-28,executed,1139,200,0.36,0.00035999999999999997,-0.06405063940811062,-0.08783840073757732,0.024809822653919955,3.865,100.0
2022-01-27,2022-01-28,2022-02-18,executed,1133,200,0.37,0.00037,0.04225880413943539,0.05049728350181426,-0.008229819328988142,3.835,100.0
2022-02-17,2022-02-18,2022-03-04,executed,1143,200,0.35,0.00035,-0.015166449822316186,-0.0026225669936534857,-0.012999067526405894,3.73,100.0
2022-03-03,2022-03-04,2022-03-18,executed,1143,200,0.39,0.00039000000000000005,-0.06595779979029859,-0.04822268355008119,-0.018896786127233223,3.77,100.0
2022-03-17,2022-03-18,2022-04-01,executed,1137,200,0.37,0.00037,0.011389064471924115,0.0011159931105673149,0.010096689493931388,3.785,100.0
2022-03-31,2022-04-01,2022-04-19,executed,1134,200,0.405,0.00040500000000000003,-0.02421744504588308,-0.0468506754440825,0.02319214450461482,3.69,100.0
2022-04-18,2022-04-19,2022-05-06,executed,1105,200,0.42500000000000004,0.00042500000000000003,-0.08707570464871672,-0.10400552910471472,0.01688736122689538,3.785,100.0
2022-05-05,2022-05-06,2022-05-20,executed,1074,200,0.4,0.0004,0.041685520004568266,0.07435597566135299,-0.030639563992099106,3.97,100.0
2022-05-19,2022-05-20,2022-06-06,executed,1092,200,0.32999999999999996,0.00032999999999999994,0.028446835371185974,0.03895412913518248,-0.010942053629625637,3.81,100.0
2022-06-02,2022-06-06,2022-06-20,executed,1102,200,0.37,0.00037,0.027424607889959596,0.03298649136547405,-0.005719405926391752,3.77,100.0
2022-06-17,2022-06-20,2022-07-04,executed,1127,200,0.355,0.000355,0.014260182027356239,0.02546445303439704,-0.011481111705363367,3.775,100.0
2022-07-01,2022-07-04,2022-07-18,executed,1117,200,0.365,0.000365,-0.03202398116749994,-0.01832640033059363,-0.014236470764523945,3.635,100.0
2022-07-15,2022-07-18,2022-08-01,executed,1106,200,0.4,0.0004,-0.006028075938700139,0.0151516074096949,-0.02112622597569347,3.72,100.0
2022-07-29,2022-08-01,2022-08-15,executed,1129,200,0.41000000000000003,0.00041000000000000005,0.014687500635693018,0.015471007948616444,-0.0012480972027386628,3.77,100.0
2022-08-12,2022-08-15,2022-08-29,executed,1118,200,0.385,0.00038500000000000003,-0.0011120946919775943,-0.026051415061529748,0.02479490230321968,3.795,100.0
2022-08-26,2022-08-29,2022-09-13,executed,1124,200,0.31999999999999995,0.00031999999999999997,0.00988423656817572,-0.01090316473730446,0.020095809635949813,3.78,100.0
2022-09-09,2022-09-13,2022-09-27,executed,1134,200,0.37,0.00037,-0.06142668851577526,-0.06943306357345547,0.008026487083980127,3.805,100.0
2022-09-26,2022-09-27,2022-10-18,executed,1134,200,0.33499999999999996,0.00033499999999999996,0.015296141885241976,0.00983461483421988,0.00444054692676632,3.74,100.0
2022-10-17,2022-10-18,2022-11-01,executed,1113,200,0.39,0.00039000000000000005,-0.028470278460540954,-0.019103597462039157,-0.01005017709410061,3.74,100.0
2022-10-31,2022-11-01,2022-11-15,executed,1102,200,0.30000000000000004,0.00030000000000000003,0.06385599829083555,0.06385714404102472,-0.0002496742647094541,3.74,100.0
2022-11-14,2022-11-15,2022-11-29,executed,1116,200,0.405,0.00040500000000000003,0.01366324833362853,-0.003340289623116055,0.016810497753674047,3.645,100.0
2022-11-28,2022-11-29,2022-12-13,executed,1136,200,0.375,0.000375,0.0042003562699897135,0.008816813448191407,-0.004517611477021011,3.625,100.0
2022-12-12,2022-12-13,2022-12-27,executed,1131,200,0.4,0.0004,-0.03212356746946532,-0.038687720144823357,0.006738499654576069,3.645,100.0
2022-12-26,2022-12-27,2023-01-11,executed,1117,200,0.39,0.00039000000000000005,0.014232365568265681,0.01928574608853495,-0.005171053479863907,3.61,100.0
2023-01-10,2023-01-11,2023-02-01,executed,1134,200,0.39,0.00039000000000000005,0.0652801357481545,0.06041252734621905,0.004529722564966532,3.65,100.0
2023-01-31,2023-02-01,2023-02-15,executed,1131,200,0.375,0.000375,0.016689115579371583,0.015095779858736558,0.0015048512333482034,3.58,100.0
2023-02-14,2023-02-15,2023-03-01,executed,1142,200,0.475,0.000475,0.01495026100086605,-0.0011912652638038645,0.015861469795269034,3.615,100.0
2023-02-28,2023-03-01,2023-03-15,executed,1147,200,0.45499999999999996,0.00045499999999999995,-0.017245821877852285,-0.029972925981014087,0.012940826291824248,3.73,100.0
2023-03-14,2023-03-15,2023-03-29,executed,1148,200,0.41500000000000004,0.00041500000000000006,-0.015900482577063224,0.006944930237121616,-0.022879357472896822,3.725,100.0
