workload_id,thread_count,repeat,candidate_sha256,reference_thread_count,reference_repeat,comparison_kind,tree_topology_identical,leaf_paths_identical,leaf_value_max_abs_difference,leaf_value_mean_abs_difference,leaf_values_exact,prediction_exact,prediction_max_abs_difference,prediction_mean_abs_difference,prediction_rmse,prediction_pearson,prediction_spearman,daily_prediction_rank_agreement_mean,daily_prediction_rank_agreement_min,daily_rank_ic_exact,daily_rank_ic_max_abs_difference,mean_daily_rank_ic_abs_difference,daily_rank_ic_ir_abs_difference,candidate_ordering_identical,selected_candidate_identical,exact_parity,scientific_parity,first_divergence
split_001__strict_current_baseline,1,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,0ab1a8dd0a8de00695a6d2e9f9804bdf21a3414afa0bd89f272070c85a0f5105,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,93d5b6d489a16ea749260d0b1f9f0d3dd70c71b22a5c3d1e06b68cce022f5d20,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,6d156312536eb60f94dff1776a507d36c309c9598887f214818864ac581e0e76,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,6a6a86638a41840a118a5c7bbbc26731a3096329fe1e215b18d61b51a294ab8c,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,4429fff93175d3a832eb9183feedb7d79fc753b9f2a32b7ce9d1ffd9c5a9e069,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,6d67affa96ba06e4122bcdab647aaf3114b5f37b3dab9c33f08f67ae28926aff,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,b19bf127b00dc227f05be9a4592e28e095f964df94379dd7512cf47bd40bdd08,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,1,0,71c032c49747fcb7bc8cf52578c575a745cbe873f83e549cca26c3f60e08da23,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
