stage,execution_class,execution_profile,outer_split_id,policy_id,fold,batch_index,structural_row_id,candidate_sha256,boosting_round,feature_count,train_rows,validation_rows,output_rows,wall_seconds,cpu_seconds,rss_before_mib,rss_after_mib,peak_rss_mib,execution_dtype,thread_count,cache_hit,dataset_identity_sha256,cache_key,input_date_count,cache_status,repeat
feature_loading,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,,,,,,,,2.8299437999994552,2.75,163.74609375,169.0234375,169.0234375,float64,,,,,,,
projection_spool_cache_validation,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,,0.00012179999976069666,0.0,167.00390625,167.00390625,167.00390625,float64,,False,,fac67276ce8f95a67afc9aea2a3f39d995a54225fbcbbf636e2accf5052d8053,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,0.0,,,,,,,80000.0,1.767411599999832,2.25,167.01171875,370.0546875,370.0546875,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,0.0,,,,,,,80000.0,0.1083531000003859,0.140625,370.0546875,305.40234375,370.0546875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,0.0,,,,,,,79756.0,0.302476700000625,0.296875,330.14453125,332.95703125,332.95703125,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,1.0,,,,,,,80000.0,1.7987231999995856,2.09375,332.95703125,426.28125,426.28125,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,1.0,,,,,,,80000.0,0.10905300000013085,0.125,426.28125,429.515625,429.515625,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,1.0,,,,,,,79752.0,0.3030457999993814,0.328125,428.8203125,332.77734375,428.8203125,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,2.0,,,,,,,80000.0,1.9080689000002167,2.4375,332.77734375,438.796875,438.796875,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,2.0,,,,,,,80000.0,0.10715349999918544,0.09375,438.796875,441.8359375,441.8359375,float64,,,,,40.0,,
