datetime,batch_id,factor,rank_ic,cross_section_count
2021-02-01,alpha158_001,alpha158_CNTD10,-0.2606735242150331,1993
2021-02-01,alpha158_001,alpha158_CNTD20,-0.26887538532451966,1993
2021-02-01,alpha158_001,alpha158_CNTD30,-0.364269277107706,1993
2021-02-01,alpha158_001,alpha158_CNTD5,-0.04352819329524805,1993
2021-02-01,alpha158_001,alpha158_CNTD60,-0.3629315836850189,1993
2021-02-01,alpha158_001,alpha158_CNTN10,0.22395929337291082,1993
2021-02-01,alpha158_001,alpha158_CNTN20,0.21105547962016916,1993
2021-02-01,alpha158_001,alpha158_CNTN30,0.28930170157685964,1993
2021-02-01,alpha158_001,alpha158_CNTN60,0.2730844710118341,1993
2021-02-01,alpha158_001,alpha158_CNTP10,-0.28553152304365814,1993
2021-02-01,alpha158_001,alpha158_CNTP20,-0.3136436075008611,1993
2021-02-01,alpha158_001,alpha158_CNTP30,-0.4123196231081329,1993
2021-02-01,alpha158_001,alpha158_CNTP5,-0.06662298290098041,1993
2021-02-01,alpha158_001,alpha158_CNTP60,-0.42596191023313534,1993
2021-02-01,alpha158_001,alpha158_KLEN,-0.1693188435606433,1992
2021-02-01,alpha158_001,alpha158_KLOW,-0.07590945625227101,1992
2021-02-01,alpha158_001,alpha158_KLOW2,0.019601108019396192,1992
2021-02-01,alpha158_001,alpha158_KMID,-0.07153292822192829,1992
2021-02-01,alpha158_001,alpha158_KMID2,-0.04533518455283483,1992
2021-02-01,alpha158_001,alpha158_KSFT,-0.05102570331684198,1992
2021-02-01,alpha158_001,alpha158_KSFT2,-0.023189707974872145,1992
2021-02-01,alpha158_001,alpha158_KUP,-0.10094402760698133,1992
2021-02-01,alpha158_001,alpha158_KUP2,-0.025825257027812982,1992
2021-02-01,alpha158_001,alpha158_SUMD10,-0.27169957349174273,1992
2021-02-01,alpha158_001,alpha158_SUMD20,-0.32526889839355166,1993
2021-02-02,alpha158_001,alpha158_CNTD10,-0.365449717679153,1993
2021-02-02,alpha158_001,alpha158_CNTD20,-0.2723382401677218,1993
2021-02-02,alpha158_001,alpha158_CNTD30,-0.36890560150234925,1993
2021-02-02,alpha158_001,alpha158_CNTD5,-0.19207787172080715,1993
2021-02-02,alpha158_001,alpha158_CNTD60,-0.37357469783121394,1993
2021-02-02,alpha158_001,alpha158_CNTN10,0.33440151896342907,1993
2021-02-02,alpha158_001,alpha158_CNTN20,0.2147580052899911,1993
2021-02-02,alpha158_001,alpha158_CNTN30,0.29709018048951613,1993
2021-02-02,alpha158_001,alpha158_CNTN60,0.29027876164922384,1993
2021-02-02,alpha158_001,alpha158_CNTP10,-0.38514419019398954,1993
2021-02-02,alpha158_001,alpha158_CNTP20,-0.3169948190924159,1993
2021-02-02,alpha158_001,alpha158_CNTP30,-0.4150093370106995,1993
2021-02-02,alpha158_001,alpha158_CNTP5,-0.21108238482964092,1993
2021-02-02,alpha158_001,alpha158_CNTP60,-0.4315461534982323,1993
2021-02-02,alpha158_001,alpha158_KLEN,-0.28593945898732703,1992
2021-02-02,alpha158_001,alpha158_KLOW,-0.21424579707797362,1992
2021-02-02,alpha158_001,alpha158_KLOW2,-0.08223498303930646,1992
2021-02-02,alpha158_001,alpha158_KMID,-0.1962051365644071,1992
2021-02-02,alpha158_001,alpha158_KMID2,-0.19569308993112466,1992
2021-02-02,alpha158_001,alpha158_KSFT,-0.2826473288105083,1992
2021-02-02,alpha158_001,alpha158_KSFT2,-0.2670174697565496,1992
2021-02-02,alpha158_001,alpha158_KUP,0.010557889882119427,1992
2021-02-02,alpha158_001,alpha158_KUP2,0.1590066580507559,1992
2021-02-02,alpha158_001,alpha158_SUMD10,-0.38351757055238106,1993
2021-02-02,alpha158_001,alpha158_SUMD20,-0.3268544531746348,1993
2021-02-03,alpha158_001,alpha158_CNTD10,-0.3309817029683251,1993
2021-02-03,alpha158_001,alpha158_CNTD20,-0.28478726040079505,1993
2021-02-03,alpha158_001,alpha158_CNTD30,-0.3592854362703484,1993
2021-02-03,alpha158_001,alpha158_CNTD5,-0.2342922121351419,1993
2021-02-03,alpha158_001,alpha158_CNTD60,-0.38106713114291396,1993
2021-02-03,alpha158_001,alpha158_CNTN10,0.3009034504755252,1993
