workload_class,workers,threads_per_worker,cpu_threads_reserved,ram_mib_reserved,cpu_budget_valid,ram_budget_valid
broad_data_qualified,1,8,8,10530.397265624999,True,True
broad_data_qualified,1,4,4,10530.397265624999,True,True
broad_data_qualified,1,2,2,10530.397265624999,True,True
broad_data_qualified,1,1,1,10530.397265624999,True,True
current_plus_existing_conditional_signal,1,8,8,2713.631640625,True,True
current_plus_existing_conditional_signal,2,4,8,5427.26328125,True,True
current_plus_existing_conditional_signal,4,2,8,10854.5265625,True,True
current_plus_existing_conditional_signal,3,2,6,8140.894921874999,True,True
current_plus_existing_conditional_signal,1,4,4,2713.631640625,True,True
current_plus_existing_conditional_signal,2,2,4,5427.26328125,True,True
current_plus_existing_conditional_signal,4,1,4,10854.5265625,True,True
current_plus_existing_conditional_signal,3,1,3,8140.894921874999,True,True
current_plus_existing_conditional_signal,1,2,2,2713.631640625,True,True
current_plus_existing_conditional_signal,2,1,2,5427.26328125,True,True
current_plus_existing_conditional_signal,1,1,1,2713.631640625,True,True
strict_current_baseline,1,8,8,1389.748046875,True,True
strict_current_baseline,2,4,8,2779.49609375,True,True
strict_current_baseline,4,2,8,5558.9921875,True,True
strict_current_baseline,8,1,8,11117.984375,True,True
strict_current_baseline,7,1,7,9728.236328125,True,True
strict_current_baseline,3,2,6,4169.244140625,True,True
strict_current_baseline,6,1,6,8338.48828125,True,True
strict_current_baseline,5,1,5,6948.740234375,True,True
strict_current_baseline,1,4,4,1389.748046875,True,True
strict_current_baseline,2,2,4,2779.49609375,True,True
strict_current_baseline,4,1,4,5558.9921875,True,True
strict_current_baseline,3,1,3,4169.244140625,True,True
strict_current_baseline,1,2,2,1389.748046875,True,True
strict_current_baseline,2,1,2,2779.49609375,True,True
strict_current_baseline,1,1,1,1389.748046875,True,True
