system,factor,return_mode,group_dimension,horizon,group_count,mean_group_rank_ic,min_group_rank_ic,min_group,max_group_rank_ic,max_group
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,10D,4,-0.027434413842835625,-0.0520451231382885,outside_major_indices,-0.0055373080767119,csi300
alphalens_reloaded,alpha158_BETA10,benchmark_excess_return,index_segment,20D,4,-0.023482633413893575,-0.0483240442647231,outside_major_indices,-0.0052202031482703,csi500
alphalens_reloaded,alpha158_BETA10,raw_return,index_segment,10D,4,-0.027434413842835625,-0.0520451231382885,outside_major_indices,-0.0055373080767119,csi300
alphalens_reloaded,alpha158_BETA10,raw_return,index_segment,20D,4,-0.023482633413893575,-0.0483240442647231,outside_major_indices,-0.0052202031482703,csi500
alphalens_reloaded,alpha158_BETA20,benchmark_excess_return,index_segment,10D,4,-0.02977645024384075,-0.0585796306830739,outside_major_indices,-0.0106877601436604,csi500
alphalens_reloaded,alpha158_BETA20,benchmark_excess_return,index_segment,20D,4,-0.0440627974896787,-0.0668519171289807,outside_major_indices,-0.0243506695347892,csi500
alphalens_reloaded,alpha158_BETA20,raw_return,index_segment,10D,4,-0.02977645024384075,-0.0585796306830739,outside_major_indices,-0.0106877601436604,csi500
alphalens_reloaded,alpha158_BETA20,raw_return,index_segment,20D,4,-0.0440627974896787,-0.0668519171289807,outside_major_indices,-0.0243506695347892,csi500
alphalens_reloaded,alpha158_BETA30,benchmark_excess_return,index_segment,10D,4,-0.044376875709173355,-0.0660809776268611,outside_major_indices,-0.028817876854279,csi500
alphalens_reloaded,alpha158_BETA30,benchmark_excess_return,index_segment,20D,4,-0.06305838790779447,-0.0771947959162976,outside_major_indices,-0.049578307609718,csi500
alphalens_reloaded,alpha158_BETA30,raw_return,index_segment,10D,4,-0.044376875709173355,-0.0660809776268611,outside_major_indices,-0.028817876854279,csi500
alphalens_reloaded,alpha158_BETA30,raw_return,index_segment,20D,4,-0.06305838790779447,-0.0771947959162976,outside_major_indices,-0.049578307609718,csi500
alphalens_reloaded,alpha158_BETA5,benchmark_excess_return,index_segment,10D,4,-0.01617134332835605,-0.0373895211538371,outside_major_indices,0.00401546447694,csi300
alphalens_reloaded,alpha158_BETA5,benchmark_excess_return,index_segment,20D,4,-0.013081579867318102,-0.0322816902873003,outside_major_indices,-0.0002943278402002,csi300
alphalens_reloaded,alpha158_BETA5,raw_return,index_segment,10D,4,-0.01617134332835605,-0.0373895211538371,outside_major_indices,0.00401546447694,csi300
alphalens_reloaded,alpha158_BETA5,raw_return,index_segment,20D,4,-0.013081579867318102,-0.0322816902873003,outside_major_indices,-0.0002943278402002,csi300
alphalens_reloaded,alpha158_BETA60,benchmark_excess_return,index_segment,10D,4,-0.05304183113196795,-0.0660735049365436,outside_major_indices,-0.0443617047105111,csi300
alphalens_reloaded,alpha158_BETA60,benchmark_excess_return,index_segment,20D,4,-0.06749852198197434,-0.0798021406767915,outside_major_indices,-0.0521049633560282,csi300
alphalens_reloaded,alpha158_BETA60,raw_return,index_segment,10D,4,-0.05304183113196795,-0.0660735049365436,outside_major_indices,-0.0443617047105111,csi300
alphalens_reloaded,alpha158_BETA60,raw_return,index_segment,20D,4,-0.06749852198197434,-0.0798021406767915,outside_major_indices,-0.0521049633560282,csi300
alphalens_reloaded,alpha158_CNTD10,benchmark_excess_return,index_segment,10D,4,-0.012222931426330751,-0.0287258274710745,outside_major_indices,0.001788912080867,csi500
alphalens_reloaded,alpha158_CNTD10,benchmark_excess_return,index_segment,20D,4,-0.009088944270256374,-0.0272512472510911,outside_major_indices,0.0044429726012145,csi500
alphalens_reloaded,alpha158_CNTD10,raw_return,index_segment,10D,4,-0.012222931426330751,-0.0287258274710745,outside_major_indices,0.001788912080867,csi500
alphalens_reloaded,alpha158_CNTD10,raw_return,index_segment,20D,4,-0.009088944270256374,-0.0272512472510911,outside_major_indices,0.0044429726012145,csi500
alphalens_reloaded,alpha158_CNTD20,benchmark_excess_return,index_segment,10D,4,-0.011504736954002476,-0.0330456867764436,outside_major_indices,0.0028463050931551,csi500
alphalens_reloaded,alpha158_CNTD20,benchmark_excess_return,index_segment,20D,4,-0.017777301117688174,-0.0357245382686569,outside_major_indices,-0.006171595005083,csi300
alphalens_reloaded,alpha158_CNTD20,raw_return,index_segment,10D,4,-0.011504736954002476,-0.0330456867764436,outside_major_indices,0.0028463050931551,csi500
alphalens_reloaded,alpha158_CNTD20,raw_return,index_segment,20D,4,-0.017777301117688174,-0.0357245382686569,outside_major_indices,-0.006171595005083,csi300
alphalens_reloaded,alpha158_CNTD30,benchmark_excess_return,index_segment,10D,4,-0.0206116056899166,-0.0361210246876517,outside_major_indices,-0.0060928556642324,csi300
alphalens_reloaded,alpha158_CNTD30,benchmark_excess_return,index_segment,20D,4,-0.033139886805741876,-0.0413684805981209,outside_major_indices,-0.0187320227932945,csi300
alphalens_reloaded,alpha158_CNTD30,raw_return,index_segment,10D,4,-0.0206116056899166,-0.0361210246876517,outside_major_indices,-0.0060928556642324,csi300
alphalens_reloaded,alpha158_CNTD30,raw_return,index_segment,20D,4,-0.033139886805741876,-0.0413684805981209,outside_major_indices,-0.0187320227932945,csi300
alphalens_reloaded,alpha158_CNTD5,benchmark_excess_return,index_segment,10D,4,-0.01083784556021095,-0.0252679533124831,outside_major_indices,0.0014943312636374,csi500
