factor_a,factor_b,mean_daily_spearman_corr,abs_mean_daily_spearman_corr,date_count
alpha158_MA60,alpha158_RANK60,-0.9041115308182336,0.9041115308182336,120
alpha158_RANK30,alpha158_RSV30,0.902437103022605,0.902437103022605,120
alpha158_MA20,alpha158_QTLU30,0.9001711970898221,0.9001711970898221,120
alpha158_MA60,alpha158_RSV60,-0.8995408069948873,0.8995408069948873,120
alpha158_RANK20,alpha158_RSV20,0.8979757125536431,0.8979757125536431,120
alpha158_ROC5,alpha158_MA10,0.8957187726010323,0.8957187726010323,120
alpha158_QTLD60,alpha158_RANK60,-0.8939642935002232,0.8939642935002232,120
alpha158_ROC5,alpha158_SUMD5,-0.8930993148405739,0.8930993148405739,120
alpha158_ROC5,alpha158_SUMN5,0.893078298430006,0.893078298430006,120
alpha158_ROC5,alpha158_SUMP5,-0.8930554333273097,0.8930554333273097,120
alpha158_MA30,alpha158_RSV30,-0.8876536036589207,0.8876536036589207,120
alpha158_MA30,alpha158_RANK30,-0.8874579418379943,0.8874579418379943,120
alpha158_ROC30,alpha158_MA60,0.885423010769704,0.885423010769704,120
alpha158_KSFT,alpha158_KSFT2,0.8848435857701872,0.8848435857701872,120
alpha158_ROC10,alpha158_MA20,0.884398746574845,0.884398746574845,120
alpha158_ROC30,alpha158_BETA30,-0.882013068624142,0.882013068624142,120
alpha158_MA20,alpha158_RSV20,-0.8814365214617201,0.8814365214617201,120
alpha158_MAX20,alpha158_MAX30,0.8806665627770739,0.8806665627770739,120
alpha158_ROC20,alpha158_BETA20,-0.8801877668225853,0.8801877668225853,120
alpha158_MA20,alpha158_RANK20,-0.8795788818763751,0.8795788818763751,120
alpha158_MA30,alpha158_SUMP20,-0.8778298275434051,0.8778298275434051,120
alpha158_MA30,alpha158_SUMD20,-0.8778294501295407,0.8778294501295407,120
alpha158_MA30,alpha158_SUMN20,0.8778041093679689,0.8778041093679689,120
alpha158_RANK10,alpha158_RSV10,0.8746796968077847,0.8746796968077847,120
alpha158_ROC10,alpha158_BETA10,-0.8741224174829711,0.8741224174829711,120
