system,factor,turnover_window,turnover_mean,turnover_median,turnover_count,source_file
alphalens_reloaded,alpha158_BETA10,top_1D,0.23451835594776246,0.2334801762114537,573,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_001/alphalens_reloaded/alpha158_BETA10/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA10,top_5D,0.5100136057322271,0.5133939248983497,406,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_001/alphalens_reloaded/alpha158_BETA10/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA20,top_1D,0.1543291908039436,0.1524663677130044,573,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_002/alphalens_reloaded/alpha158_BETA20/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA20,top_5D,0.3160933432180747,0.31707245122718686,406,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_002/alphalens_reloaded/alpha158_BETA20/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA30,top_1D,0.12624710974596498,0.1233480176211453,573,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_002/alphalens_reloaded/alpha158_BETA30/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA30,top_5D,0.24197497992237024,0.2391304347826087,406,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_002/alphalens_reloaded/alpha158_BETA30/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA5,top_1D,0.39367589385476237,0.3930131004366812,573,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_001/alphalens_reloaded/alpha158_BETA5/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA5,top_5D,0.7748036226995964,0.7828972681800692,406,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_001/alphalens_reloaded/alpha158_BETA5/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA60,top_1D,0.10061512401594488,0.0973451327433628,573,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_002/alphalens_reloaded/alpha158_BETA60/quantile_turnover.csv
alphalens_reloaded,alpha158_BETA60,top_5D,0.16740472290946515,0.1652173913043478,406,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha158_remaining138/runs/batch_002/alphalens_reloaded/alpha158_BETA60/quantile_turnover.csv
