outer_split_id,method,importance_type,factor,feature_order,importance,selection_authority
split_002,lightgbm,gain,alpha158_CNTP10,0,0.0,diagnostic_only
split_002,lightgbm,gain,alpha158_CNTP5,1,0.011910779983736575,diagnostic_only
split_002,lightgbm,gain,alpha158_CORD10,2,0.019432189874351025,diagnostic_only
split_002,lightgbm,gain,alpha158_CORD20,3,0.07259297469863668,diagnostic_only
split_002,lightgbm,gain,alpha158_CORD5,4,0.0,diagnostic_only
split_002,lightgbm,gain,alpha158_CORR5,5,0.012210645829327404,diagnostic_only
split_002,lightgbm,gain,alpha158_HIGH0,6,0.027163270162418485,diagnostic_only
split_002,lightgbm,gain,alpha158_IMAX10,7,0.11305352975614369,diagnostic_only
split_002,lightgbm,gain,alpha158_IMAX20,8,0.30841160961426795,diagnostic_only
split_002,lightgbm,gain,alpha158_IMAX60,9,0.19790629053022712,diagnostic_only
split_002,lightgbm,gain,alpha158_IMIN5,10,0.007295610150322318,diagnostic_only
split_002,lightgbm,gain,alpha158_KLEN,11,6.095687311375514,diagnostic_only
split_002,lightgbm,gain,alpha158_KLOW,12,0.16142127895727754,diagnostic_only
split_002,lightgbm,gain,alpha158_KUP,13,0.05949323903769255,diagnostic_only
split_002,lightgbm,gain,alpha158_LOW0,14,0.009143159724771976,diagnostic_only
split_002,lightgbm,gain,alpha158_MIN10,15,0.7237985989195295,diagnostic_only
split_002,lightgbm,gain,alpha158_STD10,16,1.2966016432037577,diagnostic_only
split_002,lightgbm,gain,alpha158_VMA60,17,0.10172770568169653,diagnostic_only
split_002,lightgbm,gain,alpha158_VSTD5,18,0.0024438900873064995,diagnostic_only
split_002,lightgbm,gain,alpha158_VSUMD20,19,0.046988000394776464,diagnostic_only
split_002,lightgbm,gain,alpha158_VSUMD60,20,0.21411245735362172,diagnostic_only
split_002,lightgbm,gain,alpha360_HIGH34,21,5.119483593152836,diagnostic_only
split_002,lightgbm,gain,alpha360_LOW1,22,0.10496783750568284,diagnostic_only
split_002,lightgbm,gain,amount_cv_20,23,0.3767046129796654,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha002,24,0.0,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha011,25,0.9644115995615721,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha012,26,0.0,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha013,27,0.016999803890939802,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha020,28,0.016562180127948523,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha026,29,0.005773570796009153,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha029,30,0.0,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha034,31,0.0,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha050,32,0.008816132263746113,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha055,33,0.0,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha062,34,0.0,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha077,35,0.28450128133408725,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha083,36,6.053828410804272,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha085,37,0.005753558245487511,diagnostic_only
split_002,lightgbm,gain,kunquant_alpha101_alpha094,38,0.3059176290407777,diagnostic_only
split_002,lightgbm,gain,ta_momentum_ao,39,0.9498883131891489,diagnostic_only
split_002,lightgbm,gain,ta_trend_dpo,40,0.0,diagnostic_only
split_002,lightgbm,gain,ta_volatility_atr,41,0.48111126451112796,diagnostic_only
split_002,lightgbm,gain,ta_volatility_bbhi,42,0.0013037200551480055,diagnostic_only
split_002,lightgbm,gain,ta_volume_cmf,43,0.11981486325385049,diagnostic_only
split_002,lightgbm,gain,ta_volume_em,44,0.03965904959477484,diagnostic_only
