outer_split_id,method,model_binary_sha256,model_config_sha256,training_data_sha256,validation_search_sha256,fit_row_count,runtime_path
split_002,lightgbm,a712f4b17af078c637dccda6e0ab196944c4df358f67403de5c2c11c484054e9,ccb6ad87835f6ecbb1dadb5a3f79305d19eaabb68a7356940d9e1ebdcf9762ce,3db5a32f7f837296947d58c8998707ac664d2b10cff8fc7d0f3010a4b5e7d8a7,64e43f5e6b7d3f802b3a1f683e30345caa9f5b48686a4d61c990f80da1d9c057,1765345,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/runtime/remaining/models/split_002_lightgbm.txt
split_003,lightgbm,3511311115b47e2fb474480c473adc87dd68fcf2ff7c792eadfc409229eaa32b,5d9c2ada5a545096ed83ac9a07f316435d30871bcc5af950cf0a3cc5d51aceac,a512c2275fe1af7be6e979e6c0a47bb2735a3c696baf585df59418ba5deb1e61,5aa294cbd2f717857de0fae46dcbe9e1583ec7c3b36e5b8df3f641057c208d80,2012070,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/runtime/remaining/models/split_003_lightgbm.txt
