factor,issue_tags,main_net_excess_ir,main_net_annualized_excess,main_average_turnover,main_net_max_drawdown,main_rank,issue_tags_recent,recent_net_excess_ir,recent_net_annualized_excess,recent_average_turnover,recent_net_max_drawdown,recent_rank,rank_change,net_excess_ir_delta,turnover_delta,stability_label
alpha158_QTLD60,,0.6924070236468437,0.079824212806528,0.8217142857142856,-0.3138434995413461,3.0,,0.1449458501576078,0.0103751501898889,0.7942857142857144,-0.1625601425882841,4.0,1.0,-0.5474611734892358,-0.027428571428571247,main_only
alpha158_QTLD30,,0.5599051436506898,0.0613479119509006,0.9128571428571428,-0.3451096562619838,4.0,,0.0264214039221481,-0.004182870243125,0.8853571428571428,-0.1656024851039019,6.0,2.0,-0.5334837397285417,-0.02749999999999997,main_only
alpha158_VSUMN60,low_monotonicity,0.2428340043202201,0.0152049181255951,0.8551428571428571,-0.2971840393487076,10.0,low_monotonicity,0.8145528116494104,0.0642157627690571,0.8446428571428571,-0.2019308002697973,1.0,-9.0,0.5717188073291903,-0.010499999999999954,oos_improved
alpha158_ROC60,,0.7046255182290831,0.0878294519352824,0.6611428571428571,-0.3207861608238441,2.0,,0.4627439898377146,0.0520476530560904,0.6903571428571429,-0.2303309623068303,2.0,0.0,-0.24188152839136856,0.029214285714285748,positive_but_weaker_oos
alpha158_ROC30,,0.8039852593361585,0.0975746362995821,0.8105714285714286,-0.2866523855344677,1.0,,0.3152087572573653,0.0319044969581259,0.8496428571428573,-0.1875363595191321,3.0,2.0,-0.4887765020787932,0.039071428571428646,positive_but_weaker_oos
alpha158_ROC10,low_monotonicity,0.2786007848657076,0.0255221334215178,0.9162857142857144,-0.3468459519477466,8.0,low_monotonicity,0.0736164744962245,0.0012533256606344,0.9257142857142856,-0.2247664412761639,5.0,-3.0,-0.2049843103694831,0.00942857142857123,positive_but_weaker_oos
alpha158_IMIN30,,0.4054278897425384,0.0369813488607368,0.9088571428571428,-0.3030263083959852,5.0,,-0.064103327465174,-0.0095027257795019,0.8971428571428571,-0.1712489169291888,7.0,2.0,-0.4695312172077124,-0.011714285714285677,weak_or_negative_oos
alpha158_QTLD10,low_monotonicity,0.3664564578288222,0.0354649333228198,0.9374285714285712,-0.3623556382217278,6.0,low_monotonicity,-0.3674973053239698,-0.0480510612780138,0.924642857142857,-0.1754560257042338,8.0,2.0,-0.7339537631527919,-0.012785714285714178,weak_or_negative_oos
alpha158_IMIN20,,0.3600847689283787,0.0317211455765822,0.9225714285714286,-0.308317589054968,7.0,,-0.3806164853568721,-0.0367846138037042,0.9114285714285714,-0.1464263099914196,9.0,2.0,-0.7407012542852508,-0.011142857142857232,weak_or_negative_oos
alpha158_IMIN60,,0.133663398944172,0.0084259213157238,0.8385714285714286,-0.3090388704821286,13.0,,-0.4100036021043651,-0.0488522736765454,0.7967857142857142,-0.254671907631766,10.0,-3.0,-0.5436670010485372,-0.041785714285714426,weak_or_negative_oos
alpha158_MIN30,,0.2656961693633095,0.0232207746463672,0.8777142857142858,-0.328784017006248,9.0,,-0.623537806980015,-0.0811568634012138,0.8171428571428571,-0.1307681864515432,11.0,2.0,-0.8892339763433246,-0.06057142857142872,weak_or_negative_oos
alpha158_MIN60,,0.2190977726993658,0.018145664938816,0.7994285714285715,-0.3077514972356265,11.0,,-0.6417844740569765,-0.0894766059430991,0.7082142857142858,-0.1414708438584052,12.0,1.0,-0.8608822467563423,-0.09121428571428569,weak_or_negative_oos
alpha158_MIN10,,0.1577925247584401,0.0106843714425222,0.9037142857142858,-0.3539781280734444,12.0,,-0.6807422279260418,-0.0796893989969833,0.8746428571428572,-0.1474622633192873,13.0,1.0,-0.8385347526844819,-0.029071428571428637,weak_or_negative_oos
alpha158_MIN5,low_monotonicity,-0.0045754987869891,-0.0045215293501043,0.9022857142857142,-0.3446274176703375,14.0,low_monotonicity,-0.8403508853655672,-0.0926070696002137,0.8732142857142857,-0.1539419817532441,14.0,0.0,-0.8357753865785781,-0.029071428571428526,weak_or_negative_oos
