topk,net_excess_ir_main,net_annualized_excess_main,average_turnover_main,net_max_drawdown_main,net_excess_ir_recent,net_annualized_excess_recent,average_turnover_recent,net_max_drawdown_recent,net_excess_ir_delta,net_annualized_excess_delta,average_turnover_delta,net_max_drawdown_delta
50,0.6763520022963794,0.0863894597288479,0.8897142857142857,-0.319957207020538,0.0815974678619522,0.0013392943085137,0.8600000000000001,-0.1505707627195486,-0.5947545344344272,-0.0850501654203342,-0.029714285714285582,0.16938644430098937
100,0.5528426168565775,0.0606323322004156,0.8248571428571427,-0.3217083688014904,0.2212949409081279,0.0198042775886184,0.7992857142857144,-0.153772042278617,-0.33154767594844964,-0.0408280546117972,-0.025571428571428356,0.1679363265228734
200,0.4056099402858087,0.0359019980335111,0.7157142857142857,-0.3207192972424418,-0.113919213239081,-0.0164444110743756,0.6957142857142857,-0.1599035689215587,-0.5195291535248897,-0.052346409107886696,-0.020000000000000018,0.16081572832088312
