trading_day_count_old_superseded,accounting_day_count_old_superseded,order_count_old_superseded,fill_count_old_superseded,partial_count_old_superseded,rejected_count_old_superseded,ending_nav_old_superseded,total_cash_fee_old_superseded,total_slippage_cost_old_superseded,outer_split_id,method,trading_day_count_new_corrected,accounting_day_count_new_corrected,order_count_new_corrected,fill_count_new_corrected,partial_count_new_corrected,rejected_count_new_corrected,ending_nav_new_corrected,total_cash_fee_new_corrected,total_slippage_cost_new_corrected,ending_nav_delta,total_cash_fee_delta,total_slippage_cost_delta,order_count_delta,fill_count_delta,partial_count_delta,rejected_count_delta
119,119,10750,10234,7711,516,11515402.581916207,420947.3715450553,743820.374047701,split_001,equal_weight,119,119,8795,7804,4505,991,11260998.851585416,685483.7418932727,1215086.0883444897,-254403.73033079132,264536.37034821743,471265.7142967887,-1955,-2430,-3206,475
119,119,10739,10197,7680,542,11535710.456010789,417228.5517475876,736987.3571043219,split_001,stability_weight,119,119,8754,7751,4478,1003,11331254.811011324,679017.2505145055,1203318.8643117975,-204455.64499946497,261788.69876691792,466331.5072074756,-1985,-2446,-3202,461
123,123,11359,10709,7883,650,9923982.951738184,453522.25678773166,802955.6478287275,split_002,equal_weight,123,123,9227,8040,4533,1187,9707146.820900239,659647.9908379304,1169798.0325299012,-216836.13083794527,206125.7340501987,366842.38470117375,-2132,-2669,-3350,537
123,123,11277,10584,7739,693,9820158.530671624,458393.8118431603,811940.2351212593,split_002,stability_weight,123,123,9266,8028,4550,1238,9629391.364041185,654587.2062899745,1160993.4328217255,-190767.16663043946,196193.3944468142,349053.19770046615,-2011,-2556,-3189,545
123,123,10834,10045,7615,789,10052608.166802589,423359.3051239688,747654.3735390571,split_003,equal_weight,123,123,8809,7420,4473,1389,9841521.059535248,574004.2747453473,1014483.8227065166,-211087.10726734065,150644.96962137852,266829.4491674595,-2025,-2625,-3142,600
123,123,10642,9837,7413,805,9911249.271680793,424222.0694876432,749017.5538581577,split_003,stability_weight,123,123,8751,7420,4521,1331,9645656.928103672,566534.0720458591,1000838.8626854571,-265592.34357712045,142312.00255821587,251821.3088272994,-1891,-2417,-2892,526
