outer_split_id,factor,condition,bucket,mean_rank_ic,rank_icir,positive_ic_ratio,valid_days
split_001,alpha158_BETA10,liquidity_proxy,q1,-0.07607868447557435,-0.48062204046760865,0.275,120
split_001,alpha158_BETA10,liquidity_proxy,q2,-0.07008218931206193,-0.43977604386863556,0.3,120
split_001,alpha158_BETA10,liquidity_proxy,q3,-0.08151730434051616,-0.48977037851565963,0.25833333333333336,120
split_001,alpha158_BETA5,liquidity_proxy,q1,-0.0765933990690075,-0.49692126244897616,0.3,120
split_001,alpha158_BETA5,liquidity_proxy,q2,-0.0694208666788432,-0.45171821724173294,0.26666666666666666,120
split_001,alpha158_BETA5,liquidity_proxy,q3,-0.07546140870827568,-0.47787736370567324,0.25,120
split_001,alpha158_CNTD30,liquidity_proxy,q1,0.009540510093524614,0.09512005401847527,0.6333333333333333,120
split_001,alpha158_CNTD30,liquidity_proxy,q2,-0.03297421820996239,-0.26065912941759917,0.4,120
split_001,alpha158_CNTD30,liquidity_proxy,q3,-0.08918095972142691,-0.8055187694344734,0.225,120
split_001,alpha158_CNTP60,liquidity_proxy,q1,0.03605206487433139,0.2920516774963004,0.725,120
split_001,alpha158_CNTP60,liquidity_proxy,q2,-0.0068257420285356835,-0.04013380530685464,0.575,120
split_001,alpha158_CNTP60,liquidity_proxy,q3,-0.0759052607471611,-0.479745975423177,0.2916666666666667,120
split_001,alpha158_CORD10,liquidity_proxy,q1,-0.04703083729081814,-0.4978781415330666,0.35833333333333334,120
split_001,alpha158_CORD10,liquidity_proxy,q2,0.010878781019968588,0.08778008440675589,0.5166666666666667,120
split_001,alpha158_CORD10,liquidity_proxy,q3,0.022728824538650085,0.15077013465486486,0.5,120
split_001,alpha158_CORD20,liquidity_proxy,q1,-0.04234006637687293,-0.4613861600512931,0.35833333333333334,120
split_001,alpha158_CORD20,liquidity_proxy,q2,0.03647353703939619,0.2877873095437498,0.6083333333333333,120
split_001,alpha158_CORD20,liquidity_proxy,q3,0.05850454949809479,0.35702346548814007,0.6166666666666667,120
split_001,alpha158_CORD5,liquidity_proxy,q1,-0.03901414861216496,-0.4077559726176856,0.35,120
split_001,alpha158_CORD5,liquidity_proxy,q2,-8.57248690975046e-05,-0.0007522236927614437,0.43333333333333335,120
split_001,alpha158_CORD5,liquidity_proxy,q3,0.015164576885038701,0.11543640785829924,0.5,120
split_001,alpha158_CORD60,liquidity_proxy,q1,0.024095631640755344,0.22825318363796612,0.675,120
split_001,alpha158_CORD60,liquidity_proxy,q2,0.07918500563847569,0.5306093945627262,0.6416666666666667,120
split_001,alpha158_CORD60,liquidity_proxy,q3,0.11469316560607032,0.6157389611020038,0.6583333333333333,120
split_001,alpha158_CORR10,liquidity_proxy,q1,-0.03440347941172617,-0.3393365029606496,0.35833333333333334,120
split_001,alpha158_CORR10,liquidity_proxy,q2,0.02468939832706996,0.18247094967436273,0.5833333333333334,120
split_001,alpha158_CORR10,liquidity_proxy,q3,0.03289582646781448,0.19015605755705325,0.5666666666666667,120
split_001,alpha158_CORR20,liquidity_proxy,q1,-0.008686690375065195,-0.07745114119823729,0.4666666666666667,120
split_001,alpha158_CORR20,liquidity_proxy,q2,0.06621918488836163,0.4321517340197096,0.6833333333333333,120
split_001,alpha158_CORR20,liquidity_proxy,q3,0.07012000946155315,0.4030010769499563,0.6416666666666667,120
split_001,alpha158_CORR5,liquidity_proxy,q1,-0.03825810296965169,-0.4446868576763987,0.325,120
split_001,alpha158_CORR5,liquidity_proxy,q2,0.009678941238218905,0.08725486413029082,0.49166666666666664,120
split_001,alpha158_CORR5,liquidity_proxy,q3,0.02393690239428002,0.17154812184253768,0.5333333333333333,120
split_001,alpha158_HIGH0,liquidity_proxy,q1,0.034084299976377914,0.19717846171634737,0.5333333333333333,120
split_001,alpha158_HIGH0,liquidity_proxy,q2,0.02752262741218155,0.16192792685814222,0.525,120
split_001,alpha158_HIGH0,liquidity_proxy,q3,0.018947318589003004,0.09922265125110893,0.4583333333333333,120
split_001,alpha158_IMIN20,liquidity_proxy,q1,0.0308755724774569,0.2886810303043935,0.5916666666666667,120
split_001,alpha158_IMIN20,liquidity_proxy,q2,0.029529145144293324,0.28248871573455736,0.5583333333333333,120
split_001,alpha158_IMIN20,liquidity_proxy,q3,0.038743407344241705,0.3467420037118485,0.6333333333333333,120
split_001,alpha158_KLEN,liquidity_proxy,q1,0.02924602702652234,0.1427951310102471,0.5833333333333334,120
split_001,alpha158_KLEN,liquidity_proxy,q2,0.019109874004382573,0.09202535728672365,0.5583333333333333,120
split_001,alpha158_KLEN,liquidity_proxy,q3,-0.01240863006453018,-0.0530581449425735,0.475,120
split_001,alpha158_KLOW,liquidity_proxy,q1,0.006753924388404617,0.05139579383569229,0.5,120
split_001,alpha158_KLOW,liquidity_proxy,q2,-0.0065098521249674175,-0.04609971593060983,0.44166666666666665,120
split_001,alpha158_KLOW,liquidity_proxy,q3,-0.022246804698292454,-0.14937098010339386,0.35833333333333334,120
split_001,alpha158_KMID,liquidity_proxy,q1,-0.04329435545741921,-0.25709342782263,0.44166666666666665,120
split_001,alpha158_KMID,liquidity_proxy,q2,-0.0363154682622763,-0.2135483549706691,0.39166666666666666,120
split_001,alpha158_KMID,liquidity_proxy,q3,-0.03951140887099241,-0.2325107399231781,0.425,120
split_001,alpha158_KUP,liquidity_proxy,q1,-0.005450351060352587,-0.044426850093065684,0.4666666666666667,120
split_001,alpha158_KUP,liquidity_proxy,q2,-0.0005722589437479451,-0.004325733922526613,0.475,120
split_001,alpha158_KUP,liquidity_proxy,q3,-0.0018771217150638463,-0.012234283619700496,0.43333333333333335,120
split_001,alpha158_LOW0,liquidity_proxy,q1,0.010281852510966557,0.06560499248128016,0.5583333333333333,120
split_001,alpha158_LOW0,liquidity_proxy,q2,0.01795258474112826,0.11116640644938838,0.625,120
split_001,alpha158_LOW0,liquidity_proxy,q3,0.03833827104153534,0.22041938831910696,0.6666666666666666,120
split_001,alpha158_MAX5,liquidity_proxy,q1,0.06467355148048276,0.37353142056509037,0.6416666666666667,120
split_001,alpha158_MAX5,liquidity_proxy,q2,0.05643056989631914,0.33170172774965473,0.6083333333333333,120
split_001,alpha158_MAX5,liquidity_proxy,q3,0.04690460131613215,0.23858095928321887,0.55,120
split_001,alpha158_MIN10,liquidity_proxy,q1,0.020001509118201845,0.11216883706668784,0.5166666666666667,120
split_001,alpha158_MIN10,liquidity_proxy,q2,0.02061572903456648,0.10897770445981589,0.575,120
split_001,alpha158_MIN10,liquidity_proxy,q3,0.060789725728849726,0.3064917418833717,0.6583333333333333,120
split_001,alpha158_QTLD60,liquidity_proxy,q1,0.11614774508970714,0.6911553355891693,0.7333333333333333,120
split_001,alpha158_QTLD60,liquidity_proxy,q2,0.08433083487476417,0.51390725450653,0.7,120
split_001,alpha158_QTLD60,liquidity_proxy,q3,0.0899984515676275,0.4381824021461087,0.6583333333333333,120
split_001,alpha158_RSQR30,liquidity_proxy,q1,0.03855040116406632,0.43007374214651295,0.675,120
split_001,alpha158_RSQR30,liquidity_proxy,q2,0.0033661313522238834,0.0412242847630492,0.5416666666666666,120
split_001,alpha158_RSQR30,liquidity_proxy,q3,-0.0472443058871072,-0.4918776972022828,0.31666666666666665,120
split_001,alpha158_VMA30,liquidity_proxy,q1,0.0634079848729489,0.6852509424132863,0.775,120
split_001,alpha158_VMA30,liquidity_proxy,q2,0.07184215609937894,0.7501573728448847,0.8083333333333333,120
split_001,alpha158_VMA30,liquidity_proxy,q3,0.075627097250056,0.718610705260338,0.7916666666666666,120
split_001,alpha158_VMA60,liquidity_proxy,q1,0.07919802543621633,0.8366800436317081,0.8333333333333334,120
split_001,alpha158_VMA60,liquidity_proxy,q2,0.0748859676577669,0.807497697659154,0.8416666666666667,120
split_001,alpha158_VMA60,liquidity_proxy,q3,0.06529750656157515,0.6826599066826685,0.775,120
split_001,alpha158_VSUMD60,liquidity_proxy,q1,-0.04533959864409456,-0.5424179702563715,0.2916666666666667,120
split_001,alpha158_VSUMD60,liquidity_proxy,q2,-0.034064069174281106,-0.3800295477980295,0.31666666666666665,120
split_001,alpha158_VSUMD60,liquidity_proxy,q3,-0.038433273589744944,-0.36059030912070045,0.35833333333333334,120
split_001,alpha360_LOW1,liquidity_proxy,q1,0.04575415157407252,0.2742222741395942,0.5916666666666667,120
split_001,alpha360_LOW1,liquidity_proxy,q2,0.04362509429551905,0.25772701039700735,0.6333333333333333,120
split_001,alpha360_LOW1,liquidity_proxy,q3,0.06280378641578771,0.3585460755840881,0.6833333333333333,120
