outer_split_id,horizon,mean_rank_ic,rank_icir,positive_ic_ratio,valid_days,top10_mean_return,top10_excess_return
split_001,1,0.05308623284023046,0.31514145644914676,0.675,120,0.0023771817795932293,-5.738064646720886e-05
split_001,5,0.07321564475351204,0.45630701791085304,0.6666666666666666,120,0.01232850831001997,-0.0018824643921107054
split_001,10,0.07378679856929299,0.4534762470497654,0.6,120,0.027508119121193886,-0.001970726763829589
split_001,20,0.07778251120600295,0.48670274432298255,0.6583333333333333,120,0.06638054549694061,0.0014245560159906745
split_002,1,0.08029895565255221,0.483294046436664,0.717741935483871,124,0.0020565285813063383,0.0007910110289230943
split_002,5,0.12114619928537888,0.7450550651276342,0.7903225806451613,124,0.007093445397913456,0.0016814774135127664
split_002,10,0.13505314961473586,0.7764204378941688,0.7903225806451613,124,0.014123092405498028,0.0028294059447944164
split_002,20,0.1432237436609923,0.738106848538767,0.75,124,0.027858898043632507,0.002502155490219593
split_003,1,0.04780823021300739,0.23097780031839915,0.5967741935483871,124,0.00020737989689223468,-0.0012880385620519519
split_003,5,0.049885345466638586,0.2613236709678449,0.5806451612903226,124,0.00416332995519042,-0.0038751084357500076
split_003,10,0.05169745551899628,0.27900386105039976,0.5645161290322581,124,0.00669610220938921,-0.008862479589879513
split_003,20,0.05180160483930414,0.3171756939104618,0.6048387096774194,124,0.014386091381311417,-0.010924482718110085
