outer_split_id,rank_bucket,mean_forward_return_20d,mean_excess_return_20d,valid_days,mean_names
split_001,rank_001_010,0.06638054549694061,0.0014245560159906745,120,10.0
split_001,rank_011_020,0.067299485206604,0.0023434993345290422,120,10.0
split_001,rank_021_030,0.06510152667760849,0.00014554137305822223,120,10.0
split_001,rank_031_050,0.06974976509809494,0.004793776199221611,120,20.0
split_001,rank_051_100,0.06848899275064468,0.0035330024547874928,120,50.0
split_001,rank_101_200,0.06797095388174057,0.0030149624217301607,120,100.0
split_001,rank_201_plus,0.06461493670940399,-0.0003410470380913466,120,1799.85
split_002,rank_001_010,0.027858898043632507,0.002502155490219593,124,10.0
split_002,rank_011_020,0.029449068009853363,0.004092332907021046,124,10.0
split_002,rank_021_030,0.030954167246818542,0.005597428884357214,124,10.0
split_002,rank_031_050,0.03149819001555443,0.006141452118754387,124,20.0
split_002,rank_051_100,0.03213762119412422,0.006780880503356457,124,50.0
split_002,rank_101_200,0.032198868691921234,0.006842129398137331,124,100.0
split_002,rank_201_plus,0.024649817496538162,-0.0007069233688525856,124,1799.4516129032259
split_003,rank_001_010,0.014386091381311417,-0.010924482718110085,124,10.0
split_003,rank_011_020,0.010274791158735752,-0.015035782009363174,124,10.0
split_003,rank_021_030,0.012008961290121078,-0.013301610015332699,124,10.0
split_003,rank_031_050,0.010558366775512695,-0.014752202667295933,124,20.0
split_003,rank_051_100,0.01518396008759737,-0.010126611217856407,124,50.0
split_003,rank_101_200,0.015934841707348824,-0.009375729598104954,124,100.0
split_003,rank_201_plus,0.02649940736591816,0.0011888360604643822,124,1799.741935483871
