outer_split_id,factor,importance_type,importance,importance_std
split_001,alpha158_BETA10,gain,0.4763595034519312,
split_001,alpha158_BETA5,gain,0.1621396874834317,
split_001,alpha158_CNTD30,gain,0.324025951312251,
split_001,alpha158_CNTP60,gain,0.5922372945860843,
split_001,alpha158_CORD10,gain,0.1475266587149235,
split_001,alpha158_CORD20,gain,0.3533590991410165,
split_001,alpha158_CORD5,gain,0.0907784621558676,
split_001,alpha158_CORD60,gain,0.7507887981137173,
split_001,alpha158_CORR10,gain,0.1747049010264163,
split_001,alpha158_CORR20,gain,0.4874272503438988,
split_001,alpha158_CORR5,gain,0.0508513991971995,
split_001,alpha158_HIGH0,gain,0.0920311712252441,
split_001,alpha158_IMIN20,gain,0.5115838775827797,
split_001,alpha158_KLEN,gain,2.254838560402277,
split_001,alpha158_KLOW,gain,0.2240188686555484,
split_001,alpha158_KMID,gain,0.0417835971493332,
split_001,alpha158_KUP,gain,0.1025135986928944,
split_001,alpha158_LOW0,gain,0.1464059643367363,
split_001,alpha158_MAX5,gain,1.0105906391545432,
split_001,alpha158_MIN10,gain,1.262271855455765,
split_001,alpha158_QTLD60,gain,4.087017714736703,
split_001,alpha158_RSQR30,gain,1.0376481161538322,
split_001,alpha158_VMA30,gain,0.1769247095653554,
split_001,alpha158_VMA60,gain,0.3407980426984522,
split_001,alpha158_VSUMD60,gain,0.3410108940101963,
split_001,alpha360_LOW1,gain,0.3236156088245252,
split_001,alpha360_VOLUME13,gain,0.0734922001411177,
split_001,amount_cv_20,gain,0.5816755914293026,
split_001,amount_std_20,gain,6.960596105465811,
split_001,corr_ret_amount_20,gain,0.5790092449915392,
split_001,kunquant_alpha101_alpha003,gain,0.0987920549996488,
split_001,kunquant_alpha101_alpha011,gain,0.1580620056511179,
split_001,kunquant_alpha101_alpha012,gain,0.036097897318541,
split_001,kunquant_alpha101_alpha013,gain,0.2147965287540501,
split_001,kunquant_alpha101_alpha020,gain,0.0822475791082979,
split_001,kunquant_alpha101_alpha029,gain,0.0987999351473263,
split_001,kunquant_alpha101_alpha034,gain,0.0335433059226488,
split_001,kunquant_alpha101_alpha050,gain,0.1864643175704259,
split_001,kunquant_alpha101_alpha055,gain,0.1032489847481201,
split_001,kunquant_alpha101_alpha062,gain,0.0328172240697313,
split_001,kunquant_alpha101_alpha094,gain,0.2154540686296968,
split_001,ta_trend_mass_index,gain,1.146157992850931,
split_001,ta_volatility_bbhi,gain,0.0461320044196327,
split_001,ta_volume_cmf,gain,0.4687079026844003,
split_001,ta_volume_sma_em,gain,0.8785520918431757,
split_001,alpha158_BETA10,split,313.0,
split_001,alpha158_BETA5,split,144.0,
split_001,alpha158_CNTD30,split,286.0,
split_001,alpha158_CNTP60,split,481.0,
split_001,alpha158_CORD10,split,191.0,
split_001,alpha158_CORD20,split,290.0,
split_001,alpha158_CORD5,split,126.0,
split_001,alpha158_CORD60,split,568.0,
split_001,alpha158_CORR10,split,138.0,
split_001,alpha158_CORR20,split,349.0,
split_001,alpha158_CORR5,split,80.0,
split_001,alpha158_HIGH0,split,61.0,
split_001,alpha158_IMIN20,split,276.0,
split_001,alpha158_KLEN,split,463.0,
split_001,alpha158_KLOW,split,132.0,
split_001,alpha158_KMID,split,63.0,
split_001,alpha158_KUP,split,98.0,
split_001,alpha158_LOW0,split,118.0,
split_001,alpha158_MAX5,split,417.0,
split_001,alpha158_MIN10,split,489.0,
split_001,alpha158_QTLD60,split,677.0,
split_001,alpha158_RSQR30,split,505.0,
split_001,alpha158_VMA30,split,176.0,
split_001,alpha158_VMA60,split,248.0,
split_001,alpha158_VSUMD60,split,324.0,
split_001,alpha360_LOW1,split,221.0,
split_001,alpha360_VOLUME13,split,101.0,
split_001,amount_cv_20,split,412.0,
split_001,amount_std_20,split,624.0,
split_001,corr_ret_amount_20,split,384.0,
split_001,kunquant_alpha101_alpha003,split,153.0,
split_001,kunquant_alpha101_alpha011,split,153.0,
split_001,kunquant_alpha101_alpha012,split,72.0,
split_001,kunquant_alpha101_alpha013,split,172.0,
split_001,kunquant_alpha101_alpha020,split,74.0,
split_001,kunquant_alpha101_alpha029,split,156.0,
split_001,kunquant_alpha101_alpha034,split,68.0,
split_001,kunquant_alpha101_alpha050,split,223.0,
split_001,kunquant_alpha101_alpha055,split,128.0,
split_001,kunquant_alpha101_alpha062,split,31.0,
split_001,kunquant_alpha101_alpha094,split,227.0,
split_001,ta_trend_mass_index,split,765.0,
split_001,ta_volatility_bbhi,split,25.0,
split_001,ta_volume_cmf,split,372.0,
split_001,ta_volume_sma_em,split,534.0,
split_001,alpha158_BETA10,daily_rank_ic_permutation,-0.0028011597479367842,4.0812584878252954e-05
split_001,alpha158_BETA5,daily_rank_ic_permutation,0.0008477044268307282,0.00021544264773617607
split_001,alpha158_CNTD30,daily_rank_ic_permutation,0.0014127937297154826,0.0006046325420920151
split_001,alpha158_CNTP60,daily_rank_ic_permutation,0.002195730348550274,0.00021508769952487933
split_001,alpha158_CORD10,daily_rank_ic_permutation,0.0004261568399289012,0.00017381481310548623
split_001,alpha158_CORD20,daily_rank_ic_permutation,0.002288081280776099,0.0004980271134845444
split_001,alpha158_CORD5,daily_rank_ic_permutation,0.00041504629031179074,6.9317514836018e-06
split_001,alpha158_CORD60,daily_rank_ic_permutation,-0.007546909422239086,0.0007476031909279838
split_001,alpha158_CORR10,daily_rank_ic_permutation,-0.0013727051318305854,0.00019242313148561742
split_001,alpha158_CORR20,daily_rank_ic_permutation,-0.002802421582767454,0.00040912856291296643
split_001,alpha158_CORR5,daily_rank_ic_permutation,0.00024889826313348923,0.0001026479348936255
split_001,alpha158_HIGH0,daily_rank_ic_permutation,0.0011975402727966572,0.00030944773349095896
split_001,alpha158_IMIN20,daily_rank_ic_permutation,0.004232004548584745,0.0003026991955207446
split_001,alpha158_KLEN,daily_rank_ic_permutation,-0.0048019079000548815,0.0021305513779997726
split_001,alpha158_KLOW,daily_rank_ic_permutation,-0.0016806709891296623,0.0006599417696325603
split_001,alpha158_KMID,daily_rank_ic_permutation,-0.0002611374075072124,0.0001875348119624305
split_001,alpha158_KUP,daily_rank_ic_permutation,1.3174432614282416e-07,0.00033700832544302726
split_001,alpha158_LOW0,daily_rank_ic_permutation,-0.0007199314603703877,0.00010230856193645422
split_001,alpha158_MAX5,daily_rank_ic_permutation,-0.015071799598105715,0.0011622133294583714
split_001,alpha158_MIN10,daily_rank_ic_permutation,0.006871949458004636,0.00266962731733669
split_001,alpha158_QTLD60,daily_rank_ic_permutation,0.026283222261010514,0.0012160534017223858
split_001,alpha158_RSQR30,daily_rank_ic_permutation,-0.0004998103466205411,0.0007644291614379991
split_001,alpha158_VMA30,daily_rank_ic_permutation,-0.0026931359722979914,0.0002857061340634344
split_001,alpha158_VMA60,daily_rank_ic_permutation,0.009182582028808006,0.0001164413682565248
split_001,alpha158_VSUMD60,daily_rank_ic_permutation,0.0013074440837628997,0.0006666146580019882
split_001,alpha360_LOW1,daily_rank_ic_permutation,0.009901293637128794,0.0009742048206929316
split_001,alpha360_VOLUME13,daily_rank_ic_permutation,-0.00034465991121608125,5.6824658461485644e-05
split_001,amount_cv_20,daily_rank_ic_permutation,0.008844462969046831,0.00045259601073112534
split_001,amount_std_20,daily_rank_ic_permutation,0.03958030612958908,0.0012236162175607948
split_001,corr_ret_amount_20,daily_rank_ic_permutation,9.210096436169009e-05,0.00038000293012911544
split_001,kunquant_alpha101_alpha003,daily_rank_ic_permutation,0.0009367096884366997,0.00040560070543338715
split_001,kunquant_alpha101_alpha011,daily_rank_ic_permutation,0.0025895789170159536,0.0001249454525297074
split_001,kunquant_alpha101_alpha012,daily_rank_ic_permutation,-0.0007244269773211779,8.361917123866957e-05
split_001,kunquant_alpha101_alpha013,daily_rank_ic_permutation,-0.002528347235503043,0.0002253669368143536
split_001,kunquant_alpha101_alpha020,daily_rank_ic_permutation,2.9398239188705804e-05,0.00013888802557987588
split_001,kunquant_alpha101_alpha029,daily_rank_ic_permutation,0.0016307289927880025,0.0001826347143623381
split_001,kunquant_alpha101_alpha034,daily_rank_ic_permutation,0.00011858987354759302,4.512472824234701e-05
split_001,kunquant_alpha101_alpha050,daily_rank_ic_permutation,-0.0012390145103151756,0.0003738170288023791
split_001,kunquant_alpha101_alpha055,daily_rank_ic_permutation,0.0005060059618916859,0.00026580066053846936
split_001,kunquant_alpha101_alpha062,daily_rank_ic_permutation,4.8974678433529505e-05,9.94910603990618e-05
split_001,kunquant_alpha101_alpha094,daily_rank_ic_permutation,0.0011368309634361556,0.00028768019364420924
split_001,ta_trend_mass_index,daily_rank_ic_permutation,0.0072027178198521375,0.0006544450569428605
split_001,ta_volatility_bbhi,daily_rank_ic_permutation,-0.000950106857368215,0.0003003254188662381
split_001,ta_volume_cmf,daily_rank_ic_permutation,0.00380437457237214,0.0011245631207559695
split_001,ta_volume_sma_em,daily_rank_ic_permutation,-0.0020815308274140056,0.00030992047545941564
split_001,alpha158_BETA10,mean_abs_shap,0.004162206849275965,
split_001,alpha158_BETA5,mean_abs_shap,0.0009833589468369929,
split_001,alpha158_CNTD30,mean_abs_shap,0.0013273257798924396,
split_001,alpha158_CNTP60,mean_abs_shap,0.001703524831406006,
split_001,alpha158_CORD10,mean_abs_shap,0.0015081598985199679,
split_001,alpha158_CORD20,mean_abs_shap,0.0021945341876502184,
split_001,alpha158_CORD5,mean_abs_shap,0.0008796098362234556,
split_001,alpha158_CORD60,mean_abs_shap,0.003891770072189707,
split_001,alpha158_CORR10,mean_abs_shap,0.0013483188287811189,
split_001,alpha158_CORR20,mean_abs_shap,0.0014134972936417532,
split_001,alpha158_CORR5,mean_abs_shap,0.0007316504266357983,
split_001,alpha158_HIGH0,mean_abs_shap,0.0005524043561329333,
split_001,alpha158_IMIN20,mean_abs_shap,0.00257529525725229,
split_001,alpha158_KLEN,mean_abs_shap,0.008319117391321884,
split_001,alpha158_KLOW,mean_abs_shap,0.0027949970532486646,
split_001,alpha158_KMID,mean_abs_shap,0.00034241395424936476,
split_001,alpha158_KUP,mean_abs_shap,0.0015076779231293733,
split_001,alpha158_LOW0,mean_abs_shap,0.0005835226149616426,
split_001,alpha158_MAX5,mean_abs_shap,0.008693742186664521,
split_001,alpha158_MIN10,mean_abs_shap,0.0071906883957149345,
split_001,alpha158_QTLD60,mean_abs_shap,0.008330540635580698,
split_001,alpha158_RSQR30,mean_abs_shap,0.003475041497798964,
split_001,alpha158_VMA30,mean_abs_shap,0.0025902682863573625,
split_001,alpha158_VMA60,mean_abs_shap,0.0024819472713418053,
split_001,alpha158_VSUMD60,mean_abs_shap,0.0036127691459772486,
split_001,alpha360_LOW1,mean_abs_shap,0.00465409633743261,
split_001,alpha360_VOLUME13,mean_abs_shap,0.0006168146507927758,
split_001,amount_cv_20,mean_abs_shap,0.00690091071039735,
split_001,amount_std_20,mean_abs_shap,0.022122108256797196,
split_001,corr_ret_amount_20,mean_abs_shap,0.001518299953462493,
split_001,kunquant_alpha101_alpha003,mean_abs_shap,0.0012106634341880445,
split_001,kunquant_alpha101_alpha011,mean_abs_shap,0.0014468373102718645,
split_001,kunquant_alpha101_alpha012,mean_abs_shap,0.0007013418398250374,
split_001,kunquant_alpha101_alpha013,mean_abs_shap,0.0026797488542192305,
split_001,kunquant_alpha101_alpha020,mean_abs_shap,0.001938285073932697,
split_001,kunquant_alpha101_alpha029,mean_abs_shap,0.0016295058936585459,
split_001,kunquant_alpha101_alpha034,mean_abs_shap,0.0005710192772592305,
split_001,kunquant_alpha101_alpha050,mean_abs_shap,0.0014904687735034941,
split_001,kunquant_alpha101_alpha055,mean_abs_shap,0.0009891717942264956,
split_001,kunquant_alpha101_alpha062,mean_abs_shap,0.0002653972026325997,
split_001,kunquant_alpha101_alpha094,mean_abs_shap,0.001560727424417109,
split_001,ta_trend_mass_index,mean_abs_shap,0.006557207691251109,
split_001,ta_volatility_bbhi,mean_abs_shap,0.0006970595100895005,
split_001,ta_volume_cmf,mean_abs_shap,0.004405472888584068,
split_001,ta_volume_sma_em,mean_abs_shap,0.0031685233018827674,
split_001,alpha158_BETA10,conditional_shap:liquidity_proxy:q3,0.004313124648264691,
split_001,alpha158_BETA5,conditional_shap:liquidity_proxy:q3,0.0011195375412903742,
split_001,alpha158_CNTD30,conditional_shap:liquidity_proxy:q3,0.0015686377048040204,
split_001,alpha158_CNTP60,conditional_shap:liquidity_proxy:q3,0.0017813980013605896,
split_001,alpha158_CORD10,conditional_shap:liquidity_proxy:q3,0.001771877443370686,
split_001,alpha158_CORD20,conditional_shap:liquidity_proxy:q3,0.002286129575100561,
split_001,alpha158_CORD5,conditional_shap:liquidity_proxy:q3,0.0009103915590855611,
split_001,alpha158_CORD60,conditional_shap:liquidity_proxy:q3,0.004453006505405793,
split_001,alpha158_CORR10,conditional_shap:liquidity_proxy:q3,0.0016540173299148511,
split_001,alpha158_CORR20,conditional_shap:liquidity_proxy:q3,0.0018818784489878812,
split_001,alpha158_CORR5,conditional_shap:liquidity_proxy:q3,0.000724144453833158,
split_001,alpha158_HIGH0,conditional_shap:liquidity_proxy:q3,0.0005812049931709986,
split_001,alpha158_IMIN20,conditional_shap:liquidity_proxy:q3,0.0031814782457956587,
split_001,alpha158_KLEN,conditional_shap:liquidity_proxy:q3,0.009945968700091616,
split_001,alpha158_KLOW,conditional_shap:liquidity_proxy:q3,0.0027403691951631507,
split_001,alpha158_KMID,conditional_shap:liquidity_proxy:q3,0.0003920825523741984,
split_001,alpha158_KUP,conditional_shap:liquidity_proxy:q3,0.0015255389374034228,
split_001,alpha158_LOW0,conditional_shap:liquidity_proxy:q3,0.0005787653443492542,
split_001,alpha158_MAX5,conditional_shap:liquidity_proxy:q3,0.009571542067672403,
split_001,alpha158_MIN10,conditional_shap:liquidity_proxy:q3,0.00791584433333925,
split_001,alpha158_QTLD60,conditional_shap:liquidity_proxy:q3,0.011668741032499326,
split_001,alpha158_RSQR30,conditional_shap:liquidity_proxy:q3,0.003907672377769289,
split_001,alpha158_VMA30,conditional_shap:liquidity_proxy:q3,0.0025151420032356116,
split_001,alpha158_VMA60,conditional_shap:liquidity_proxy:q3,0.0021420610811877395,
split_001,alpha158_VSUMD60,conditional_shap:liquidity_proxy:q3,0.004392074824767195,
split_001,alpha360_LOW1,conditional_shap:liquidity_proxy:q3,0.005297728251141684,
split_001,alpha360_VOLUME13,conditional_shap:liquidity_proxy:q3,0.0006050359561863449,
split_001,amount_cv_20,conditional_shap:liquidity_proxy:q3,0.007452463238941834,
split_001,amount_std_20,conditional_shap:liquidity_proxy:q3,0.0360896078830476,
split_001,corr_ret_amount_20,conditional_shap:liquidity_proxy:q3,0.0018349469258049042,
split_001,kunquant_alpha101_alpha003,conditional_shap:liquidity_proxy:q3,0.0010264779639811397,
split_001,kunquant_alpha101_alpha011,conditional_shap:liquidity_proxy:q3,0.0017682793541847256,
split_001,kunquant_alpha101_alpha012,conditional_shap:liquidity_proxy:q3,0.0009290875655171598,
split_001,kunquant_alpha101_alpha013,conditional_shap:liquidity_proxy:q3,0.0029700538302625708,
split_001,kunquant_alpha101_alpha020,conditional_shap:liquidity_proxy:q3,0.002335512507219559,
split_001,kunquant_alpha101_alpha029,conditional_shap:liquidity_proxy:q3,0.0018306961157687894,
split_001,kunquant_alpha101_alpha034,conditional_shap:liquidity_proxy:q3,0.0005422507147269721,
split_001,kunquant_alpha101_alpha050,conditional_shap:liquidity_proxy:q3,0.0019716138323866623,
split_001,kunquant_alpha101_alpha055,conditional_shap:liquidity_proxy:q3,0.0009385945423738424,
split_001,kunquant_alpha101_alpha062,conditional_shap:liquidity_proxy:q3,0.00029742279767724846,
split_001,kunquant_alpha101_alpha094,conditional_shap:liquidity_proxy:q3,0.0018361259759323663,
split_001,ta_trend_mass_index,conditional_shap:liquidity_proxy:q3,0.008317383600660156,
split_001,ta_volatility_bbhi,conditional_shap:liquidity_proxy:q3,0.0006235440848169418,
split_001,ta_volume_cmf,conditional_shap:liquidity_proxy:q3,0.004519873737489727,
split_001,ta_volume_sma_em,conditional_shap:liquidity_proxy:q3,0.0033643427573226865,
split_001,alpha158_BETA10,conditional_shap:liquidity_proxy:q1,0.003975653914700993,
split_001,alpha158_BETA5,conditional_shap:liquidity_proxy:q1,0.0009063051565333753,
split_001,alpha158_CNTD30,conditional_shap:liquidity_proxy:q1,0.0011052932583889032,
split_001,alpha158_CNTP60,conditional_shap:liquidity_proxy:q1,0.0016308910724300366,
split_001,alpha158_CORD10,conditional_shap:liquidity_proxy:q1,0.0012300259331670164,
split_001,alpha158_CORD20,conditional_shap:liquidity_proxy:q1,0.0021866883324893585,
split_001,alpha158_CORD5,conditional_shap:liquidity_proxy:q1,0.0008481406900450384,
split_001,alpha158_CORD60,conditional_shap:liquidity_proxy:q1,0.003371284282003933,
split_001,alpha158_CORR10,conditional_shap:liquidity_proxy:q1,0.001040804890910328,
split_001,alpha158_CORR20,conditional_shap:liquidity_proxy:q1,0.0010499399906490322,
split_001,alpha158_CORR5,conditional_shap:liquidity_proxy:q1,0.000765647021706062,
split_001,alpha158_HIGH0,conditional_shap:liquidity_proxy:q1,0.0004957430041733107,
split_001,alpha158_IMIN20,conditional_shap:liquidity_proxy:q1,0.002054212242693696,
split_001,alpha158_KLEN,conditional_shap:liquidity_proxy:q1,0.006258026599562152,
split_001,alpha158_KLOW,conditional_shap:liquidity_proxy:q1,0.002756055006404473,
split_001,alpha158_KMID,conditional_shap:liquidity_proxy:q1,0.0003224088201359033,
split_001,alpha158_KUP,conditional_shap:liquidity_proxy:q1,0.001377552783727752,
split_001,alpha158_LOW0,conditional_shap:liquidity_proxy:q1,0.0005446012723621294,
split_001,alpha158_MAX5,conditional_shap:liquidity_proxy:q1,0.007685899342877648,
split_001,alpha158_MIN10,conditional_shap:liquidity_proxy:q1,0.005918874495791438,
split_001,alpha158_QTLD60,conditional_shap:liquidity_proxy:q1,0.005705814411643987,
split_001,alpha158_RSQR30,conditional_shap:liquidity_proxy:q1,0.002965690483789766,
split_001,alpha158_VMA30,conditional_shap:liquidity_proxy:q1,0.0025770903772435435,
split_001,alpha158_VMA60,conditional_shap:liquidity_proxy:q1,0.0031217189790629257,
split_001,alpha158_VSUMD60,conditional_shap:liquidity_proxy:q1,0.0026989021528791408,
