signal_date,execution_date,period_end_date,status,eligible_count,selected_count,turnover,cost,period_net_return,period_universe_return,period_net_excess_return,avg_selected_liquidity_bucket,avg_selected_tradability_score
2021-02-01,2021-02-02,2021-02-23,executed,1117,200,1.0,0.002,0.06094402404681909,0.0404148415770742,0.01911475202491819,3.755,100.0
2021-02-22,2021-02-23,2021-03-09,executed,1117,200,0.39,0.0007800000000000001,1.0042122404740894e-06,-0.04235973781029079,0.043036523250123526,3.74,100.0
2021-03-08,2021-03-09,2021-03-23,executed,1122,200,0.345,0.00069,0.020580543470926083,0.02399622485054209,-0.0037071472457418375,3.655,100.0
2021-03-22,2021-03-23,2021-04-07,executed,1136,200,0.4,0.0008,0.005393232084890398,0.01967373419770979,-0.014329077717104122,3.585,100.0
2021-04-06,2021-04-07,2021-04-21,executed,1128,200,0.4,0.0008,-0.0034183632145653453,0.004745265003596177,-0.008402743301371363,3.715,100.0
2021-04-20,2021-04-21,2021-05-10,executed,1142,200,0.36,0.0007199999999999999,-0.025339703750053455,-0.004461773860677476,-0.021102904580767134,3.66,100.0
2021-05-07,2021-05-10,2021-05-24,executed,1119,200,0.42500000000000004,0.0008500000000000001,0.01652815365260696,0.021835278144990422,-0.0052923286433338435,3.68,100.0
2021-05-21,2021-05-24,2021-06-07,executed,1113,200,0.375,0.00075,0.009020741828250856,0.03736697289053703,-0.027635749198937076,3.63,100.0
2021-06-04,2021-06-07,2021-06-22,executed,1123,200,0.4,0.0008,-0.0053080185498187715,0.005246320730960763,-0.010909749515110256,3.585,100.0
2021-06-21,2021-06-22,2021-07-06,executed,1133,200,0.43999999999999995,0.0008799999999999999,-0.005362419890373782,0.0020385989449975828,-0.007948125546035856,3.595,100.0
2021-07-05,2021-07-06,2021-07-20,executed,1123,200,0.36,0.0007199999999999999,-0.0022170545143437304,0.03856372441229938,-0.03952359845494979,3.62,100.0
2021-07-19,2021-07-20,2021-08-03,executed,1136,200,0.35,0.0007,-0.014007151618276925,-0.007121137313645831,-0.008468291092775693,3.58,100.0
2021-08-02,2021-08-03,2021-08-17,executed,1113,200,0.36,0.0007199999999999999,0.01943518110799114,0.017872477216739346,0.0007487420894267682,3.6,100.0
2021-08-16,2021-08-17,2021-08-31,executed,1133,200,0.35,0.0007,0.037039511762740895,0.04543727031559919,-0.008284677638433546,3.56,100.0
2021-08-30,2021-08-31,2021-09-14,executed,1125,200,0.41000000000000003,0.0008200000000000001,0.059010816547528266,0.035859889139896906,0.02219073223131729,3.585,100.0
2021-09-13,2021-09-14,2021-09-30,executed,1108,200,0.475,0.00095,-0.03034474779302543,-0.05629244138266509,0.025813117859571744,3.555,100.0
2021-09-29,2021-09-30,2021-10-21,executed,1114,200,0.48,0.00096,0.011224951305590425,0.001675138095429629,0.009111690476147905,3.625,100.0
2021-10-20,2021-10-21,2021-11-04,executed,1138,200,0.365,0.00073,-0.002848567729305529,-0.008014516479023959,0.004515321117845916,3.71,100.0
