factor,split_id,selected,selection_eligible,eligible,eligibility_reason,selection_reason,frozen_direction,fdr_bh_q_value
ta_trend_vortex_ind_diff,split_001,True,True,True,eligible,selected,-1,0.013832321524629218
ta_volatility_bbl,split_001,False,True,True,eligible,direction_mismatch,-1,0.049647322374595106
ta_volatility_dcm,split_001,False,True,True,eligible,direction_mismatch,-1,0.023835813309497522
ta_volatility_kcli,split_001,True,True,True,eligible,selected,1,0.0462037962037962
ta_volume_em,split_001,True,True,True,eligible,selected,-1,0.0353744616039698
ta_volume_sma_em,split_001,True,True,True,eligible,selected,-1,0.013048176313482434
volume_ratio_5_20,split_001,False,True,True,eligible,weak_validation_ic,-1,0.04795204795204795
alpha158_BETA30,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
alpha158_CNTD30,split_002,False,True,True,eligible,weak_validation_ic,-1,0.01962949331370384
alpha158_CNTN30,split_002,False,True,True,eligible,weak_validation_ic;fdr_not_passed,1,0.08814714697067638
alpha158_CNTP5,split_002,True,True,True,eligible,selected,-1,0.012536483124718419
alpha158_CORD30,split_002,False,True,True,eligible,direction_mismatch,-1,0.00420631999579368
alpha158_CORR30,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.05655882578959502
alpha158_IMAX60,split_002,True,True,True,eligible,selected,-1,0.010202563394052755
alpha158_IMXD10,split_002,True,True,True,eligible,selected,-1,0.005847810725859507
alpha158_KLOW2,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,1,0.38880038880038875
alpha158_KSFT2,split_002,False,True,True,eligible,fdr_not_passed,-1,0.09381922425400685
alpha158_MA10,split_002,True,True,True,eligible,selected,1,0.007104007104007104
alpha158_MAX20,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.5951942794048057
alpha158_MIN20,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha158_OPEN0,split_002,True,True,True,eligible,selected,1,0.01962949331370384
alpha158_QTLD30,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha158_QTLU5,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.861922887239343
alpha158_RANK60,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
alpha158_ROC10,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha158_RSQR10,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,1,0.21645021645021645
alpha158_RSV20,split_002,True,True,True,eligible,selected,-1,0.00868696520870434
alpha158_STD30,split_002,False,True,True,eligible,direction_mismatch;weak_validation_ic,-1,0.030133800625603904
alpha158_SUMD30,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
alpha158_SUMN30,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha158_SUMP30,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
alpha158_VMA30,split_002,True,True,True,eligible,selected,1,0.026180715835888248
alpha158_VSTD30,split_002,False,True,True,eligible,fdr_not_passed,1,0.42943722943722945
alpha158_VSUMD30,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
alpha158_VSUMN30,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha158_VSUMP30,split_002,True,True,True,eligible,selected,-1,0.00420631999579368
alpha158_WVMA30,split_002,False,True,True,eligible,direction_mismatch;fdr_not_passed,-1,0.7182427961648741
alpha360_CLOSE18,split_002,True,True,True,eligible,selected,1,0.00420631999579368
alpha360_CLOSE36,split_002,True,True,True,eligible,selected,1,0.00420631999579368
