factor,window_count,eligible_window_count,selected_window_count,selection_frequency,direction_adjusted_positive_window_ratio,direction_agreement_ratio,median_train_ic,median_validation_ic,median_test_ic,worst_test_ic,median_oos_degradation,worst_oos_degradation,fdr_pass_frequency,coverage_min,coverage_median,stability_role,role_reason
alpha158_BETA30,3,3,3,1.0,1.0,1.0,-0.07525098273246529,-0.10558869405708833,-0.08495645951949243,-0.10979452071918433,-0.020632234537595898,-0.11666051260620923,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.11666051260620923
alpha158_CNTD30,3,3,2,0.6666666666666666,1.0,1.0,-0.043443433954543254,-0.05696448344669904,-0.036084873422287216,-0.06679031333232215,-0.032599529270346345,-0.04431944851628087,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.04431944851628087
alpha158_CNTN30,3,3,1,0.3333333333333333,1.0,1.0,0.030724080245028297,0.05390058973500286,0.036757952790136245,0.030261529102563127,-0.032698036188528866,-0.032698036188528866,0.3333333333333333,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.032698036188528866
alpha158_CNTP5,3,3,3,1.0,1.0,1.0,-0.01800200569516671,-0.034190105108112684,-0.02282878998885751,-0.035183498794159544,-0.015255204601224443,-0.01826554232175534,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01826554232175534
alpha158_CORD30,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.05562727533997412,-0.04514688319102433,-0.03819310376444086,-0.05758841211529356,-0.006092240004170739,-0.02807885112812597,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.02807885112812597
alpha158_CORR30,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.03248263957425001,-0.09037239016070839,-0.014599326232495923,-0.06550748267332354,-0.06529176031682538,-0.07577306392821247,0.6666666666666666,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.07577306392821247
alpha158_IMAX60,3,3,2,0.6666666666666666,1.0,1.0,-0.04327105035501973,-0.06706029399403277,-0.06692041798379804,-0.07607910534173593,-0.027505783215890575,-0.06403037777948431,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.06403037777948431
alpha158_IMXD10,3,3,3,1.0,1.0,1.0,-0.028891741141802648,-0.06318036690500468,-0.042381248285967794,-0.046645028139028426,-0.042382328385324054,-0.05068521887492357,1.0,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.05068521887492357
alpha158_KLOW2,3,3,0,0.0,0.3333333333333333,1.0,0.004566003088769568,-0.0011120959009048904,-0.00019122719750160213,-0.002794035813008276,,,0.0,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_positive_ratio=0.333;worst_oos_degradation=nan
alpha158_KSFT2,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.008494948337717394,-0.019285048879983415,-0.01614870464625081,-0.018514894062377475,-0.0058713686323031075,-0.010972582447000275,0.6666666666666666,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.010972582447000275
