parent_role,stage_id,artifact_id,manifest_path,artifact_status,lineage_status,direct_parent
linear_development,research_linear_models_v1,research_linear_models_v1:b7efca2b26bd118e377c13ab21523f9102e827f75e8c5da65d7d26a37fc5008e,E:/qlib_prj/qlib_baseline/outputs/research_linear_models_v1/development/artifact_manifest.json,pass,complete,True
linear_test_release_freeze,research_linear_test_release_freeze_v1,research_linear_test_release_freeze_v1:a2e6a29d43ee605d1325ffd467f27e98da07289df086381b4b147962e89060f1,E:/qlib_prj/qlib_baseline/outputs/research_linear_models_v1/test_release_freeze/artifact_manifest.json,pass,complete,True
