source,repository,repository_commit,repository_commit_tree,remote_url,repo_clean,dependency_dirty_path_count,source_file_count,source_specific_tree_hash,adapter_hash,formula_or_metadata_hash
alpha101,kunquant,d4b9e61f729df347730aa921b539b9df3c3fe36d,877bd9a52e2db537f70adbf30b34b26d594da9fd,https://github.com/Menooker/KunQuant.git,True,0,5,a94112181d492d347905b4a5896cdcb1c44bfbbe95f45f9ff00292c22c1ac7e2,80f03e2a1874fa479b0408ff383987b8a9a16b12e51b532dafeb0aca6ccba69b,338f88ef08e0aa5274ebb5600d50633216e45415b9a5528e0a426ffbf06701a8
alpha158,qlib,d5379c520f66a39953bad76234a7019a72796fd0,35564fd8b72b26bc60bb4e4fc34324f0e34c1de6,https://github.com/microsoft/qlib.git,False,0,10,56d78470f624426509bcd6cf6adf68427855c837982dee9886c5bdd1e4ab8300,fbbd51d0c2b8c83dce2fc812afb58e8a22dfed9fba661a6d506be8e3d0eb96d8,c7cdd11db0f685eaa94d0abe09c1b5f3605725bf813170c63d54152ccd3aa656
alpha360,qlib,d5379c520f66a39953bad76234a7019a72796fd0,35564fd8b72b26bc60bb4e4fc34324f0e34c1de6,https://github.com/microsoft/qlib.git,False,0,10,4218dbb4a176f31813f4aa8e73cc6646a0fe68d918885291e9ede90b7c0053f2,c0d4a427d36eefb6b0f687344a9af0327e817517cbff5f607488434c3e04b308,76ec61f494741a2052b9f22cc916e1a9bc0316703297d736b6c391c33dd6a8a0
project_basic,project,b0c2f871c768c952e9270f008e6bd3a4ef29d2a9,,project,True,0,3,a28609d0cc0b5b7d31fa904b21a7cf20f93b1e9c5b795f19f462ffde9f9c447c,8f03f6613d902ff199739bd907f3c2d43c25b14ab3ebda8b24779cff89b6a7c8,ad307754486a9cd5dc62f1b415835596a7bb6bbb4c205f4835f876c769cfc713
ta,ta,a890410710a6e483c9ba08da7f3dd5089e4b9dff,7900c3a7eedd525f0b5d6e4fbb84c1be766db810,https://github.com/bukosabino/ta.git,True,0,10,b33aa34f82c1dc8629dc5bf21a933512011035828212f38b5000215175957249,c16798cf7b70297690f2f1e09598e81066306af38fbfd5fdbceaa92f621459e4,785d64a62d2962ee0d63b145041df238ee7066dea0522acf90de20df3510d3c1
