factor,compared_rows,changed_rows,max_absolute_difference,mean_absolute_difference,v1_missing_v2_present
alpha158_BETA10,0,0,,,21
alpha158_BETA20,0,0,,,21
alpha158_BETA30,0,0,,,21
alpha158_BETA5,0,0,,,21
alpha158_BETA60,0,0,,,21
alpha158_CNTD10,1273,0,1.1102230246251565e-16,4.509552842050716e-17,21
alpha158_CNTD20,1273,0,1.6653345369377348e-16,4.552001103069315e-17,21
alpha158_CNTD30,1273,0,1.6653345369377348e-16,4.676806783433267e-17,21
alpha158_CNTD5,1273,0,1.6653345369377348e-16,4.6309240799476226e-17,21
alpha158_CNTD60,1273,0,1.6653345369377348e-16,4.5994062035567804e-17,21
alpha158_CNTN10,0,0,,,21
alpha158_CNTN20,0,0,,,21
alpha158_CNTN30,0,0,,,21
alpha158_CNTN60,0,0,,,21
alpha158_CNTP10,0,0,,,21
alpha158_CNTP20,0,0,,,21
alpha158_CNTP30,0,0,,,21
alpha158_CNTP5,0,0,,,21
alpha158_CNTP60,0,0,,,21
alpha158_CORD10,0,0,,,21
alpha158_CORD20,0,0,,,21
alpha158_CORD30,0,0,,,21
alpha158_CORD5,0,0,,,21
alpha158_CORD60,0,0,,,21
alpha158_CORR10,0,0,,,21
alpha158_CORR20,0,0,,,21
alpha158_CORR30,0,0,,,21
alpha158_CORR5,0,0,,,21
alpha158_CORR60,0,0,,,21
alpha158_HIGH0,0,0,,,21
alpha158_IMAX10,0,0,,,21
alpha158_IMAX20,0,0,,,21
alpha158_IMAX30,0,0,,,21
alpha158_IMAX60,0,0,,,21
alpha158_IMIN10,0,0,,,21
alpha158_IMIN20,0,0,,,21
alpha158_IMIN30,0,0,,,21
alpha158_IMIN5,0,0,,,21
alpha158_IMIN60,0,0,,,21
alpha158_IMXD10,0,0,,,21
alpha158_IMXD20,0,0,,,21
alpha158_IMXD30,0,0,,,21
alpha158_IMXD5,0,0,,,21
alpha158_IMXD60,0,0,,,21
alpha158_KLEN,0,0,,,21
alpha158_KLOW,0,0,,,21
alpha158_KLOW2,0,0,,,21
alpha158_KMID,0,0,,,21
alpha158_KMID2,0,0,,,21
alpha158_KSFT,0,0,,,21
alpha158_KSFT2,0,0,,,21
alpha158_KUP,0,0,,,21
alpha158_KUP2,0,0,,,21
alpha158_LOW0,0,0,,,21
alpha158_MA10,0,0,,,21
alpha158_MA20,0,0,,,21
alpha158_MA30,0,0,,,21
alpha158_MA5,0,0,,,21
alpha158_MA60,0,0,,,21
alpha158_MAX10,0,0,,,21
alpha158_MAX20,0,0,,,21
alpha158_MAX30,0,0,,,21
alpha158_MAX5,0,0,,,21
alpha158_MAX60,0,0,,,21
alpha158_MIN10,0,0,,,21
alpha158_MIN20,0,0,,,21
alpha158_MIN30,0,0,,,21
alpha158_MIN5,0,0,,,21
alpha158_MIN60,0,0,,,21
alpha158_OPEN0,0,0,,,21
alpha158_QTLD10,0,0,,,21
alpha158_QTLD20,0,0,,,21
alpha158_QTLD30,0,0,,,21
alpha158_QTLD5,0,0,,,21
alpha158_QTLD60,0,0,,,21
alpha158_QTLU10,0,0,,,21
alpha158_QTLU20,0,0,,,21
alpha158_QTLU30,0,0,,,21
alpha158_QTLU5,0,0,,,21
alpha158_QTLU60,0,0,,,21
alpha158_RANK10,0,0,,,21
alpha158_RANK20,0,0,,,21
alpha158_RANK30,0,0,,,21
alpha158_RANK60,0,0,,,21
alpha158_RESI10,0,0,,,21
alpha158_RESI20,0,0,,,21
alpha158_RESI30,0,0,,,21
alpha158_RESI5,0,0,,,21
alpha158_RESI60,0,0,,,21
alpha158_ROC10,0,0,,,21
alpha158_ROC20,0,0,,,21
alpha158_ROC30,0,0,,,21
alpha158_ROC5,0,0,,,21
alpha158_ROC60,0,0,,,21
alpha158_RSQR10,0,0,,,21
alpha158_RSQR20,0,0,,,21
alpha158_RSQR30,0,0,,,21
alpha158_RSQR5,0,0,,,21
alpha158_RSQR60,0,0,,,21
alpha158_RSV10,0,0,,,21
alpha158_RSV20,0,0,,,21
alpha158_RSV30,0,0,,,21
alpha158_RSV5,0,0,,,21
alpha158_RSV60,0,0,,,21
alpha158_STD10,0,0,,,21
alpha158_STD20,0,0,,,21
alpha158_STD30,0,0,,,21
alpha158_STD5,0,0,,,21
alpha158_STD60,0,0,,,21
alpha158_SUMD10,0,0,,,21
alpha158_SUMD20,0,0,,,21
alpha158_SUMD30,0,0,,,21
alpha158_SUMD5,0,0,,,21
alpha158_SUMD60,0,0,,,21
alpha158_SUMN10,0,0,,,21
alpha158_SUMN20,0,0,,,21
alpha158_SUMN30,0,0,,,21
alpha158_SUMN5,0,0,,,21
alpha158_SUMN60,0,0,,,21
alpha158_SUMP10,0,0,,,21
alpha158_SUMP20,0,0,,,21
alpha158_SUMP30,0,0,,,21
alpha158_SUMP5,0,0,,,21
alpha158_SUMP60,0,0,,,21
alpha158_VMA10,0,0,,,21
alpha158_VMA20,0,0,,,21
alpha158_VMA30,0,0,,,21
alpha158_VMA5,0,0,,,21
alpha158_VMA60,0,0,,,21
alpha158_VSTD10,0,0,,,21
alpha158_VSTD20,0,0,,,21
alpha158_VSTD30,0,0,,,21
alpha158_VSTD5,0,0,,,21
alpha158_VSTD60,0,0,,,21
alpha158_VSUMD10,0,0,,,21
alpha158_VSUMD20,0,0,,,21
alpha158_VSUMD30,0,0,,,21
alpha158_VSUMD5,0,0,,,21
alpha158_VSUMD60,0,0,,,21
alpha158_VSUMN10,0,0,,,21
alpha158_VSUMN20,0,0,,,21
alpha158_VSUMN30,0,0,,,21
alpha158_VSUMN5,0,0,,,21
alpha158_VSUMN60,0,0,,,21
alpha158_VSUMP10,0,0,,,21
alpha158_VSUMP20,0,0,,,21
alpha158_VSUMP30,0,0,,,21
alpha158_VSUMP5,0,0,,,21
alpha158_VSUMP60,0,0,,,21
